Country,Region,Happiness,LifeExpectancy,Footprint,HLY,HPI,HPIRank,GDPperCapita,HDI,Population
China,6,6.7,72.5,2.1,48.6,57.11,20,6757,0.777,1304.5
Colombia,1,7.3,72.3,1.8,53.0,66.10,6,7304,0.791,44.95
Congo,4,3.6,54.0,0.5,19.7,32.43,112,1262,0.548,3.61
"Congo, Dem. Rep. of the",4,3.9,45.8,0.6,18.0,29.04,120,714,0.411,58.74
Costa Rica,1,8.5,78.5,2.3,66.7,76.12,1,10180,0.846,4.33
Croatia,7,6.4,75.3,3.2,48.3,47.23,60,13042,0.850,4.44
Cuba,1,6.7,77.7,1.8,52.4,65.68,7,6000,0.838,11.26
Cyprus,2,7.2,79.0,4.5,56.6,46.19,62,22699,0.903,0.76
Czech Republic,7,6.9,75.9,5.4,52.0,38.31,92,20538,0.891,10.23
Denmark,2,8.1,77.9,8.0,62.9,35.47,105,33973,0.949,5.42
Djibouti,4,5.7,53.9,1.5,30.5,40.44,87,2178,0.516,0.8
Dominican Republic,1,7.6,71.5,1.5,54.2,71.78,2,8217,0.779,9.47
Ecuador,1,6.4,74.7,2.2,48.0,55.46,25,4341,0.772,13.06
Egypt,3,6.7,70.7,1.7,47.2,60.32,12,4337,0.708,72.85
El Salvador,1,6.7,71.3,1.6,47.6,61.46,8,5255,0.735,6.67
Estonia,7,5.6,71.2,6.4,40.1,26.42,131,15478,0.860,1.35
Ethiopia,4,4.0,51.8,1.4,20.6,28.10,124,1055,0.406,75.17
Finland,2,8.0,78.9,5.2,63.3,47.23,59,32153,0.952,5.25
France,2,7.1,80.2,4.9,56.6,43.86,71,30386,0.952,60.87
Georgia,7,4.3,70.7,1.1,30.1,43.60,72,3365,0.754,4.47
Germany,2,7.2,79.1,4.2,56.8,48.07,51,29461,0.935,82.47
Ghana,4,4.7,59.1,1.5,28.0,37.10,100,2480,0.553,22.54
Greece,2,6.8,78.9,5.9,54.0,37.58,97,23381,0.926,11.1
Guatemala,1,7.4,69.7,1.5,51.8,68.37,4,4568,0.689,12.71
Guinea,4,4.0,54.8,1.3,21.8,30.25,116,2316,0.456,9
Guyana,1,6.5,65.2,2.6,42.6,45.63,63,4508,0.750,0.74
Haiti,1,5.2,59.5,0.5,30.8,50.84,42,1663,0.529,9.3
Honduras,1,7.0,69.4,1.8,48.7,60.99,10,3430,0.700,6.83
Hong Kong,6,7.2,81.9,5.7,58.6,41.60,84,34833,0.937,6.81
Hungary,7,5.7,72.9,3.5,41.8,38.86,90,17887,0.874,10.09
Iceland,2,7.8,81.5,7.4,63.9,38.14,94,36510,0.968,0.3
India,5,5.5,63.7,0.9,35.1,53.03,35,3452,0.619,1094.58
Indonesia,6,5.7,69.7,0.9,39.5,58.92,16,3843,0.728,220.56
Iran,3,5.6,70.2,2.7,39.5,42.08,81,7968,0.759,69.09
Iraq,3,5.4,57.7,1.3,30.9,42.59,79,,,29.27
Ireland,2,8.1,78.4,6.3,63.8,42.62,78,38505,0.959,4.16
Israel,3,7.1,80.3,4.8,56.8,44.49,67,25864,0.932,6.92
Italy,2,6.9,80.3,4.8,55.7,44.02,69,28529,0.941,58.61
Jamaica,1,6.7,72.2,1.1,48.5,70.09,3,4291,0.736,2.65
Japan,6,6.8,82.3,4.9,55.6,43.25,75,31267,0.953,127.77
Jordan,3,6.0,71.9,1.7,43.1,54.59,26,5530,0.773,5.41
Kazakhstan,7,6.1,65.9,3.4,40.4,38.54,91,7857,0.794,15.15
Kenya,4,3.7,52.1,1.1,19.1,27.77,125,1240,0.521,35.6
Korea,6,6.3,77.9,3.7,49.1,44.43,68,22029,0.921,48.29
Kuwait,3,6.7,77.3,8.9,51.6,27.04,128,26321,0.891,2.54
Kyrgyzstan,7,5.0,65.6,1.1,32.7,47.09,61,1927,0.696,5.14
Laos,6,6.2,63.2,1.1,39.4,57.34,19,2039,0.601,5.66
Latvia,7,5.4,72.0,3.5,39.1,36.67,101,13646,0.855,2.3
Lebanon,3,4.7,71.5,3.1,33.7,33.56,110,5584,0.772,4.01
Lithuania,7,5.8,72.5,3.2,41.8,40.90,86,14494,0.862,3.41
Luxembourg,2,7.7,78.4,10.2,60.1,28.47,122,60228,0.944,0.46
Macedonia,7,5.5,73.8,4.6,40.5,32.66,111,7200,0.801,2.03
Madagascar,4,3.7,58.4,1.1,21.8,31.54,113,923,0.533,18.64
Malawi,4,4.4,46.3,0.5,20.6,34.47,107,667,0.437,13.23
Malaysia,6,6.6,73.7,2.4,48.6,54.05,33,10882,0.811,25.65
Mali,4,3.8,53.1,1.6,20.0,25.77,132,1033,0.380,11.61
Malta,2,7.1,79.1,3.8,56.0,50.36,44,19189,0.878,0.4
Mauritania,4,5.0,63.2,1.9,31.3,38.21,93,2234,0.550,2.96
Mexico,1,7.7,75.6,3.4,58.3,55.58,23,10751,0.829,103.09
Moldova,7,5.7,68.4,1.2,38.7,54.08,32,2100,0.708,3.88
Mongolia,7,5.7,65.9,3.5,37.3,34.95,106,2107,0.700,2.55
Morocco,3,5.6,70.4,1.1,39.7,56.75,21,4555,0.646,30.14
Mozambique,4,3.8,42.8,0.9,16.4,24.61,133,1242,0.384,20.53
Namibia,4,4.5,51.6,3.7,23.2,21.10,140,7586,0.650,2.02
Nepal,5,5.3,62.6,0.8,33.3,51.91,37,1550,0.534,27.09
Netherlands,2,7.7,79.2,4.4,61.1,50.60,43,32684,0.953,16.32
New Zealand,2,7.8,79.8,7.7,62.3,36.21,103,24996,0.943,4.13
Nicaragua,1,7.1,71.9,2.0,51.0,60.54,11,3674,0.710,5.46
Niger,4,3.8,55.8,1.6,21.0,26.94,129,781,0.374,13.26
Nigeria,4,4.8,46.5,1.3,22.2,30.35,115,1128,0.470,141.36
Norway,2,8.1,79.8,6.9,64.6,40.36,88,41420,0.968,4.62
Pakistan,5,5.6,64.6,0.8,36.2,55.56,24,2370,0.551,155.77
Palestine,3,5.0,72.9,1.5,36.1,47.73,56,1500,0.731,3.76
Panama,1,7.8,75.1,3.2,58.5,57.37,18,7605,0.812,3.23
Paraguay,1,6.9,71.3,3.2,49.0,47.80,55,4642,0.755,5.9
Peru,1,5.9,70.7,1.6,41.7,54.37,28,6039,0.773,27.27
Philippines,6,5.5,71.0,0.9,38.9,59.02,14,5137,0.771,84.57
Poland,7,6.5,75.2,4.0,48.7,42.75,77,13847,0.870,38.17
Portugal,2,5.9,77.7,4.4,45.5,37.46,98,20410,0.897,10.55
Romania,7,5.9,71.9,2.9,42.6,43.89,70,9060,0.813,21.63
Russia,7,5.9,65.0,3.7,38.1,34.47,108,10845,0.802,143.15
Rwanda,4,4.2,45.2,0.8,19.1,29.59,119,1206,0.452,9.23
Saudi Arabia,3,7.7,72.2,2.6,55.6,59.70,13,15711,0.812,23.12
Senegal,4,4.5,62.3,1.4,27.9,38.03,96,1792,0.499,11.77
Serbia,7,6.0,73.6,2.6,44.2,47.63,58,,,7.44
Sierra Leone,4,3.6,41.8,0.8,14.8,23.08,136,806,0.336,5.59
Singapore,6,7.1,79.4,4.2,56.5,48.24,49,29663,0.922,4.27
Slovakia,7,6.1,74.2,3.3,45.1,43.52,73,15871,0.863,5.39
Slovenia,7,7.0,77.4,4.5,54.2,44.53,66,22273,0.917,2
South Africa,4,5.0,50.8,2.1,25.2,29.69,118,11110,0.674,46.89
Spain,2,7.6,80.5,5.7,61.2,43.19,76,27169,0.949,43.4
Sri Lanka,5,5.4,71.6,1.0,38.6,56.55,22,4595,0.743,19.67
Sudan,4,4.5,57.4,2.4,25.8,28.55,121,2083,0.526,36.9
Sweden,2,7.9,80.5,5.1,63.2,47.99,53,32525,0.956,9.02
Switzerland,2,7.7,81.3,5.0,62.6,48.05,52,35633,0.955,7.44
Syria,3,5.9,73.6,2.1,43.4,51.32,38,3808,0.724,18.89
Tajikistan,7,5.1,66.3,0.7,33.8,53.48,34,1356,0.673,6.55
Tanzania,4,2.4,51.0,1.1,12.5,17.79,142,744,0.467,38.48
Thailand,6,6.3,69.6,2.1,43.5,50.90,41,8677,0.781,63
Togo,4,2.6,57.8,0.8,15.2,23.28,135,1506,0.512,6.24
Trinidad and Tobago,1,6.7,69.2,2.1,46.3,54.21,30,14603,0.814,1.32
Tunisia,3,5.9,73.5,1.8,43.3,54.31,29,8371,0.766,10.03
Turkey,3,5.5,71.4,2.7,39.4,41.70,83,8407,0.775,72.07
Uganda,4,4.5,49.7,1.4,22.3,30.21,117,1454,0.505,28.95
Ukraine,7,5.3,67.7,2.7,35.9,38.07,95,6848,0.788,47.11
United Arab Emirates,3,7.2,78.3,9.5,56.2,28.16,123,25514,0.868,4.1
United Kingdom,2,7.4,79.0,5.3,58.6,43.31,74,33238,0.946,60.23
United States of America,2,7.9,77.9,9.4,61.2,30.73,114,41890,0.951,296.51
Uruguay,1,6.8,75.9,5.5,51.2,37.24,99,9962,0.852,3.31
Uzbekistan,7,6.0,66.8,1.8,40.3,50.07,45,2063,0.702,26.17
Venezuela,1,6.9,73.2,2.8,50.4,52.49,36,6632,0.792,26.58
Vietnam,6,6.5,73.7,1.3,47.8,66.52,5,3071,0.733,83.1
Yemen,3,5.2,61.5,0.9,32.0,48.09,50,930,0.508,21.1
Zambia,4,4.3,40.5,0.8,17.5,27.18,127,1023,0.434,11.48
Zimbabwe,4,2.8,40.9,1.1,11.6,16.59,143,2038,0.513,13.12
