"","date","name","speech"
"64","December 25, 2015","Barack Obama","
    The President. Merry Christmas, everybody! This is one of our favorite times of year in the Obama household, filled with family and friends, warmth and good cheer. That's even true when I spend all night chasing Bo and Sunny away from the cookies we leave for Santa.
It's also my favorite weekly address of the year, because I'm joined by a special holiday guest star: Mrs. Obama.
The First Lady. Merry Christmas, everyone. Here at the White House, we've spent the past month helping everyone get into the holiday spirit.
Our theme this year is ""A Timeless Tradition,"" and the decorations in each room reflect some of our country's most cherished pastimes, from saluting our troops and their families to helping children dream big dreams for their future. And we've invited thousands of families here to the White House to enjoy the festivities, because there's no holiday tradition more timeless than opening our doors to others.
The President. Today, like millions of Americans and Christians around the world, our family celebrates the birth of Jesus and the values He lived in his own life: treating one another with love and compassion; caring for those on society's margins—the sick and the hungry, the poor and the persecuted, the stranger in need of shelter or simply an act of kindness. That's the spirit that binds us together, not just as Christians, but as Americans of all faiths. It's what the holidays are about: coming together as one American family to celebrate our blessings and the values we hold dear.
During this season, we also honor all those who defend those values in our country's uniform. Every day, the brave men and women of our military serve to keep us safe, and so do their families.
The First Lady. So as we sing carols and open presents, as we win snowball fights——
The President. Or lose snowball fights——
The First Lady.——let's also take time to pay tribute to those who've given our country so much. Go to joiningforces.gov to see how you can serve the troops, veterans, and military families in your community. And together, we can show them just how grateful we are for their sacrifice. That's a tradition that we all can embrace, today and every day.
The President. So on behalf of Malia, Sasha, Bo, Sunny, Grandma, and everyone here at the White House, merry Christmas. May God bless our troops and their families, and may God bless you all with peace and joy in the year ahead.
  "
"65","January 16, 2016","Barack Obama","
    Hi, everybody. On Tuesday, I gave my final State of the Union Address. And a focus was this: How do we make the new economy work better for everyone, not just those at the top?
After the worst economic crisis in our lifetimes, we're in the midst of the longest streak of private sector job growth in our history: more than 14 million new jobs, an unemployment rate cut in half. At the same time, our economy continues to go through profound changes that began long before the great recession hit. It changed to the point where, even when folks have jobs, even when the economy is growing, it's harder for working families to pull themselves out of poverty, harder for young people to start out on their careers, and tougher for workers to retire when they want to.
That's a big part of the reason a lot of working families are feeling anxious. It offends our fundamental American belief that everybody who works hard should be able to get ahead.
That's why we've been fighting so hard to give families more opportunity and more security: by working to create more good jobs, invest in our middle class, and help working people get a raise. That's what the Affordable Care Act is all about—filling in the gaps in employer-based care so that when somebody loses a job, or goes back to school, or starts that new business, they still have health care. And it's why I believe we've got to take steps to modernize our unemployment insurance system.
If a hard-working American loses her job, regardless of what State she lives in, we should make sure she can get unemployment insurance and some help to retrain for her next job. If she's been unemployed for a while, we should reach out to her and connect her with career counseling. And if she finds a new job that doesn't pay as much as her old one, we should offer some wage insurance that helps her pay her bills. Under my plan, experienced workers who now make less than $50,000 could replace half of their lost wages: up to $10,000 over 2 years. It's a way to give families some stability and encourage folks to rejoin the workforce, because we shouldn't just be talking about unemployment, we should be talking about reemployment.
That's when America works best: when everyone has opportunity, when everyone has some security, and when everyone can contribute to this country that we love. That's how we make sure that hard-working families can get ahead. And that's what I'll be fighting for with every last day of my Presidency.
Thanks, everybody. Have a great weekend.
  "
"66","December 12, 2015","Barack Obama","
    Hello, everybody. This week, Americans across our country have shown what it means to be strong in the face of terrorism. In San Bernardino, even as the community continues to grieve, people are refusing to be ruled by fear. Across the country [county; White House correction.], dedicated public servants are on the job, and more will be returning to work this week. Faith communities have come together in fellowship and prayer. Families lined the streets for the annual children's Christmas parade. Because we can't let terrorists change how we live our lives.
Meanwhile, our men and women in uniform are stepping up our campaign to destroy ISIL. Our airstrikes are hitting ISIL harder than ever in Iraq and Syria. We're taking out more of their fighters and leaders, their weapons, their oil tankers. Our special operations forces are on the ground, because we're going to hunt down these terrorists wherever they try to hide. In recent weeks, our strikes have taken out the ISIL finance chief, a terrorist leader in Somalia, and the ISIL leader in Libya. Our message to these killers is simple: We will find you, and justice will be done.
This week, we'll move forward on all fronts. On Monday, I'll go to the Pentagon. And there, I'll review our military campaign and how we can continue to accelerate our efforts. Later in the week, I'll go to the National Counterterrorism Center. There, I'll review our efforts, across our entire Government, to prevent attacks and protect our homeland. And this week, the Department of Homeland Security will update its alert system to ensure Americans get more information, including steps that you and your communities can take to be vigilant and to stay safe.
In the wake of the attacks in Paris and San Bernardino, I know a lot of Americans are asking, ""What can I do?"" First, as always, we have to stay vigilant. If you see something that seems suspicious, say something to law enforcement. Over the years, plots have been uncovered because someone saw something and spoke up.
As I said in my speech last weekend, one of the most important things we can do is to stay true to who we are as Americans. Terrorists like ISIL are trying to divide us along lines of religion and background. That's how they stoke fear. That's how they recruit. And just as Muslims around the world have to keep rejecting any twisted interpretation of Islam, all of us have to reject bigotry, in all of its forms. I'll say it again: Prejudice and discrimination helps ISIL, and it undermines our national security.
The good news is that Americans are coming together to reaffirm the core values that keep us strong. Political leaders across the spectrum—Democrats and Republicans, liberals and conservatives—are standing up forcefully for freedom of religion. Churches and synagogues are reaching out to local mosques, reminding us that we are all God's children. Grateful citizens are saying thank you to our patriotic Muslim American servicemembers and veterans. Some of our greatest sports heroes have reminded us why they're true champions, and voices for tolerance and understanding. Across the country, Americans are reaching out to their Muslim friends, neighbors, and coworkers to let them know we're here for each other. I think of the woman in Texas carrying a sign saying, ""We love our Muslim neighbors."" That's the message I hope every Muslim American hears, that we're all part of the same American family. And it's a message all of us can deliver: parents to our children, teachers to their students, leaders in politics and business and entertainment. Back in San Bernardino, people from across the community have joined in prayer vigils: Christians, Jews, Muslims, and others. And they've sent a powerful message: We're all in this together. That's the spirit we have to uphold. That's what we can do as Americans, united in defense of the country that we love.
  "
"67","December 19, 2015","Barack Obama","
    Hi, everybody. It's the most wonderful time of the year, not just for spreading holiday cheer, but also for list makers. You've got wish lists, Santa's lists, and of course, a blizzard of year-in-review lists. So I decided to get in on the action.
As a nation, we face big challenges. But in the spirit of 2015 retiree David Letterman, here—in no particular order—are my top 10 things that happened in 2015 that should make every American optimistic about 2016.
Number ten: the economy. Over the past 12 months, our businesses have created 2.5 million new jobs. In all, they've added 13.7 million new jobs over a 69-month streak of job growth. And the unemployment rate has fallen to 5 percent, the lowest it's been in almost 8 years.
Number nine: More Americans are getting health coverage. The rate of uninsured in America dropped below 10 percent for the first time ever. In all, 17.6 million people and climbing have gained coverage as the Affordable Care Act has taken effect. And don't forget, you can still sign up through January 31 at healthcare.gov.
Number eight: America's global leadership on climate change. Last week, in Paris, nearly 200 countries came together to set the course for a low-carbon future. And it was only possible because America led with clean energy here at home and strong diplomacy around the world.
Number seven: progress in the Americas. We turned the page on an outdated, half-century old policy by reestablishing diplomatic relations with Cuba and reopening Embassies in both our countries, allowing us to build greater ties between Americans and Cubans.
Number six: preventing the spread of nuclear weapons. We succeeded in forging a strong deal to stop Iran from obtaining a nuclear weapon. In fact, Iran has already dismantled thousands of centrifuges that enrich uranium.
Number five: standing strong against terrorism. Even as we continue to grieve over the attack in San Bernardino, we are leading a global coalition and hitting ISIL harder than ever. In Syria and Iraq, ISIL is losing territory, and we're not going to stop until we destroy this terrorist organization.
Number four: a 21st-century trade deal that makes sure our businesses can sell goods ""Made in America"" across the Asia-Pacific. The Trans-Pacific Partnership is the strongest, most proworker, proenvironment trade agreement in our history. And it means that America—not China, not anyone else—will write the rules of the global economy for the century ahead.
Number three: a pair of Christmas miracles in Washington. This week, Congress passed a bipartisan budget that invests in middle class priorities, keeps our military the strongest in the world, and takes the threat of shutdowns and manufactured crises off the table for 2016. Plus, I signed a bipartisan education bill into law to help our students graduate prepared for college and their future careers. Number two: Love won. No matter who you are, here in America, you're free to marry the person you love, because the freedom to marry is now the law in all 50 States.
And the number one reason I'm optimistic going into 2016: It's you, the American people. All of this progress is because of you: because of workers rolling up their sleeves and getting the job done and entrepreneurs starting new businesses; because of teachers and health workers and parents, all of us taking care of each other; because of our incredible men and women in uniform, serving to protect us all; because when we're united as Americans, there's nothing that we cannot do.
That's why it's has been a good year. And it's why I'm confident we'll keep achieving big things in the New Year. So happy holidays, everybody.
  "
"68","January 09, 2016","Barack Obama","
    Hi, everybody. Seven years ago, the American auto industry was on the brink of collapse. Plants were closing. Hundreds of thousands of workers were getting laid off from jobs that had been their ticket to a middle class life. And as the pain spread across the country, another 1 million Americans would have lost their jobs in the middle of the worst economic crisis of our lifetimes.
Some said it was too late to turn things around. But I refused to turn my back on so many of the workers that I had met. Instead, I placed my bet on American workers. I placed my bet on American manufacturing. In exchange for help, we demanded responsibility. We said the auto industry would have to truly change, not just pretend that it did. We got labor and management to settle their differences. We got the industry to retool and restructure. Everyone had some skin in the game.
Our plan wasn't popular. Critics said it was a ""road to socialism,"" or a ""disaster"" waiting to happen. But I'd make that bet again any day of the week. Because today, the American auto industry is back. Since our plan went into effect, our automakers have added more than 640,000 new jobs. We've cut the Detroit-area unemployment rate by more than half. The Big Three automakers are raising wages. Seven years ago, auto sales hit a 27-year low. Last year, they hit an alltime high. Later this month, I'll visit the Detroit Auto Show to see this progress firsthand. Because I believe that every American should be proud of what our most iconic industry has done.
It's not unlike what America overall has done these past 7 years. Our businesses are now on a 70-month streak of job creation, with more than 14 million new jobs in all. We've revamped our schools and the way we pay for college. We've made historic investments in clean energy and put ourselves on a path to a low-carbon future. We've brought more than 17 million Americans into our health care system, seen health care prices grow at the lowest rate in 50 years, and covered more than 90 percent of our people for the very first time. We've even cut our deficits by nearly 75 percent in the process.
The point is, America can do anything. Even in times of great challenge and change, our future is entirely up to us. That's been on my mind while I'm writing my final State of the Union Address. And on Tuesday, I'm going to talk about the choices we have to make to set this country firmly on an even better, brighter course for decades to come.
Thanks, and have a great weekend.
  "
"69","October 31, 2015","Barack Obama","
    Hi, everybody. Today, there are 2.2 million people behind bars in America and millions more on parole or probation. Every year, we spend 80 billion in taxpayer dollars to keep people incarcerated. Many are nonviolent offenders serving unnecessarily long sentences.
I believe we can disrupt the pipeline from underfunded schools to overcrowded jails. I believe we can address the disparities in the application of criminal justice, from arrest rates to sentencing to incarceration. And I believe we can help those who have served their time and earned a second chance get the support they need to become productive members of society.
That's why over the course of this year, I've been talking to folks around the country about reforming our criminal justice system to make it smarter, fairer, and more effective.
In February, I sat down in the Oval Office with police officers from across the country. In the spring, I met with police officers and young people in Camden, New Jersey, where they're using community policing and data to drive down crime. Over the summer, I visited a prison in Oklahoma to talk with inmates and corrections officers about rehabilitating prisoners and preventing more people from ending up there in the first place. Two weeks ago, I visited West Virginia to meet with families battling prescription drug and heroin abuse, as well as people who are working on new solutions for treatment and rehabilitation. And last week, I traveled to Chicago to thank police chiefs from across the country for all that their officers do to protect Americans, to make sure they get the resources to get the job done, and to call for commonsense gun safety reforms that would make officers and their communities safer.
We know that having millions of people in the criminal justice system, without any ability to find a job after release, is unsustainable. It's bad for communities, and it's bad for our economy. So on Monday, I'll travel to Newark, New Jersey, to highlight efforts to help Americans who've paid their debt to society reintegrate back into their communities. Everyone has a role to play, from businesses that are hiring ex-offenders to philanthropies that are supporting education and training programs. And I'll keep working with people in both parties to get criminal justice reform bills to my desk, including a bipartisan bill that would reduce mandatory minimums for nonviolent drug offenders and reward prisoners with shorter sentences if they complete programs that make them less likely to commit a repeat offense.
There's a reason that good people across the country are coming together to reform our criminal justice system. Because it's not about politics. It's about whether we as a nation live up to our founding ideal of liberty and justice for all. And working together, we can make sure that we do.
Thanks, everybody. Have a great weekend. And have a safe and happy Halloween.
  "
"70","November 07, 2015","Barack Obama","
    Hi, everybody. For decades, too many working Americans went without the security of health insurance, and their financial well-being suffered because of it. We've begun to change that. As the Affordable Care Act has taken effect, we've covered 17.6 million Americans. Since 2010, the uninsured rate has decreased by 45 percent. And for the first time, more than 90 percent of Americans are covered.
If you haven't gotten covered yet, or if you care about someone who hasn't gotten covered yet, now's your chance. It's open enrollment season for the health insurance marketplace. What that means is, with a few clicks on healthcare.gov, you'll find private insurance companies competing for your business. You can compare plans and choose the one that's right for your family. In fact, most Americans will find an option that costs less than $75 a month. Even if you already have insurance through the marketplace, check it out. Shopping around can save you a lot of money. Last year, consumers who shopped saved almost $400.
Take the story of a man named Phil Viso, who e-mailed me earlier this year. Phil's a software developer from my hometown of Chicago. Last winter, he had an idea for a new app and decided to start his own company. And that can be scary when you need to get your own insurance. But Phil logged on to healthcare.gov, answered a few questions, picked a plan, and even found out he was eligible for a tax credit that saved him money.
And here's what he wrote: ""I'm still sort of in shock about how great the experience of signing up for health care was. . . . I will have a lot to worry about over the course of the year as I try to get my app released, but thankfully, good health care will not be one of those worries.""
After he sent me that e-mail, Phil ended up getting a new and better job anyway. But that's the whole point of health insurance. Peace of mind. And under the Affordable Care Act, if you want to change jobs, go back to school, or chase that new idea, you can do it without worrying about going broke if you get sick. If you've got a preexisting condition—diabetes or cancer or heartburn or a heart attack—you can no longer be charged more or denied coverage. You can no longer be charged more just for being a woman. And preventive care like checkups and immunizations now come with no additional out-of-pocket costs.
What we're talking about is no longer just a law, and it's certainly not the myths and scare tactics that the cynics have peddled our way for years. This is reality. This is health care in America. And the bottom line is, Americans like it. They're happy with their plans, and they're happy with their premiums.
So join them. Give it a shot. Check out healthcare.gov, cuidadodesalud.gov, or call 1-800-318-2596 to find a plan that's right for you or someone you care about.
And by the way, if you live in one of the 20 cities participating in our Healthy Communities Challenge, I want to see how many of your neighbors you can get to sign up. I'll come visit the city that enrolls the highest percentage of folks who aren't covered right now. That's a promise.
After all, this country is at its best when we look out for each other. And together, we can help more Americans get the security that they and their families deserve. Thanks, everybody. Have a great weekend.
  "
"71","November 14, 2015","Barack Obama","
    Hi, everybody. This week, America came together to salute our veterans, to express our appreciation to all who served so that we might live free. But our gratitude should extend beyond what our veterans have done for us in the past. It should remind us of our responsibility to serve them as well as they have served us. It should compel us to keep our veterans central to the ongoing work of this Nation.
In recent years, we've made historic investments to boost the VA budget, expand veterans' benefits and improve care for our wounded warriors. We've now slashed the disability claims backlog by nearly 90 percent from its peak. We're reducing the outrage of veterans' homelessness and we've helped tens of thousands of veterans get off the streets. The veterans' unemployment rate is down to 3.9 percent, even lower than the national average.
Of course, we're not satisfied. We've still got more work to do, and I've directed my administration to keep doing everything it can to fulfill our promise to our veterans. But this isn't just a job for government alone. We all have a role to play. Less than 1 percent of Americans are serving in uniform, so it's true most Americans don't always see and appreciate the incredible skills and assets that our veterans can offer. But every American should know that our veterans are some of the most talented, capable people in the world. They've mastered skills and technologies and leadership roles that are impossible to teach off the battlefield. They know how to get stuff done.
And as our veterans will tell you themselves, they're not finished serving their country. They're teachers and doctors, engineers and entrepreneurs, social workers and community leaders. They serve in Statehouses across the country and in Congress. As I tell small-business owners and CEOs on a regular basis, if you want to get the job done, hire a vet. Every sector, every industry, every community in this country can benefit from the incredible talents of our veterans.
Our troops and veterans give us their very best. That's what a soldier named Captain Florent Groberg proved. Three years ago, on patrol in Afghanistan, Flo saw a suicide bomber coming toward his unit. Without hesitating, Flo grabbed him by his vest and helped push him to the ground. When the bomb went off, Flo was badly injured, and four of his comrades were killed. But many more were saved because of Flo's sacrifice. Flo represents the very best of America, and this week, I was proud to present him with the Medal of Honor for his actions.
Veterans like Flo, they deserve our undying gratitude. They deserve the chance to keep serving the country they risked everything to defend. And so we must come together to keep giving them that chance, not just on Veterans Day, but on every single day of the year. May God bless all those who serve and all who have given their lives for our country, and may God bless the United States of America.
  "
"72","October 24, 2015","Barack Obama","
    Hi, everybody. Our country is home to some of the most beautiful God-given landscapes in the world. We're blessed with natural treasures, from the Grand Tetons to the Grand Canyon, from lush forests and vast deserts to lakes and rivers teeming with wildlife. And it's our responsibility to protect these treasures for future generations, just as previous generations protected them for us.
Since taking office, I've set aside more than 260 million acres of public lands and waters, more than any President in history. Last month, we announced that 11 States had come together with ranchers and industry groups to protect a threatened species, the sage grouse, without jeopardizing local economies. Two weeks ago, we announced that we're creating one new marine sanctuary on the Potomac River in Maryland and another along Lake Michigan in Wisconsin, part of unprecedented efforts to restore the Chesapeake Bay and the Great Lakes. We also joined a coalition of countries cracking down on illegal fishing that threatens jobs and food security around the globe. And I'm going to keep protecting the places that make America special and the livelihoods of those who depend on them.
We'll also keep doing what we can to prevent the worst effects of climate change before it's too late. Over the past 6 years, we've led by example, generating more clean energy and lowering our carbon emissions. Our businesses have stepped up in a big way, including just this past week. Some of our biggest companies made new commitments to act on climate, not just because it's good for the planet, but because it's good for their bottom line.
This is how America is leading on the environment. And because America is leading by example, 150 countries, representing over 85 percent of global emissions, have now laid out plans to reduce their levels of the harmful carbon pollution that warms our planet. That gives us great momentum going into Paris this December, where the world needs to come together and build on these individual commitments with an ambitious, long-term agreement to protect this Earth for our kids.
Now Congress has to do its job. This month, even as Republicans in Congress barely managed to keep our Government open, they shut down something called the Land and Water Conservation Fund. For more than half a century, this fund has protected more than 5 million acres of land, from playgrounds to parks to priceless landscapes, all without costing taxpayers a dime. Nearly every single county in America has benefited from this program. It has bipartisan support in both the House and the Senate. Republicans in Congress should reauthorize and fully fund the Land and Water Conservation Fund without delay.
After all, as Pope Francis reminds us so eloquently, this planet is a gift from God, and our common home. We should leave it to our kids in better shape than we found it.
Thanks, and have a great weekend.
  "
"73","December 05, 2015","Barack Obama","
    Hi, everybody. This weekend, our hearts are with the people of San Bernardino, another American community shattered by unspeakable violence. We salute the first responders—the police, the SWAT teams, the EMTs—who responded so quickly, with such courage, and saved lives. We pray for the injured as they fight to recover from their wounds.
Most of all, we stand with 14 families whose hearts are broken. We're learning more about their loved ones—the men and women, the beautiful lives—that were lost. They were doing what so many of us do this time of year: enjoying the holidays, celebrating with each other, rejoicing in the bonds of friendship and community that bind us together as Americans. Their deaths are an absolute tragedy, not just for San Bernardino, but for our country.
We're also learning more about the killers. And we're working to get a full picture of their motives: why they committed these revolting acts. It's important to let the investigators do their job. And we need to know all the facts. And at my direction, Federal law enforcement is helping in every way that they can. We're going to get to the bottom of this.
It is entirely possible that these two attackers were radicalized to commit this act of terror. And if so, it would underscore a threat we've been focused on for years: the danger of people succumbing to violent extremist ideologies. We know that ISIL and other terrorist groups are actively encouraging people—around the world and in our country—to commit terrible acts of violence, oftentimes as lone-wolf actors. And even as we work to prevent attacks, all of us—Government, law enforcement, communities, faith leaders—need to work together to prevent people from falling victim to these hateful ideologies.
More broadly, this tragedy reminds us of our obligation to do everything in our power, together, to keep our communities safe. We know that the killers in San Bernardino used military-style assault weapons—weapons of war—to kill as many people as they could. It's another tragic reminder that here in America, it's way too easy for dangerous people to get their hands on a gun.
For example, right now people on the no-fly list can walk into a store and buy a gun. That's insane. If you're too dangerous to board a plane, you're too dangerous, by definition, to buy a gun. And so I'm calling on Congress to close this loophole now. We may not be able to prevent every tragedy, but at a bare minimum, we shouldn't be making it so easy for potential terrorists or criminals to get their hands on a gun that they could use against Americans.
Today, in San Bernardino, investigators are searching for answers. Across our country, law enforcement professionals are tireless. They're working around the clock, as always, to protect our communities. As President, my highest priority is the security and safety of the American people.
This is work that should unite us all—as Americans—so that we're doing everything in our power to defend our country. That's how we can honor the lives we lost in San Bernardino. That's how we can send a message to all those who would try to hurt us. We are Americans. We will uphold our values: a free and open society. We are strong, and we are resilient, and we will not be terrorized.
  "
"74","October 03, 2015","Barack Obama","
    Hi, everybody. Yesterday we learned that our businesses created another 118,000 new jobs in September. That makes 67 straight months of job creation and 13.2 million new jobs in all. But we'd be doing even better if we didn't have to keep dealing with crises in Congress every few months. And especially at a time when the global economy is softening, our own growth could slow if Congress doesn't do away with harmful austerity measures.
Now, on Wednesday, more than half of Republicans in Congress voted to shut down the Government for the second time in 2 years. Fortunately, there were enough votes in both parties to pass a last-minute bill to keep the Government open for another 10 weeks. Unfortunately, that gimmick only sets up another shutdown threat 2 weeks before Christmas.
Look, that's not the way America should operate. It just kicks the can down the road without solving any problems or doing any long-term planning for the future. And that's why I will not sign another shortsighted, short-term spending bill like the one Congress sent me this week.
Here's why. A few years ago, both parties agreed to put in place what have proven to be harmful, automatic cuts that make no distinction between spending we don't need and spending we do. Those cuts have actually kept our economy from growing faster. Even worse, they're actually undermining the middle class.
And here's one example. If we don't undo these mindless cuts, then next year, we'll be funding our kids' education at the same levels per pupil we did in the year 2000. Compared to my budget, that would be like cutting Federal funding for 4,500 schools, 17,500 teachers and aides, 1.9 million students. That's not good for our kids or our economy. It's a prescription for American decline. And it shouldn't happen. We should invest in things like education today, or we're going to pay the price tomorrow.
So Congress should do its job, stop kicking the can down the road, and pass a serious budget rather than flirt with another shutdown. A serious budget is one that keeps America strong through our military and law enforcement; that keeps America generous through caring for our veterans and our seniors; that keeps America competitive by educating our kids and our workers.
That's what I want to work with serious people in both parties to achieve. Because that's how we'll build on the progress of 13 million new jobs and help the middle class get ahead.
Thanks, everybody, and have a great weekend.
  "
"75","September 19, 2015","Barack Obama","
    Hi, everybody. It is hard to believe, but it was 7 years ago this week that one of Wall Street's biggest investment banks went bankrupt, triggering a meltdown on Wall Street and the worst economic crisis since the Great Depression. And in the months that followed, millions of Americans lost their jobs, their homes, and the savings they'd worked so hard to build.
Today's a different story. Over the past 5½ years, our businesses have created more than 13 million new jobs. The unemployment rate is lower than it's been in over 7 years. Manufacturing is growing. Housing is bouncing back. We've reduced our deficits by two-thirds. And 16 million more Americans now know the security of health insurance.
This is your progress. It's because of your hard work and sacrifice that America has come back from crisis faster than almost every other advanced nation on Earth. We remain the safest, strongest bet in the world.
Of course, you might not know all that if you only listened to the bluster of political season, when it's in the interest of some politicians to paint America as dark and depressing as possible. But I don't see it that way. I've met too many Americans who prove, day in and day out, that this is a place where anything is possible. Yes, we have a lot of work to do to rebuild a middle class that's had the odds stacked against it now for decades. But that's the thing about America: Our work is never finished. We always strive to be better, to perfect ourselves.
We just have to make the right choices. And if Republicans want to help, they can choose, right now, to pass a budget that helps us grow our economy even faster, create jobs even faster, lift people's incomes and prospects even faster. But they've only got until the end of the month to do it, or they'll shut down our Government for the second time in 2 years.
Democrats are ready to sit down and negotiate with Republicans right now. But it should be over legitimate issues like how much do we invest in education, job training, and infrastructure, not unrelated ideological issues like Planned Parenthood. We need to set our sights higher than that. We need to reverse harmful cuts to middle class economic priorities, close loopholes that benefit only a fortunate few at the top, and invest more in the things that help our entire economy grow.
There's nothing principled about the idea of another Government shutdown. There's nothing patriotic about denying the progress you've worked so hard to make. America is great right now, not because of our Government or our wealth or our power, but because of everyone who works hard every day to move this country forward. Now Congress needs to work as hard as you do.
Thanks, and have a great weekend.
  "
"76","October 10, 2015","Barack Obama","
    Hi, everybody. This week, after 5 years of effort with 11 other nations, we reached agreement on a new trade deal that promotes American values and protects American workers. There's a reason this Trans-Pacific Partnership took 5 years to negotiate. I wanted to get the best possible deal for American workers. And that is what we've done. Here's why it matters.
Ninety-five percent of the world's consumers live outside our borders—95 percent. They want to buy American products. They want our cars, our music, our food. And if American businesses can sell more of their products in those markets, they can expand and support good jobs here at home.
So it's no wonder that exports played a huge role in helping America recover from the great recession. In fact, last year, we set a new record for American exports for the fifth year in a row, selling more than $2 trillion in goods and services. Our exports support roughly 12 million American jobs, and they're jobs that typically pay better than other jobs.
But here's the thing: outdated trade rules put our workers at a disadvantage. And TPP will change that. Right now other countries can cut their costs by setting lower standards to pay lower wages. This trade agreement, TPP, will change that, holding partner countries to higher standards and raising wages across a region that makes up nearly 40 percent of the global economy.
Right now other countries charge foreign taxes on goods that are made in America. Japan, for example, puts a 38 percent tax on American beef before it even reaches the market. Malaysia puts a 30 percent tax on American auto parts. Vietnam puts taxes as high as 70 percent on every car American automakers sell there. Those taxes and other trade barriers put our workers at a disadvantage. It makes it more expensive to make goods here and sell them over there. Well, TPP is going to change that. It eliminates more than 18,000 of these taxes on American goods and services. And that way, we're boosting America's farmers, ranchers, manufacturers, and small-business owners: make it easier for them to sell their products abroad.
That's what it means to level the playing field for American workers and businesses. And when the playing field is level and the rules are fair, Americans can outcompete anybody in the world.
Now, I'm the first person who will say that past trade agreements haven't always lived up to their promise. Sometimes, they've been tilted too much in the direction of other countries, and we haven't gotten a fair deal. And that makes folks suspicious of any new trade initiatives. But let's be clear. Our future depends not on what past trade deals did wrong, but on doing new trade deals right. And that's what the TPP does.
It includes the strongest labor standards in history, from requiring fairer hours to prohibiting child labor and forced labor. It includes the strongest environmental standards in history. All these things level the playing field for us, because if they have to follow these rules, then they can't undercut us and sell their products cheaper because they're violating these rules. And unlike past trade agreements, these standards are actually enforceable. Without this agreement, competitors that don't share our values, like China, will write the rules of the global economy. They'll keep selling into our markets and trying to lure companies over there; meanwhile, they're going to keep their markets closed to us. That's what's been going on for the last 20 years. That's what's contributed so much to outsourcing. That's what has made it easier for them to compete against us. And it needs to change.
With this Trans-Pacific Partnership, we are writing the rules for the global economy. America is leading in the 21st century. Our workers will be the ones who get ahead. Our businesses will get a fair deal. And those who oppose passing this new trade deal are really just accepting a status quo that everyone knows puts us at a disadvantage.
Look, you don't have to take my word for it. In the coming weeks and months, you'll be able to read every word of this agreement online well before I sign it. You'll be able to see for yourself how this agreement is better than past trade deals and how it's better for America's working families. You can learn more at whitehouse.gov. And I look forward to working with both parties in Congress to approve this deal and grow our economy for decades to come.
Thanks, everybody. And have a great weekend.
  "
"77","October 17, 2015","Barack Obama","
    Hi, everybody. Thirty years ago, there were 500,000 people behind bars in America. Today, there are 2.2 million. The United States is home to 5 percent of the world's population, but 25 percent of the world's prisoners. Every year, we spend $80 billion to keep people locked up.
Now, many of the folks in prison absolutely belong there. Our streets are safer thanks to the brave police officers and dedicated prosecutors who put violent criminals behind bars. But over the last few decades, we've also locked up more nonviolent offenders than ever before, for longer than ever before. That's one of the real reasons our prison population is so high.
Ever since I was a Senator, I've talked about how, in too many cases, our criminal justice system is a pipeline from underfunded schools to overcrowded jails. And we've taken steps to address it. We've invested in our schools to give at-risk young people a better shot to succeed. I've signed a bill reducing the 100-to-1 sentencing disparity between crack and powder cocaine. I've commuted the sentences of dozens of people sentenced under old drug laws we now recognize were unfair. The Department of Justice has gotten ""Smart on Crime,"" refocusing efforts on the worst offenders and pursuing mandatory minimum sentences less frequently.
Still, much of our criminal justice system remains unfair. In recent years, more of our eyes have been opened to this truth, and we can't close them anymore. Good people of all political persuasions are eager to do something about it.
Over the next few weeks, I'll travel the country to highlight some of the Americans who are doing their part to fix our criminal justice system. I'll visit a community battling prescription drug and heroin abuse. I'll speak with leaders from law enforcement who are determined to lower the crime rate and the incarceration rate and with police chiefs who have dedicated their careers to keeping our streets and officers safe. I'll meet with former prisoners who are earning their second chance.
And I'll keep working with lawmakers from both parties who are determined to get criminal justice reform bills to my desk. Earlier this month, Democrats and Republicans came together in the Senate to introduce such a bill, one that would reduce mandatory minimums for nonviolent drug offenders and reward prisoners with shorter sentences if they complete programs that make them less likely to commit a repeat offense. There's a similar bill working its way through the House, and I'm encouraged by these kinds of bipartisan efforts. It is real progress, not liberal ideas or conservative ideas, but commonsense solutions to the challenges we face.
From the halls of Congress to the classrooms in our schools, we pledge allegiance to one Nation under God, with liberty and justice for all. And Justice means that every child deserves a chance to grow up safe and secure, without the threat of violence. Justice means that the punishment should fit the crime. And justice means allowing our fellow Americans who have made mistakes to pay their debt to society and rejoin their community as active, rehabilitated citizens. Justice has never been easy to achieve, but it's always been worth fighting for. And it's something I'll keep fighting for as long as I have the privilege to serve as your President.
Thanks, and have a great weekend.
  "
