State,HouseholdIncome,Region,Population,EighthGradeMath,HighSchool,College,IQ,GSP,Vegetables,Fruit,Smokers,PhysicalActivity,Obese,NonWhite,HeavyDrinkers,Electoral,ObamaVote,ObamaRomney,TwoParents,StudentSpending,Insured
Michigan,48.411,MW,9.910,280.1,90.0,29.2,100.5,35.298,75.2,62.3,21.4,53.1,31.5,20.7,6.3,16,0.542,O,64.1,10.948,82.6
Minnesota,59.836,MW,5.457,294.6,92.8,38,103.7,47.028,76.4,61.8,18,52.7,25.5,14.4,7.3,10,0.527,O,71.2,11.089,87.1
Mississippi,39.031,S,2.994,271.2,84.2,21.1,94.2,28.944,69.4,50.1,24.8,37.4,35.1,40.5,4.2,6,0.438,R,52.3,8.13,71.9
Missouri,47.38,MW,6.064,283,90.0,31.2,101,36.815,75.7,56.9,22.1,48.7,30.4,17,6,10,0.444,R,65.5,9.597,81.2
Montana,46.23,W,1.024,289.2,92.5,31.1,103.4,33.204,79.5,61.4,19,57.8,24.6,10.6,7.7,3,0.417,R,67,10.625,78.5
Nebraska,51.672,MW,1.882,285.1,90.1,33.3,102.3,44.943,76.7,60.3,18.5,50.1,29.6,11.8,6.8,5,0.38,R,70.5,11.579,82.4
Nevada,52.8,W,2.839,278.3,83.9,21.5,96.5,41.029,79.2,64.4,19.4,53.6,26.2,28.6,7.1,6,0.524,O,62.7,8.339,72.7
New Hampshire,64.916,NE,1.327,295.7,93.0,36.5,104.2,42.958,83.2,66.2,16.2,55.4,26.7,6,6.5,4,0.52,O,69.6,13.721,84.4
New Jersey,71.629,NE,8.938,296.1,90.7,41.5,102.8,49.430,78.6,64.7,15.7,50.5,26.3,30.8,5,14,0.584,O,69.2,17.572,80.7
New Mexico,44.927,W,2.086,272.8,84.0,21.4,95.7,33.900,78.5,60.8,19.1,55,26.4,27,5.9,5,0.53,O,56.6,9.012,73.8
New York,58.003,NE,19.746,281.8,88.4,41.9,100.7,53.067,78.0,65.5,16.6,47.3,25.4,34.4,6,29,0.633,O,64.2,19.818,83
North Carolina,46.334,S,9.944,285.6,85.8,30.2,100.2,40.289,77.6,57.7,20.3,48.6,29.4,30.3,4.9,15,0.484,R,61.9,8.39,75.8
North Dakota,53.741,MW,0.739,290.5,95.4,33.9,103.8,55.250,72.6,59.7,21.2,45.3,31,10.4,7.2,3,0.387,R,72.5,11.98,87.6
Ohio,48.308,MW,11.594,289.5,90.3,30.3,101.8,37.690,73.7,58.3,23.4,49.5,30.4,17.1,5.7,18,0.507,O,63.4,11.197,83.3
Oklahoma,45.339,S,3.878,275.5,87.3,24.6,99.3,36.252,74.7,49.6,23.7,43.9,32.5,26.5,4.2,7,0.332,R,64.4,7.672,77.4
Oregon,50.229,W,3.970,283.5,88.7,30.1,101.2,48.069,83.7,66.6,17.3,64.1,26.5,14.8,8.6,7,0.542,O,69,9.543,75
Pennsylvania,52.548,NE,12.787,289.6,91.4,35.7,101.5,40.063,75.3,62.5,21,47.8,30,17.8,5.9,20,0.52,O,65.1,13.864,84.8
Rhode Island,56.361,NE,1.055,284.1,89.3,35.7,99.5,41.678,78.7,64.7,17.4,49.1,27.3,18.6,6.1,4,0.627,O,59.1,14.415,81.3
South Carolina,44.779,S,4.832,279.8,86.3,27.3,98.4,31.881,73.2,54.8,22,49.1,31.7,32.8,5.7,9,0.441,R,58.3,9.514,76.1
South Dakota,49.495,MW,0.853,287.3,92.2,29.1,102.8,43.181,75.5,60.7,19.6,53.7,29.9,14.4,5.2,3,0.399,R,67.5,8.47,85.1
Tennessee,44.298,S,6.549,277.7,88.6,27.5,97.7,37.254,75.7,55.2,24.3,37.7,33.7,21.8,3.3,11,0.391,R,62.1,8.208,78.8
Texas,51.9,S,26.957,288.2,83.8,26.9,100,46.498,78.5,57.3,15.9,42.1,30.9,25.6,5.9,38,0.414,R,64.4,8.299,67.3
Utah,58.821,W,2.943,284.3,91.2,29.9,101.1,39.158,79.6,63.5,10.3,55.3,24.1,11.6,4.5,6,0.247,R,80.6,6.555,80.8
Vermont,54.267,NE,0.627,295.5,93.4,37.2,103.8,38.198,83.5,67.2,16.6,58.8,24.7,4.8,7.1,3,0.666,O,67.1,16.377,88.5
Virginia,63.907,S,8.326,288.1,90.8,38.9,101.9,47.127,78.6,62.6,19,51.9,27.2,30.5,5.7,13,0.512,O,67.9,10.96,81.6
Washington,59.478,W,7.062,290,89.5,31.9,101.9,47.146,81.8,63.5,16.1,56.3,27.2,21.5,6.6,12,0.562,O,69.7,9.672,79.4
West Virginia,41.043,S,1.850,274.4,90.2,23.2,98.7,30.389,75.8,54.0,27.3,47.6,35.1,6.2,3.9,5,0.355,R,62.8,11.132,76.3
Wisconsin,52.413,MW,5.758,288.7,91.7,31.2,102.9,39.308,74.2,62.2,18.7,53.4,29.8,13,7.8,10,0.528,O,68.6,11.071,85.8
Wyoming,57.406,W,0.584,288.1,92.7,25.7,102.4,54.305,79.9,59.1,20.6,54.2,27.8,9.1,5.8,3,0.278,R,71.3,15.7,76.4
