Player,Position,Team,TotalMoney,YearlySalary
Cameron Jordan,34DE,Saints,55,11
Larry Fitzgerald,WR,Cardinals,22,11
Bobby Wagner,ILB,Seahawks,43,10.75
Geno Atkins,43DT,Bengals,53.327,10.665
Byron Maxwell,CB,Eagles,63,10.5
Ryan Clady,LT,Broncos,52.5,10.5
Cameron Heyward,34DE,Steelers,52.281,10.456
Jimmy Smith,CB,Ravens,41.102,10.276
Corey Liuget,34DE,Chargers,51.25,10.25
Lavonte David,43OLB,Buccaneers,50.25,10.05
Nate Solder,LT,Patriots,20.062,10.031
Brandon Carr,CB,Cowboys,50.1,10.02
D’Brickashaw Ferguson,LT,Jets,60,10
Jimmy Graham,TE,Seahawks,40,10
Randall Cobb,WR,Packers,40,10
Earl Thomas,S,Seahawks,40,10
DeMarcus Ware,34OLB,Broncos,30,10
Kyle Williams,43DT,Bills,10,10
Jordy Nelson,WR,Packers,39.05,9.763
Andrew Whitworth,LT,Bengals,19.525,9.763
Sam Shields,CB,Packers,39,9.75
Leon Hall,CB,Bengals,39,9.75
Jason Peters,LT,Eagles,38.3,9.575
Lawrence Timmons,ILB,Steelers,47.796,9.559
Aqib Talib,CB,Broncos,57,9.5
Devin McCourty,S,Patriots,47.5,9.5
Branden Albert,LT,Dolphins,47,9.4
Julius Thomas,TE,Jaguars,46,9.2
Brandon Flowers,CB,Chargers,36.4,9.1
NaVorro Bowman,ILB,49ers,45.25,9.05
Jairus Byrd,S,Saints,54,9
Rob Gronkowski,TE,Patriots,54,9
Jerry Hughes,34OLB,Bills,45,9
Jurrell Casey,34DE,Titans,36,9
Vontae Davis,CB,Colts,36,9
Tom Brady,QB,Patriots,27,9
Mike Pouncey,C,Dolphins,44.75,8.95
Duane Brown,LT,Texans,53.4,8.9
Rodney Hudson,C,Raiders,44.5,8.9
Maurkice Pouncey,C,Steelers,44.137,8.827
Brian Cushing,ILB,Texans,52.5,8.75
Arian Foster,RB,Texans,43.5,8.7
Julius Peppers,34OLB,Packers,26,8.667
Brandon Marshall,WR,Jets,26,8.667
Jason McCourty,CB,Titans,43.04,8.608
Victor Cruz,WR,Giants,43,8.6
Logan Mankins,LG,Buccaneers,51,8.5
"Chris Harris, Jr.",CB,Broncos,42.5,8.5
Everson Griffen,43DE,Vikings,42.5,8.5
Jared Odrick,43DE,Jaguars,42.5,8.5
Pierre Garcon,WR,Redskins,42.5,8.5
Kareem Jackson,CB,Texans,34,8.5
Jake Long,LT,Rams,34,8.5
John Sullivan,C,Vikings,8.5,8.5
DeAndre Levy,43OLB,Lions,33.74,8.435
Alex Mack,C,Browns,42,8.4
Antonio Brown,WR,Steelers,41.96,8.392
Eric Berry,S,Chiefs,50.045,8.341
James Laurinaitis,ILB,Rams,41.5,8.3
Cameron Wake,43DE,Dolphins,33.2,8.3
Dashon Goldson,S,Redskins,41.25,8.25
Ryan Kalil,C,Panthers,49.116,8.186
Paul Kruger,34OLB,Browns,40.5,8.1
Russell Okung,LT,Seahawks,48.5,8.083
LeSean McCoy,RB,Bills,40.05,8.01
Mike Iupati,LG,Cardinals,40,8
Eric Weddle,S,Chargers,40,8
Torrey Smith,WR,49ers,40,8
DeMarco Murray,RB,Eagles,40,8
Brent Grimes,CB,Dolphins,32,8
Daryl Washington,ILB,Cardinals,32,8
Chris Culliver,CB,Redskins,32,8
Jared Allen,43DE,Bears,32,8
Antonio Cromartie,CB,Jets,32,8
DeSean Jackson,WR,Redskins,24,8
Carlos Dunlap,43DE,Bengals,39.37,7.874
Aldon Smith,34OLB,49ers,7.754,7.754
Pernell McPhee,34OLB,Bears,38.75,7.75
Brian Orakpo,34OLB,Titans,31,7.75
Nick Mangold,C,Jets,54.075,7.725
Andrew Luck,QB,Colts,38.263,7.653
Charles Clay,TE,Bills,38,7.6
Matt Forte,RB,Bears,30.4,7.6
Eugene Monroe,LT,Ravens,37.5,7.5
William Beatty,LT,Giants,37.5,7.5
Greg Olsen,TE,Panthers,22.5,7.5
Jordan Cameron,TE,Dolphins,15,7.5
Robert Griffin III,QB,Redskins,37.274,7.455
Joe Staley,LT,49ers,44.65,7.442
Donald Butler,ILB,Chargers,51.8,7.4
Jason Witten,TE,Cowboys,37,7.4
Vernon Davis,TE,49ers,36.75,7.35
Johnathan Joseph,CB,Texans,22,7.333
Jerod Mayo,ILB,Patriots,22,7.333
Orlando Franklin,LG,Chargers,36.5,7.3
Kyle Rudolph,TE,Vikings,36.5,7.3
Jonathan Stewart,RB,Panthers,36.5,7.3
Eric Decker,WR,Jets,36.25,7.25
Mychal Kendricks,ILB,Eagles,29,7.25
Antonio Gates,TE,Chargers,36.175,7.235
Jermon Bushrod,LT,Bears,35.965,7.193
David Harris,ILB,Jets,21.5,7.167
Jared Veldheer,LT,Cardinals,35.75,7.15
Michael Bennett,43DE,Seahawks,28.5,7.125
Cliff Avril,43DE,Seahawks,28.5,7.125
Jared Cook,TE,Rams,35.1,7.02
Reshad Jones,S,Dolphins,28.012,7.003
Kam Chancellor,S,Seahawks,28.002,7.001
Sean Lee,ILB,Cowboys,42,7
Dominique Rodgers-Cromartie,CB,Giants,35,7
Lamarr Houston,43DE,Bears,35,7
Michael Griffin,S,Titans,35,7
King Dunlap,LT,Chargers,28,7
Donte Whitner,S,Browns,28,7
Tramon Williams,CB,Browns,21,7
Andre Johnson,WR,Colts,21,7
Trent Cole,34OLB,Colts,14,7
Lance Briggs,43OLB,Bears,7,7
Jamaal Charles,RB,Chiefs,27.75,6.938
Jason Hatcher,34DE,Redskins,27.5,6.875
Sam Baker,LT,Falcons,41.1,6.85
Desmond Bryant,34DE,Browns,34,6.8
Bryan Bulaga,RT,Packers,33.75,6.75
Josh Sitton,LG,Packers,33.75,6.75
Derrick Morgan,43DE,Titans,27,6.75
KJ Wright,43OLB,Seahawks,27,6.75
Ahmad Brooks,34OLB,49ers,40.4,6.733
Arthur Jones,43DT,Colts,33,6.6
Aaron Williams,S,Bills,26.008,6.502
Brandon Graham,34OLB,Eagles,26,6.5
Whitney Mercilus,34OLB,Texans,26,6.5
Dwayne Bowe,WR,Browns,13,6.5
Max Unger,C,Saints,25.835,6.459
Justin Blalock,LG,Falcons,38.4,6.4
Paul Soliai,43DT,Falcons,32,6.4
Jermey Parnell,RT,Jaguars,32,6.4
Dennis Pitta,TE,Ravens,32,6.4
Marshal Yanda,RG,Ravens,32,6.4
Alterraun Verner,CB,Buccaneers,25.5,6.375
Eric Wood,C,Bills,25.4,6.35
Rodger Saffold,RG,Rams,31.722,6.344
Jameis Winston,QB,Buccaneers,25.351,6.338
Jason Kelce,C,Eagles,37.5,6.25
Linval Joseph,43DT,Vikings,31.25,6.25
Allen Bailey,34DE,Chiefs,25,6.25
Buster Skrine,CB,Jets,25,6.25
Chris Myers,C,Texans,25,6.25
Dan Williams,43DT,Raiders,25,6.25
Phil Loadholt,RT,Vikings,25,6.25
Golden Tate,WR,Lions,31,6.2
Morgan Burnett,S,Packers,24.75,6.188
Cortez Allen,CB,Steelers,24.6,6.15
Vontaze Burfict,43OLB,Bengals,18.43,6.143
Davon House,CB,Jaguars,24.5,6.125
Marcus Mariota,QB,Titans,24.214,6.053
Barry Cofield,34DT,Redskins,36,6
Connor Barwin,34OLB,Eagles,36,6
Marcus Gilbert,RT,Steelers,30,6
William Moore,S,Falcons,30,6
Austin Howard,RT,Raiders,30,6
Anthony Collins,RT,Buccaneers,30,6
Zane Beadles,LG,Jaguars,30,6
LaRon Landry,S,Colts,24,6
Ben Grubbs,LG,Chiefs,24,6
Karlos Dansby,ILB,Browns,24,6
Roddy White,WR,Falcons,18,6
Curtis Lofton,ILB,Raiders,18,6
Thomas Davis,43OLB,Panthers,18,6
Cary Williams,CB,Seahawks,18,6
Andre Smith,RT,Bengals,18,6
Jahri Evans,RG,Saints,18,6
Wes Welker,WR,Broncos,12,6
Anquan Boldin,WR,49ers,12,6
Tamba Hali,34OLB,Chiefs,6,6
Percy Harvin,WR,Bills,6,6
Da’Norris Searcy,S,Titans,23.75,5.938
Mathias Kiwanuka,43OLB,Giants,17.75,5.917
Louis Vasquez,RG,Broncos,23.5,5.875
"Dante Fowler, Jr.",43DE,Jaguars,23.49,5.873
Andy Levitre,LG,Falcons,23.25,5.813
Nate Allen,S,Raiders,23,5.75
Jon Beason,ILB,Giants,17,5.667
Amari Cooper,WR,Raiders,22.663,5.666
T.J. Ward,S,Broncos,22.5,5.625
Brian Robison,43DE,Vikings,22.4,5.6
Jadeveon Clowney,34OLB,Texans,22.273,5.568
Eric Fisher,LT,Chiefs,22.19,5.548
Derrick Johnson,ILB,Chiefs,27.65,5.53
Marcus Gilchrist,S,Jets,22,5.5
D\’Qwell Jackson,ILB,Colts,22,5.5
Sean Smith,CB,Chiefs,16.5,5.5
Cortland Finnegan,CB,Dolphins,11,5.5
Jabaal Sheard,34OLB,Patriots,11,5.5
Will Hill,S,Ravens,5.458,5.458
Robert Mathis,34OLB,Colts,16.294,5.431
Lardarius Webb,CB,Ravens,16.25,5.417
Greg Robinson,LT,Rams,21.284,5.321
Brandon Scherff,RT,Redskins,21.216,5.304
Luke Joeckel,LT,Jaguars,21.202,5.3
Derek Newton,RT,Texans,26.5,5.3
Von Miller,34OLB,Broncos,21,5.25
Antoine Bethea,S,49ers,21,5.25
Stephen Paea,34DT,Redskins,21,5.25
Brian Hoyer,QB,Texans,10.5,5.25
Elvis Dumervil,34OLB,Ravens,26,5.2
Clint Boling,LG,Bengals,26,5.2
TJ Lang,RG,Packers,20.8,5.2
Terrell Suggs,34OLB,Ravens,20.5,5.175
Malcolm Jenkins,S,Eagles,15.5,5.167
Blake Bortles,QB,Jaguars,20.655,5.164
Dion Jordan,43DE,Dolphins,20.572,5.143
Keenan Lewis,CB,Saints,25.55,5.11
Stephen Tulloch,ILB,Lions,25.5,5.1
Martellus Bennett,TE,Bears,20.4,5.1
Dannell Ellerbe,ILB,Saints,15.2,5.067
Ron Parker,S,Chiefs,25,5
Tyson Jackson,43DT,Falcons,25,5
Mike Mitchell,S,Steelers,25,5
Brandon Mebane,43DT,Seahawks,25,5
Michael Johnson,43DE,Bengals,20,5
Rey Maualuga,43OLB,Bengals,15,5
Paul Posluszny,ILB,Jaguars,15,5
Emmanuel Sanders,WR,Broncos,15,5
Doug Free,RT,Cowboys,15,5
Eddie Royal,WR,Bears,15,5
Brandon Browner,CB,Saints,15,5
Perrish Cox,CB,Titans,15,5
Justin Tuck,43DE,Raiders,10,5
Nick Fairley,43DT,Rams,5,5
Sammy Watkins,WR,Bills,19.936,4.984
Lane Johnson,LT,Eagles,19.853,4.963
Matt Kalil,LT,Vikings,19.771,4.943
Brent Celek,TE,Eagles,29.25,4.875
Brandon Fusco,RG,Vikings,24.25,4.85
Donald Penn,LT,Raiders,9.6,4.8
James Carpenter,RG,Jets,19.1,4.775
Danny Amendola,WR,Patriots,14.25,4.75
Greg Toler,CB,Colts,14.25,4.75
Glover Quin,S,Lions,23.5,4.7
Khalil Mack,43OLB,Raiders,18.677,4.669
Josh McCown,QB,Browns,14,4.667
Leonard Williams,34DE,Jets,18.631,4.658
Ezekiel Ansah,43DE,Lions,18.595,4.649
Justin Blackmon,WR,Jaguars,18.512,4.628
Lance Kendricks,TE,Rams,18.5,4.625
Kenny Britt,WR,Rams,9.15,4.575
Jon Asamoah,RG,Falcons,22.5,4.5
Riley Cooper,WR,Eagles,22.5,4.5
Brooks Reed,34OLB,Falcons,22.5,4.5
Sen’Derrick Marks,43DT,Jaguars,18,4.5
Reggie Nelson,S,Bengals,18,4.5
Breno Giacomini,RT,Jets,18,4.5
Vince Wilfork,34DT,Texans,9,4.5
Domata Peko,43DT,Bengals,9,4.5
Mark Sanchez,QB,Eagles,9,4.5
Terrance Knighton,43DT,Redskins,4.45,4.45
Delanie Walker,TE,Titans,17.5,4.375
Chris Clemons,43DE,Jaguars,17.5,4.375
Doug Baldwin,WR,Seahawks,13,4.333
Stephen Gostkowski,K,Patriots,17.2,4.3
Kendall Langford,34DE,Colts,17.2,4.3
Shawn Lauvao,LG,Redskins,17,4.25
Julian Edelman,WR,Patriots,17,4.25
DeAngelo Hall,CB,Redskins,17,4.25
Bruce Carter,43OLB,Buccaneers,17,4.25
Leodis McKelvin,CB,Bills,17,4.25
Koa Misi,43OLB,Dolphins,17,4.25
Osi Umenyiora,43DE,Falcons,8.5,4.25
Marcus Cannon,RT,Patriots,8.5,4.25
Shelley Smith,LG,Broncos,4.25,4.25
Geoff Schwartz,G,Giants,16.8,4.2
Sebastian Vollmer,RT,Patriots,16.75,4.188
Kevin White,WR,Bears,16.563,4.141
Shane Vereen,RB,Giants,12.35,4.117
Jake Matthews,RT,Falcons,16.43,4.107
Dan Skuta,ILB,Jaguars,20.5,4.1
Barkevious Mingo,34OLB,Browns,16.347,4.087
Owen Daniels,TE,Broncos,12.25,4.083
Corey Graham,CB,Bills,16.3,4.075
Morris Claiborne,CB,Cowboys,16.265,4.066
Roy Miller,43DT,Jaguars,16.25,4.063
Zach Strief,RT,Saints,20,4
Brandon Pettigrew,TE,Lions,16,4
Andre Roberts,WR,Redskins,16,4
CJ Spiller,RB,Saints,16,4
Mark Ingram,RB,Saints,16,4
Earl Mitchell,43DT,Dolphins,16,4
Ziggy Hood,43DT,Jaguars,16,4
Erik Walden,34OLB,Colts,16,4
Frank Gore,RB,Colts,12,4
Rahim Moore,S,Texans,12,4
Steven Jackson,RB,Falcons,12,4
Perry Riley,ILB,Redskins,12,4
Mike Neal,34OLB,Packers,8,4
Chad Henne,QB,Jaguars,8,4
Heath Miller,TE,Steelers,8,4
Greg Jennings,WR,Dolphins,8,4
Chad Greenway,43OLB,Vikings,4,4
Wesley Woodyard,ILB,Titans,15.75,3.938
Malcom Floyd,WR,Chargers,11.55,3.85
Sean Weatherspoon,34OLB,Cardinals,3.85,3.85
Orlando Scandrick,CB,Cowboys,19,3.8
Sammie Lee Hill,34DT,Titans,11.4,3.8
Sebastian Janikowski,K,Raiders,15.1,3.775
Dustin Colquitt,P,Chiefs,18.75,3.75
Robbie Gould,K,Bears,15,3.75
Antrel Rolle,S,Bears,11.25,3.75
Harry Douglas,WR,Titans,11.25,3.75
Garrett Graham,TE,Texans,11.25,3.75
Captain Munnerlyn,CB,Vikings,11.25,3.75
DeMeco Ryans,ILB,Eagles,7.5,3.75
Henry Melton,43DT,Buccaneers,3.75,3.75
Jarius Wright,WR,Vikings,14.8,3.7
Marcel Reece,FB,Raiders,11.02,3.673
Ryan Mathews,RB,Eagles,11,3.667
Mike Evans,WR,Buccaneers,14.631,3.658
Thomas Morstead,P,Saints,21.885,3.648
Jonathan Cooper,LG,Cardinals,14.549,3.637
Mike Scifres,P,Chargers,18.125,3.625
Scott Wells,C,Rams,7.25,3.625
Ryan Fitzpatrick,QB,Jets,7.25,3.625
Vic Beasley,43DE,Falcons,14.495,3.624
Mark Barron,S,Rams,14.467,3.617
Justin Durant,43OLB,Falcons,10.8,3.6
Ereck Flowers,RT,Giants,14.392,3.598
Evan Dietrich-Smith,C,Buccaneers,14.25,3.563
Rob Sims,LG,Lions,14.2,3.55
Dwayne Harris,WR,Giants,17.5,3.5
Kory Lichtensteiger,C,Redskins,17.5,3.5
Tramaine Brock,CB,49ers,14,3.5
Jeremy Kerley,WR,Jets,14,3.5
Steve Smith,WR,Ravens,10.5,3.5
Toby Gerhart,RB,Jaguars,10.5,3.5
Donald Brown,RB,Chargers,10.5,3.5
Jerraud Powers,CB,Cardinals,10.5,3.5
Steve Johnson,WR,Chargers,10.5,3.5
Malcolm Smith,43OLB,Raiders,7,3.5
Marques Colston,WR,Saints,7,3.5
Darren Sproles,RB,Eagles,7,3.5
Rob Ninkovich,43DE,Patriots,7,3.5
Michael Oher,RT,Panthers,7,3.5
Ryan Mallett,QB,Texans,7,3.5
Michael Floyd,WR,Cardinals,17.292,3.458
Todd Gurley,RB,Rams,13.823,3.456
Josh Scobee,K,Steelers,13.8,3.45
William Hayes,43DE,Rams,10.25,3.417
Cole Beasley,WR,Cowboys,13.606,3.402
Andy Lee,P,Browns,20.4,3.4
Daryl Smith,ILB,Ravens,13.6,3.4
Andrew Hawkins,WR,Browns,13.6,3.4
Shonn Greene,RB,Titans,10,3.333
JT Thomas,43OLB,Giants,10,3.333
Chase Daniel,QB,Chiefs,10,3.333
Chris Williams,LG,Bills,13.15,3.288
Sam Koch,P,Ravens,16.25,3.25
Blair Walsh,K,Vikings,13,3.25
Nick Roach,43OLB,,13,3.25
Dan Connolly,LG,Patriots,9.75,3.25
Randy Starks,43DT,Browns,6.5,3.25
Shaun Hill,QB,Vikings,6.5,3.25
Walter Thurmond,CB,Eagles,3.25,3.25
Evan Mathis,LG,Broncos,3.25,3.25
Trae Waynes,CB,Vikings,12.944,3.236
Dan Bailey,K,Cowboys,22.5,3.214
Justin Gilbert,CB,Browns,12.834,3.208
John Hughes,34DE,Browns,12.8,3.2
Matt Slauson,LG,Bears,12.8,3.2
Ropati Pitoitua,34DE,Titans,8.6,3.2
Charles Woodson,S,Raiders,3.2,3.2
Michael Crabtree,WR,Raiders,3.2,3.2
Tavon Austin,WR,Rams,12.751,3.188
Anthony Barr,43OLB,Vikings,12.744,3.186
Jason Jones,43DE,Lions,9.5,3.167
Dee Milliner,CB,Jets,12.661,3.165
Bernard Pollard,S,Titans,6.3,3.15
Shaun Suisham,K,Steelers,12.575,3.144
Graham Gano,K,Panthers,12.4,3.1
Joique Bell,RB,Lions,9.3,3.1
Jeremy Zuttah,C,Ravens,9.25,3.083
Phil Dawson,K,49ers,6.134,3.067
Eric Ebron,TE,Lions,12.249,3.062
Alex Boone,LG,49ers,6.1,3.05
Chance Warmack,RG,Titans,12.167,3.042
Glenn Dorsey,34DE,49ers,6.075,3.038
Lee Smith,TE,Raiders,9.1,3.033
Brodrick Bunkley,DT,Saints,6.05,3.025
Stephon Gilmore,CB,Bills,12.084,3.021
Brett Kern,P,Titans,15,3
Manny Lawson,43OLB,Bills,12,3
Nick Folk,K,Jets,12,3
Clinton McDonald,43DT,Buccaneers,12,3
Corey Peters,43DT,Cardinals,9,3
Ricky Jean-Francois,34DE,Redskins,9,3
Chris Baker,34DT,Redskins,9,3
Willie Young,43DE,Bears,9,3
Jonathan Babineaux,43DE,Falcons,9,3
Brandon LaFell,WR,Patriots,9,3
Robert Geathers,43DE,Bengals,9,3
Justin Forsett,RB,Ravens,9,3
Dexter McCluster,WR,Titans,9,3
Devin Hester,WR,Falcons,9,3
Brian Hartline,WR,Browns,6,3
Zach Miller,TE,Seahawks,6,3
Cecil Shorts,WR,Texans,6,3
Tyson Alualu,43DE,Jaguars,6,3
Cory Redding,34DE,Cardinals,6,3
Gosder Cherilus,RT,Buccaneers,6,3
Akeem Ayers,43OLB,Rams,6,3
Adrian Clayborn,43DE,Falcons,3,3
Alan Ball,S,Bears,3,3
Matt Hasselbeck,QB,Colts,3,3
Knowshon Moreno,RB,Dolphins,3,3
Shareece Wright,CB,49ers,3,3
Rolando McClain,ILB,Cowboys,3,3
Matt Prater,K,Lions,0.9,3
Danny Shelton,34DT,Browns,11.704,2.926
Pat McAfee,P,Colts,14.5,2.9
Matt Bosher,P,Falcons,14.5,2.9
Taylor Lewan,RT,Titans,11.485,2.871
DJ Fluker,RT,Chargers,11.402,2.851
Steven Hauschka,K,Seahawks,8.55,2.85
Donnie Avery,WR,Chiefs,8.55,2.85
Andrus Peat,RT,Saints,11.393,2.848
Matt Bryant,K,Falcons,8.5,2.833
Dontari Poe,34DT,Chiefs,11.32,2.83
Kevin Huber,P,Bengals,14,2.8
Virgil Green,TE,Broncos,8.4,2.8
Chris Chester,RG,Falcons,2.8,2.8
Muhammad Wilkerson,34DE,Jets,13.844,2.769
Johnny Hekker,P,Rams,16.578,2.763
Josh Mauga,ILB,Chiefs,8.25,2.75
Danny Woodhead,RB,Chargers,5.5,2.75
Brice McCain,CB,Dolphins,5.5,2.75
David Hawthorne,43OLB,Saints,5.5,2.75
Jacoby Jones,WR,Chargers,5.5,2.75
Letroy Guion,34DT,Packers,2.75,2.75
Ike Taylor,CB,Steelers,2.75,2.75
Drew Stanton,QB,Cardinals,8.2,2.733
DeVante Parker,WR,Dolphins,10.877,2.719
Melvin Gordon,RB,Chargers,10.67,2.667
Jonathan Casillas,43OLB,Giants,8,2.667
Joe Reitz,LT,Colts,8,2.667
Cullen Jenkins,43DT,Giants,8,2.667
Scott Chandler,TE,Patriots,5.3,2.65
Marcedes Lewis,TE,Jaguars,2.65,2.65
Nolan Carroll,CB,Eagles,5.25,2.625
Anthony Fasano,TE,Titans,5.25,2.625
"Odell Beckham, Jr.",WR,Giants,10.406,2.602
Ahtyba Rubin,43DT,Seahawks,2.6,2.6
Matt Moore,QB,Dolphins,2.6,2.6
DJ Hayden,CB,Raiders,10.324,2.581
Fletcher Cox,34DE,Eagles,10.241,2.56
Chad Rinehart,LG,Chargers,5.1,2.55
Sean Richardson,S,Packers,2.55,2.55
Aaron Donald,43DT,Rams,10.137,2.534
Sheldon Richardson,34DE,Jets,10.054,2.514
Kevin Johnson,CB,Texans,10.049,2.512
Rashad Jennings,RB,Giants,10,2.5
Mike Tolbert,RB,Panthers,10,2.5
Arthur Moats,34OLB,Steelers,7.5,2.5
Adam Vinatieri,K,Colts,5,2.5
Darius Butler,CB,Colts,5,2.5
Shaun Phillips,34OLB,,5,2.5
Charlie Johnson,LG,Vikings,5,2.5
Reggie Bush,RB,49ers,2.5,2.5
Carlos Rogers,CB,,2.5,2.5
Dwight Freeney,34OLB,Chargers,2.5,2.5
Jermaine Gresham,TE,Cardinals,2.5,2.5
Dan Carpenter,K,Bills,9.95,2.488
Arik Armstead,34DE,49ers,9.843,2.461
Mason Crosby,K,Packers,7.35,2.45
Britton Colquitt,P,Broncos,4.85,2.425
Kyle Fuller,CB,Bears,9.687,2.422
Steve McLendon,34DT,Steelers,7.25,2.417
Nate Irving,ILB,Colts,7.25,2.417
Star Lotulelei,43DT,Panthers,9.605,2.401
Ryan Succop,K,Titans,7.2,2.4
Patrick Chung,S,Patriots,7.2,2.4
Marcus Peters,CB,Chiefs,9.584,2.396
Michael Brockers,43DT,Rams,9.522,2.381
Ryan Shazier,ILB,Steelers,9.507,2.377
Calvin Pace,34OLB,Jets,4.75,2.375
Cameron Erving,C,Browns,9.429,2.357
Kenny Vaccaro,S,Saints,9.425,2.356
Jermaine Kearse,WR,Seahawks,2.356,2.356
Tashaun Gipson,S,Browns,2.356,2.356
Emmanuel Lamur,43OLB,Bengals,2.356,2.356
Craig Robertson,43OLB,Browns,2.356,2.356
Damon Harrison,34DT,Jets,2.356,2.356
Justin Tucker,K,Ravens,2.356,2.356
Rod Streater,WR,Raiders,2.356,2.356
Cedric Thornton,34DE,Eagles,2.356,2.356
Derrick Shelby,43DE,Dolphins,2.356,2.356
Rodney McLeod,S,Rams,2.356,2.356
Jerrell Freeman,ILB,Colts,2.356,2.356
Erik Pears,RT,49ers,4.7,2.35
Nelson Agholor,WR,Eagles,9.377,2.344
Bruce Irvin,43DE,Seahawks,9.342,2.336
George Johnson,43DE,Buccaneers,7,2.333
Kyle Arrington,CB,Ravens,7,2.333
Tom Johnson,43DT,Vikings,7,2.333
Sergio Brown,S,Jaguars,7,2.333
Cedric Ogbuehi,RT,Bengals,9.326,2.331
Chris Canty,34DE,Ravens,4.65,2.325
Bud Dupree,34OLB,Steelers,9.222,2.306
Jerome Felton,FB,Bills,9.2,2.3
John Abraham,34OLB,Cardinals,4.6,2.3
Miles Austin,WR,Eagles,2.3,2.3
Shane Ray,34OLB,Broncos,9.119,2.28
Ed Dickson,TE,Panthers,6.8,2.267
Derek Anderson,QB,Panthers,4.5,2.25
Akeem Dent,ILB,Texans,4.5,2.25
Terence Newman,CB,Vikings,2.25,2.25
Todd Herremans,RG,Colts,2.25,2.25
Louis Delmas,S,Dolphins,2.25,2.25
Zack Martin,RG,Cowboys,8.968,2.242
DJ Humphries,RT,Cardinals,8.912,2.228
EJ Manuel,QB,Bills,8.885,2.221
Barry Church,S,Cowboys,8.827,2.207
Shaq Thompson,43OLB,Panthers,8.809,2.202
Quinton Coples,34OLB,Jets,8.803,2.201
CJ Mosley,ILB,Ravens,8.788,2.197
Jarvis Jones,34OLB,Steelers,8.706,2.176
Breshad Perriman,WR,Ravens,8.705,2.176
Dre Kirkpatrick,CB,Bengals,8.623,2.156
Byron Jones,CB,Cowboys,8.602,2.15
Alan Branch,43DT,Patriots,4.3,2.15
Calvin Pryor,S,Jets,8.563,2.141
Laken Tomlinson,LG,Lions,8.55,2.138
Roman Harper,S,Panthers,10.625,2.125
Darian Stewart,S,Broncos,4.25,2.125
Mike Adams,S,Colts,4.25,2.125
Jimmy Wilson,CB,Chargers,4.25,2.125
Eric Reid,S,49ers,8.481,2.12
Ja\’Wuan James,LT,Dolphins,8.428,2.107
Anthony Sherman,FB,Chiefs,6.3,2.1
Wallace Gilberry,43DE,Bengals,6.3,2.1
Vincent Rey,43OLB,Bengals,4.2,2.1
Ted Ginn,WR,Panthers,4.2,2.1
Tyvon Branch,S,Chiefs,2.1,2.1
Melvin Ingram,34OLB,Chargers,8.398,2.1
Brandin Cooks,WR,Saints,8.383,2.096
John Greco,RG,Browns,8.37,2.093
Justin Pugh,RT,Giants,8.346,2.086
