Country,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForcs,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,EnergyUse,Electricity,Developed
Belize,22.810,0.332,14.6,4894,55.7,23.8,1.44,4.28,11.90,1.05,31.7,52.6,1.5,6.5,15.9,23.4,4.5,4.0,73.9,51.9,14.4,,,
Sweden,407.340,9.600,23.6,60381,14.5,11.9,2.1,3.71,14.98,16.10,94.8,124.4,,,4.5,11.8,9.4,19.3,81.7,78.6,8.0,5190,14030,3
Bulgaria,108.560,7.265,66.9,7499,26.7,9.5,1.69,4.91,11.67,47.30,53.1,145.2,,,5.0,9.2,14.4,19.3,74.5,63.7,12.3,2615,4864,2
Botswana,566.730,2.021,3.6,7315,43.1,23.8,1.23,7.59,8.75,10.50,15.0,160.6,21.9,26.6,3.9,23.6,16.9,3.6,47.4,75.0,,1115,1603,1
Greece,128.900,11.028,85.6,21966,22.7,9,2.06,4.41,11.66,148.95,59.9,116.8,,,4.8,8.5,10.2,19.7,80.6,58.6,24.2,2402,5380,3
Belarus,202.910,9.466,46.7,7575,24.1,12.2,0.88,4.20,13.45,158.00,54.2,118.8,0.5,,5.1,12.5,13.2,13.8,72.5,62.2,,3114,3628,2
United Kingdom,241.930,64.107,265.0,41781,17.9,12.8,2.17,5.31,16.18,159.15,89.8,124.6,0.3,,3.9,12.2,9.0,17.5,81.0,70.3,7.9,2973,5472,3
Tunisia,155.360,10.887,70.1,4317,33.5,19.3,0.93,5.09,13.33,47.80,43.8,115.6,0.1,5.0,9.4,19.8,6.3,7.2,73.6,27.3,17.6,890,1297,1
Thailand,510.890,67.011,131.2,5779,52.1,10.5,1.56,7.02,17.01,453.55,28.9,140.1,1.1,6.8,7.4,10.2,7.7,9.7,74.4,70.9,0.7,1790,2316,1
Croatia,55.960,4.256,76.1,13598,41.6,9.8,1.77,4.62,12.67,19.55,66.7,114.5,,,5.5,9.4,11.8,18.3,77.1,58.4,15.8,1971,3901,2
Colombia,1109.500,48.321,43.6,7831,24.1,19.1,1.28,12.61,16.05,455.75,51.7,104.1,0.5,11.4,7.3,18.8,5.6,6.2,74.0,59.7,10.6,671,1123,1
Samoa,2.830,0.190,67.1,4212,80.6,26.8,,,17.00,,15.3,,,5.0,7.6,26.2,5.4,5.1,73.3,25.5,,,,
Cuba,106.440,11.266,105.8,,23.1,9.6,1.4,,13.40,75.50,25.7,17.7,0.2,5.0,6.7,9.5,7.7,13.3,79.2,51.7,,992,1327,1
Guyana,196.850,0.800,4.1,3739,71.6,20.7,1.08,,13.87,1.10,33.0,69.4,1.4,10.0,15.8,20.3,6.7,3.4,66.2,44.7,,,,
South Sudan,239.285,11.296,47.2,1045,81.6,36.5,1.97,,4.00,185.00,,25.3,2.2,,10.1,36.1,11.8,3.5,55.2,,,,,
Cote d'Ivoire,318.000,20.316,63.9,1529,47.2,36.7,1.51,9.91,8.51,,2.6,95.4,2.7,14.7,5.6,36.6,14.2,3.2,50.8,53.1,9.4,579,212,1
Burkina Faso,273.600,16.935,61.9,761,71.8,41.4,1.43,8.97,13.52,11.45,4.4,66.4,0.9,20.7,3.7,40.9,11.1,2.4,56.3,79.5,,,,
Malaysia,328.550,29.717,90.4,10538,26.7,17.6,0.62,7.12,5.88,133.60,67.0,144.7,0.4,5.0,17.6,17.7,4.7,5.4,75.0,47.0,3.0,2639,4246,2
Australia,7682.300,23.129,3.0,67463,10.8,13.7,1.39,6.45,17.75,56.75,83.0,106.8,0.2,,4.1,13.2,6.3,14.3,82.2,70.5,5.2,5501,10712,3
Indonesia,1811.570,249.866,137.9,3475,47.7,19.2,0.47,,6.63,676.50,15.8,125.4,0.5,8.7,6.0,18.8,6.2,5.2,70.8,53.5,6.1,857,680,1
Kenya,569.140,44.354,77.9,1246,75.2,35.5,1.37,8.52,5.85,29.10,39.0,71.8,6,24.3,4.5,34.9,8.2,2.7,61.7,62.9,,480,155,1
Ireland,68.890,4.598,66.7,50478,37.3,15.7,2.02,1.38,14.07,9.35,78.2,102.8,,,5.4,15.0,6.5,12.1,81.0,62.6,14.7,2888,5701,3
Grenada,0.340,0.106,311.8,7891,64.4,19.4,1.4,,9.56,,35.0,125.6,,,9.2,19.3,7.4,7.1,72.7,,,,,
"Korea, Rep.",97.350,50.220,515.9,25977,17.8,9.6,1.8,,11.50,659.50,84.8,111.0,,5.0,6.0,8.6,5.3,12.2,81.5,55.5,3.2,5232,10162,3
