Player,Pos,Age,Team,Games,Starts,Mins,MinPerGame,FGMade,FGAttempt,FGPct,FG3Made,FG3Attempt,FG3Pct,FTMade,FTAttempt,FTPct,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Luol Deng,SF,29,MIA,72,72,2421,33.6,369,787,0.469,78,220,0.355,191,251,0.761,103,273,376,139,65,22,108,109,1007
DeMar DeRozan,SG,25,TOR,60,60,2100,35,409,990,0.413,25,88,0.284,361,434,0.832,41,236,277,210,73,11,137,122,1204
Boris Diaw,PF,32,SAS,81,15,1984,24.5,291,632,0.46,54,169,0.32,72,93,0.774,78,270,348,233,36,23,126,148,708
Gorgui Dieng,C,25,MIN,73,49,2193,30,259,512,0.506,1,6,0.167,191,244,0.783,223,386,609,146,71,126,126,188,710
Goran Dragic,PG,28,TOT,78,78,2640,33.8,502,1002,0.501,90,259,0.347,181,234,0.774,81,193,274,350,78,15,173,195,1275
Andre Drummond,C,21,DET,82,82,2502,30.5,494,961,0.514,0,2,0,142,365,0.389,437,667,1104,55,73,153,120,285,1130
Tim Duncan,PF,38,SAS,77,77,2227,28.9,419,819,0.512,2,7,0.286,230,311,0.74,170,534,704,230,63,151,131,165,1070
Mike Dunleavy,SF,34,CHI,63,63,1838,29.2,209,481,0.435,107,263,0.407,70,87,0.805,28,220,248,114,39,21,60,123,595
Kevin Durant,SF,26,OKC,27,27,913,33.8,238,467,0.51,64,159,0.403,146,171,0.854,16,162,178,110,24,25,74,40,686
Wayne Ellington,SG,27,LAL,65,36,1675,25.8,254,617,0.412,90,243,0.37,52,64,0.813,31,179,210,105,33,2,50,77,650
Monta Ellis,SG,29,DAL,80,80,2699,33.7,602,1354,0.445,81,284,0.285,228,303,0.752,34,156,190,329,148,25,198,197,1513
Tyreke Evans,SF,25,NOP,79,76,2690,34.1,521,1165,0.447,69,227,0.304,202,291,0.694,82,334,416,521,100,37,246,198,1313
Kenneth Faried,PF,25,DEN,75,71,2086,27.8,373,736,0.507,1,8,0.125,199,288,0.691,242,426,668,89,62,57,118,211,946
Derrick Favors,PF,23,UTA,74,74,2280,30.8,482,918,0.525,1,6,0.167,222,332,0.669,196,411,607,112,60,123,121,210,1187
Evan Fournier,SG,22,ORL,58,32,1661,28.6,253,575,0.44,85,225,0.378,107,147,0.728,28,125,153,120,40,2,82,116,698
Channing Frye,PF,31,ORL,75,51,1870,24.9,191,487,0.392,136,346,0.393,31,35,0.886,27,266,293,94,47,39,78,191,549
Danilo Gallinari,SF,26,DEN,59,27,1426,24.2,228,568,0.401,107,301,0.355,171,191,0.895,31,187,218,83,47,20,57,94,734
Langston Galloway,PG,23,NYK,45,41,1457,32.4,204,511,0.399,62,176,0.352,63,78,0.808,37,153,190,150,52,12,61,129,533
Marc Gasol,C,30,MEM,81,81,2687,33.2,530,1072,0.494,3,17,0.176,350,440,0.795,115,515,630,307,70,131,176,208,1413
Pau Gasol,PF,34,CHI,78,78,2681,34.4,570,1153,0.494,12,26,0.462,294,366,0.803,220,699,919,210,25,147,158,147,1446
Rudy Gay,SF,28,SAC,68,67,2408,35.4,508,1116,0.455,79,220,0.359,337,393,0.858,98,301,399,250,71,41,183,157,1432
Taj Gibson,PF,29,CHI,62,17,1692,27.3,254,506,0.502,0,0,,132,184,0.717,162,234,396,71,36,75,77,162,640
Rudy Gobert,C,22,UTA,82,37,2158,26.3,258,427,0.604,0,2,0,170,273,0.623,265,510,775,109,64,189,111,175,686
Eric Gordon,SG,26,NOP,61,60,2018,33.1,285,694,0.411,141,315,0.448,107,133,0.805,28,131,159,229,50,14,122,145,818
Marcin Gortat,C,30,WAS,82,82,2453,29.9,439,775,0.566,0,3,0,123,175,0.703,180,537,717,97,49,110,100,191,1001
Danny Green,SG,27,SAS,81,80,2312,28.5,322,738,0.436,191,457,0.418,111,127,0.874,54,289,343,158,101,87,93,163,946
Draymond Green,PF,24,GSW,79,79,2490,31.5,339,765,0.443,111,329,0.337,132,200,0.66,114,533,647,291,123,99,133,253,921
Jeff Green,SF,28,TOT,78,70,2454,31.5,416,967,0.43,97,292,0.332,239,287,0.833,64,264,328,134,53,34,108,147,1168
Blake Griffin,PF,25,LAC,67,67,2356,35.2,574,1144,0.502,10,25,0.4,311,427,0.728,126,382,508,354,63,35,152,196,1469
Tim Hardaway,SG,22,NYK,70,30,1681,24,279,717,0.389,121,354,0.342,125,156,0.801,12,144,156,127,20,14,82,119,804
James Harden,SG,25,HOU,81,81,2981,36.8,647,1470,0.44,208,555,0.375,715,824,0.868,75,384,459,565,154,60,321,208,2217
Tobias Harris,SF,22,ORL,68,63,2369,34.8,442,949,0.466,87,239,0.364,193,245,0.788,73,357,430,124,69,36,115,134,1164
Gordon Hayward,SF,24,UTA,76,76,2618,34.4,484,1087,0.445,120,330,0.364,375,462,0.812,54,319,373,313,108,30,206,131,1463
Gerald Henderson,SG,27,CHO,80,72,2315,28.9,370,847,0.437,45,136,0.331,184,217,0.848,36,237,273,206,51,22,110,135,969
Roy Hibbert,C,28,IND,76,76,1926,25.3,317,710,0.446,0,2,0,168,204,0.824,156,384,540,84,18,125,107,216,802
Nene Hilario,PF,32,WAS,67,58,1693,25.3,307,601,0.511,1,5,0.2,122,202,0.604,84,261,345,123,66,22,124,180,737
George Hill,PG,28,IND,43,36,1267,29.5,255,535,0.477,69,193,0.358,113,143,0.79,25,154,179,220,44,14,69,111,692
Jordan Hill,C,27,LAL,70,57,1874,26.8,357,777,0.459,3,11,0.273,124,168,0.738,174,382,556,103,34,52,106,164,841
Solomon Hill,SF,23,IND,82,78,2381,29,251,634,0.396,68,208,0.327,159,193,0.824,70,244,314,184,66,18,115,177,729
Kirk Hinrich,SG,34,CHI,66,22,1610,24.4,142,381,0.373,58,168,0.345,35,50,0.7,20,101,121,148,46,14,73,144,377
Jrue Holiday,PG,24,NOP,40,37,1303,32.6,238,534,0.446,51,135,0.378,65,76,0.855,32,103,135,274,63,23,91,110,592
Al Horford,C,28,ATL,76,76,2318,30.5,519,965,0.538,11,36,0.306,107,141,0.759,131,413,544,244,68,98,100,121,1156
Dwight Howard,C,29,HOU,41,41,1223,29.8,251,423,0.593,1,2,0.5,143,271,0.528,110,321,431,50,28,53,115,137,646
Serge Ibaka,PF,25,OKC,64,64,2116,33.1,374,786,0.476,77,205,0.376,92,110,0.836,135,364,499,55,30,155,97,194,917
Andre Iguodala,SG,31,GSW,77,0,2069,26.9,231,496,0.466,74,212,0.349,68,114,0.596,44,213,257,228,89,25,88,100,604
Kyrie Irving,PG,22,CLE,75,75,2730,36.4,578,1235,0.468,157,378,0.415,315,365,0.863,55,182,237,389,114,20,186,146,1628
Jarrett Jack,PG,31,BRK,80,27,2241,28,359,817,0.439,39,146,0.267,200,227,0.881,19,226,245,373,75,13,191,143,957
Reggie Jackson,PG,24,TOT,77,40,2268,29.5,432,996,0.434,72,241,0.299,181,218,0.83,56,271,327,462,62,9,186,167,1117
LeBron James,SF,30,CLE,69,69,2493,36.1,624,1279,0.488,120,339,0.354,375,528,0.71,51,365,416,511,109,49,272,135,1743
Al Jefferson,C,30,CHO,65,61,1992,30.6,486,1010,0.481,2,5,0.4,108,165,0.655,99,449,548,113,47,84,68,139,1082
Brandon Jennings,PG,25,DET,41,41,1173,28.6,218,543,0.401,76,211,0.36,120,143,0.839,21,83,104,272,44,4,90,64,632
Amir Johnson,PF,27,TOR,75,72,1979,26.4,298,519,0.574,19,46,0.413,79,129,0.612,159,297,456,117,44,59,110,225,694
Joe Johnson,SG,33,BRK,80,80,2791,34.9,446,1025,0.435,121,337,0.359,141,176,0.801,53,331,384,292,59,14,137,120,1154
Wesley Johnson,SF,27,LAL,76,59,2245,29.5,286,691,0.414,91,259,0.351,90,112,0.804,67,252,319,124,59,45,87,162,753
Terrence Jones,PF,23,HOU,33,24,889,26.9,158,299,0.528,13,37,0.351,57,94,0.606,78,142,220,36,18,59,37,78,386
DeAndre Jordan,C,26,LAC,82,82,2820,34.4,379,534,0.71,1,4,0.25,187,471,0.397,397,829,1226,61,81,183,109,245,946
Enes Kanter,C,22,TOT,75,74,2135,28.5,482,928,0.519,16,45,0.356,183,234,0.782,277,394,671,55,36,29,145,189,1163
Michael Kidd-Gilchrist,SF,21,CHO,55,52,1587,28.9,224,482,0.465,0,0,,150,214,0.701,109,307,416,77,30,38,63,115,598
Brandon Knight,PG,23,TOT,63,61,2035,32.3,375,888,0.422,125,321,0.389,195,223,0.874,28,216,244,330,90,10,189,114,1070
Kyle Korver,SG,33,ATL,75,75,2418,32.2,292,600,0.487,221,449,0.492,106,118,0.898,15,289,304,196,52,42,107,140,911
Shane Larkin,PG,22,NYK,76,22,1865,24.5,187,432,0.433,35,116,0.302,61,78,0.782,29,147,176,226,93,9,83,150,470
Zach LaVine,PG,19,MIN,77,40,1902,24.7,286,677,0.422,57,167,0.341,149,177,0.842,27,187,214,276,54,10,193,158,778
Ty Lawson,PG,27,DEN,75,75,2665,35.5,404,926,0.436,70,205,0.341,265,363,0.73,42,192,234,720,92,9,185,128,1143
Courtney Lee,SG,29,MEM,77,74,2354,30.6,288,643,0.448,90,224,0.402,111,129,0.86,21,157,178,151,75,12,78,129,777
Kawhi Leonard,SF,23,SAS,64,64,2033,31.8,394,822,0.479,67,192,0.349,202,252,0.802,85,376,461,161,148,48,97,128,1057
Damian Lillard,PG,24,POR,82,82,2925,35.7,590,1360,0.434,196,572,0.343,344,398,0.864,49,329,378,507,97,21,222,164,1720
Jeremy Lin,PG,26,LAL,74,30,1907,25.8,277,654,0.424,65,176,0.369,213,268,0.795,26,170,196,339,82,32,166,189,832
Brook Lopez,C,26,BRK,72,44,2100,29.2,506,987,0.513,1,10,0.1,223,274,0.814,214,321,535,50,43,126,104,206,1236
Robin Lopez,C,26,POR,59,59,1638,27.8,234,437,0.535,0,1,0,98,127,0.772,190,204,394,55,16,84,73,122,566
Kevin Love,PF,26,CLE,75,75,2532,33.8,413,952,0.434,144,392,0.367,258,321,0.804,142,589,731,168,51,39,122,140,1228
Kyle Lowry,PG,28,TOR,70,70,2414,34.5,430,1043,0.412,132,391,0.338,252,312,0.808,54,274,328,473,109,13,173,212,1244
Kevin Martin,SG,31,MIN,39,36,1302,33.4,267,625,0.427,75,191,0.393,170,193,0.881,19,123,142,89,33,1,76,76,779
Wesley Matthews,SG,28,POR,60,60,2024,33.7,337,752,0.448,173,445,0.389,109,145,0.752,38,184,222,139,77,10,81,132,956
Luc Mbah a Moute,PF,28,PHI,67,61,1916,28.6,251,636,0.395,62,202,0.307,96,163,0.589,82,246,328,106,81,21,99,104,660
Ben McLemore,SG,21,SAC,82,82,2670,32.6,363,831,0.437,140,391,0.358,130,160,0.813,31,210,241,140,77,19,138,219,996
Jodie Meeks,SG,27,DET,60,0,1462,24.4,222,534,0.416,74,212,0.349,145,160,0.906,12,92,104,79,59,6,57,76,663
Khris Middleton,SF,23,MIL,79,58,2378,30.1,406,869,0.467,109,268,0.407,134,156,0.859,48,299,347,182,122,11,113,183,1055
C.J. Miles,SG,27,IND,70,40,1841,26.3,329,827,0.398,154,446,0.345,130,161,0.807,18,196,214,75,60,26,73,132,942
Paul Millsap,PF,29,ATL,73,73,2390,32.7,443,930,0.476,77,216,0.356,255,337,0.757,139,431,570,223,130,69,166,201,1218
Greg Monroe,PF,24,DET,69,57,2137,31,423,853,0.496,0,0,,252,336,0.75,229,475,704,142,78,34,149,148,1098
Marcus Morris,PF,25,PHO,81,35,2045,25.2,331,763,0.434,112,313,0.358,71,113,0.628,73,312,385,133,63,16,73,188,845
Markieff Morris,PF,25,PHO,82,82,2581,31.5,512,1100,0.465,57,179,0.318,177,232,0.763,110,396,506,192,101,39,170,245,1258
Anthony Morrow,SG,29,OKC,74,0,1806,24.4,285,615,0.463,141,325,0.434,79,89,0.888,40,155,195,60,54,11,38,135,790
Donatas Motiejunas,PF,24,HOU,71,62,2037,28.7,353,700,0.504,49,133,0.368,100,166,0.602,137,284,421,130,56,34,123,203,855
Timofey Mozgov,C,28,TOT,81,80,2045,25.2,314,566,0.555,2,6,0.333,155,216,0.718,203,388,591,55,33,97,116,227,785
Joakim Noah,C,29,CHI,67,67,2049,30.6,190,427,0.445,0,2,0,105,174,0.603,219,427,646,312,48,74,123,203,485
Nerlens Noel,PF,20,PHI,75,71,2311,30.8,302,653,0.462,0,0,,140,230,0.609,185,426,611,128,133,142,146,208,744
Dirk Nowitzki,PF,36,DAL,77,77,2282,29.6,487,1062,0.459,104,274,0.38,255,289,0.882,44,413,457,143,39,33,82,160,1333
Victor Oladipo,PG,22,ORL,72,71,2573,35.7,473,1086,0.436,84,248,0.339,262,320,0.819,51,251,302,295,120,19,204,187,1292
Jabari Parker,SF,19,MIL,25,25,738,29.5,129,263,0.49,4,16,0.25,46,66,0.697,50,88,138,42,31,5,47,42,308
Tony Parker,PG,32,SAS,68,68,1953,28.7,404,832,0.486,38,89,0.427,130,166,0.783,15,114,129,335,44,2,146,108,976
Chandler Parsons,SF,26,DAL,66,66,2186,33.1,383,829,0.462,132,347,0.38,139,193,0.72,64,259,323,161,69,19,96,140,1037
Patrick Patterson,PF,25,TOR,81,4,2156,26.6,240,535,0.449,105,283,0.371,63,80,0.788,127,306,433,155,60,44,54,149,648
Chris Paul,PG,29,LAC,82,82,2857,34.8,568,1170,0.485,139,349,0.398,289,321,0.9,52,324,376,838,156,15,190,203,1564
Elfrid Payton,PG,20,ORL,82,63,2489,30.4,301,708,0.425,11,42,0.262,118,214,0.551,107,242,349,533,142,20,203,193,731
Nikola Pekovic,C,29,MIN,31,29,815,26.3,139,328,0.424,0,0,,108,129,0.837,89,145,234,27,19,12,42,59,386
Paul Pierce,SF,37,WAS,73,73,1914,26.2,293,656,0.447,118,303,0.389,164,210,0.781,45,249,294,144,46,24,92,160,868
Tayshaun Prince,SF,34,TOT,58,16,1397,24.1,177,402,0.44,31,67,0.463,49,65,0.754,52,158,210,93,29,16,35,55,434
Zach Randolph,PF,33,MEM,71,71,2304,32.5,454,932,0.487,7,20,0.35,228,298,0.765,225,522,747,153,69,14,156,175,1143
J.J. Redick,SG,30,LAC,78,78,2409,30.9,447,938,0.477,200,458,0.437,183,203,0.901,22,145,167,137,39,8,95,134,1277
Rajon Rondo,PG,28,TOT,68,68,2018,29.7,275,645,0.426,27,86,0.314,31,78,0.397,73,300,373,538,91,7,210,153,608
Derrick Rose,PG,26,CHI,51,51,1530,30,338,835,0.405,76,271,0.28,152,187,0.813,35,126,161,251,36,16,161,63,904
Terrence Ross,SF,23,TOR,82,61,2092,25.5,309,753,0.41,145,390,0.372,44,56,0.786,32,194,226,86,53,25,69,136,807
Ricky Rubio,PG,24,MIN,22,22,692,31.5,78,219,0.356,13,51,0.255,57,71,0.803,19,106,125,193,38,1,64,59,226
Iman Shumpert,SG,24,TOT,62,25,1545,24.9,193,471,0.41,67,196,0.342,43,64,0.672,55,169,224,135,81,16,91,138,496
Marcus Smart,PG,20,BOS,67,38,1808,27,175,477,0.367,91,272,0.335,82,127,0.646,61,161,222,208,99,18,90,176,523
J.R. Smith,SG,29,TOT,70,51,2080,29.7,315,755,0.417,163,426,0.383,54,72,0.75,30,188,218,195,82,22,97,163,847
Josh Smith,PF,29,TOT,83,35,2300,27.7,414,987,0.419,72,228,0.316,127,255,0.498,152,378,530,277,87,116,206,228,1027
Lance Stephenson,SG,24,CHO,61,25,1573,25.8,207,550,0.376,18,105,0.171,69,110,0.627,39,238,277,240,38,8,128,134,501
Rodney Stuckey,PG,28,IND,71,36,1874,26.4,332,754,0.44,55,141,0.39,177,216,0.819,36,212,248,219,56,10,118,131,896
Jared Sullinger,PF,22,BOS,58,49,1566,27,311,708,0.439,52,184,0.283,96,129,0.744,147,294,441,134,44,42,78,153,770
Jeff Teague,PG,26,ATL,73,72,2228,30.5,408,887,0.46,71,207,0.343,275,319,0.862,30,154,184,513,125,31,205,139,1162
Isaiah Thomas,PG,25,TOT,67,1,1726,25.8,335,797,0.42,129,346,0.373,302,348,0.868,33,120,153,284,57,5,143,150,1101
Lance Thomas,SF,26,TOT,62,37,1490,24,182,442,0.412,7,22,0.318,72,99,0.727,65,130,195,69,37,8,74,101,443
Hollis Thompson,SG,23,PHI,71,23,1776,25,224,543,0.413,115,287,0.401,63,89,0.708,53,145,198,85,57,26,66,141,626
Jason Thompson,PF,28,SAC,81,63,1991,24.6,201,428,0.47,0,1,0,89,143,0.622,139,391,530,85,33,57,84,239,491
Klay Thompson,SG,24,GSW,77,77,2455,31.9,602,1299,0.463,239,545,0.439,225,256,0.879,27,220,247,222,87,60,149,122,1668
Tristan Thompson,PF,23,CLE,82,15,2194,26.8,267,488,0.547,0,0,,159,248,0.641,274,383,657,39,34,61,83,189,693
P.J. Tucker,SF,29,PHO,78,63,2383,30.6,261,596,0.438,87,252,0.345,104,143,0.727,114,388,502,122,107,23,96,179,713
Evan Turner,SG,26,BOS,82,57,2260,27.6,320,746,0.429,33,119,0.277,106,141,0.752,40,377,417,449,83,19,198,180,779
Jonas Valanciunas,C,22,TOR,80,80,2096,26.2,373,652,0.572,0,1,0,217,276,0.786,215,478,693,39,33,95,109,222,963
Anderson Varejao,C,32,CLE,26,26,636,24.5,111,200,0.555,0,2,0,33,45,0.733,57,113,170,35,19,16,35,58,255
Greivis Vasquez,PG,28,TOR,82,29,1991,24.3,296,725,0.408,133,351,0.379,50,66,0.758,22,194,216,302,46,10,119,177,775
Nikola Vucevic,C,24,ORL,74,74,2529,34.2,631,1206,0.523,2,6,0.333,164,218,0.752,238,572,810,147,54,54,148,220,1428
Dwyane Wade,SG,33,MIA,62,62,1971,31.8,509,1084,0.47,29,102,0.284,284,370,0.768,58,161,219,299,73,21,209,105,1331
Dion Waiters,SG,23,TOT,80,23,2208,27.6,375,946,0.396,73,246,0.297,117,172,0.68,41,151,192,163,90,21,113,155,940
Henry Walker,SF,27,MIA,24,13,628,26.2,58,168,0.345,45,132,0.341,14,18,0.778,7,75,82,29,24,9,24,76,175
Kemba Walker,PG,24,CHO,62,58,2119,34.2,378,981,0.385,85,280,0.304,234,283,0.827,35,185,220,318,89,31,100,92,1075
John Wall,PG,24,WAS,79,79,2837,35.9,519,1166,0.445,65,217,0.3,284,362,0.785,36,330,366,792,138,45,304,180,1387
C.J. Watson,PG,30,IND,57,21,1422,24.9,181,417,0.434,70,175,0.4,138,167,0.826,18,145,163,208,57,9,100,107,570
David West,PF,34,IND,66,66,1895,28.7,323,686,0.471,4,20,0.2,119,161,0.739,108,341,449,223,48,48,120,160,769
Russell Westbrook,PG,26,OKC,67,67,2302,34.4,627,1471,0.426,86,288,0.299,546,654,0.835,124,364,488,574,140,14,293,184,1886
Andrew Wiggins,SG,19,MIN,82,82,2969,36.2,497,1137,0.437,39,126,0.31,354,466,0.76,134,240,374,170,86,50,177,190,1387
Deron Williams,PG,30,BRK,68,55,2114,31.1,298,771,0.387,87,237,0.367,201,241,0.834,29,208,237,448,64,17,154,157,884
Lou Williams,SG,28,TOR,80,0,2016,25.2,375,928,0.404,152,447,0.34,340,395,0.861,24,127,151,164,88,10,101,103,1242
Marvin Williams,PF,28,CHO,78,37,2035,26.1,210,495,0.424,95,265,0.358,62,87,0.713,58,328,386,100,69,36,60,146,577
Mo Williams,PG,32,TOT,68,33,1980,29.1,341,860,0.397,119,348,0.342,163,187,0.872,22,152,174,424,46,14,172,162,964
Tony Wroten,SG,21,PHI,30,15,895,29.8,175,434,0.403,37,142,0.261,120,180,0.667,22,64,86,157,48,8,113,72,507
Thaddeus Young,PF,26,TOT,76,68,2434,32,451,968,0.466,38,115,0.33,131,200,0.655,127,284,411,173,124,25,117,171,1071
Cody Zeller,C,22,CHO,62,45,1487,24,172,373,0.461,1,1,1,127,164,0.774,97,265,362,100,34,49,62,156,472
