DATE,IPG2211A2N
1955-07-01,14.2760
1955-08-01,14.9885
1955-09-01,15.0903
1955-10-01,14.8104
1955-11-01,14.8867
1955-12-01,15.6502
1956-01-01,16.2100
1956-02-01,16.0064
1956-03-01,15.8537
1956-04-01,15.6502
1956-05-01,15.4975
1956-06-01,15.5993
1956-07-01,15.8283
1956-08-01,16.2100
1956-09-01,16.1082
1956-10-01,15.8283
1956-11-01,15.8283
1956-12-01,16.5408
1957-01-01,17.2788
1957-02-01,17.0498
1957-03-01,16.8208
1957-04-01,16.5408
1957-05-01,16.2609
1957-06-01,16.4645
1957-07-01,17.1261
1957-08-01,17.6605
1957-09-01,17.4060
1957-10-01,16.9225
1957-11-01,16.9734
1957-12-01,17.6096
1958-01-01,18.2203
1958-02-01,17.9150
1958-03-01,17.6860
1958-04-01,17.0752
1958-05-01,16.7444
1958-06-01,17.1770
1958-07-01,17.6605
1958-08-01,18.3730
1958-09-01,18.4239
1958-10-01,17.8641
1958-11-01,17.7877
1958-12-01,18.7293
1959-01-01,19.7218
1959-02-01,19.3909
1959-03-01,19.2891
1959-04-01,18.8311
1959-05-01,18.7039
1959-06-01,19.2891
1959-07-01,19.7981
1959-08-01,20.2053
1959-09-01,20.4088
1959-10-01,19.4927
1959-11-01,19.4418
1959-12-01,20.5615
1960-01-01,21.4267
1960-02-01,21.1214
1960-03-01,21.2231
1960-04-01,20.5106
1960-05-01,19.8999
1960-06-01,20.4088
1960-07-01,20.9178
1960-08-01,21.7321
1960-09-01,21.7576
1960-10-01,20.7397
1960-11-01,20.5106
1960-12-01,21.2740
1961-01-01,22.2919
1961-02-01,21.8339
1961-03-01,21.5285
1961-04-01,21.1723
1961-05-01,21.1723
1961-06-01,21.6303
1961-07-01,22.1393
1961-08-01,23.1826
1961-09-01,23.3098
1961-10-01,22.3937
1961-11-01,22.0629
1961-12-01,22.9790
1962-01-01,24.3532
1962-02-01,23.7170
1962-03-01,23.5643
1962-04-01,22.6991
1962-05-01,22.5973
1962-06-01,23.3607
1962-07-01,24.0733
1962-08-01,24.7349
1962-09-01,24.7349
1962-10-01,23.7170
1962-11-01,23.5643
1962-12-01,24.4550
1963-01-01,25.8800
1963-02-01,25.5747
1963-03-01,25.0912
1963-04-01,24.1496
1963-05-01,24.1496
1963-06-01,24.9385
1963-07-01,26.0582
1963-08-01,26.8979
1963-09-01,26.5162
1963-10-01,25.1675
1963-11-01,24.8621
1963-12-01,26.0836
1964-01-01,27.7886
1964-02-01,26.9488
1964-03-01,26.8725
1964-04-01,26.4399
1964-05-01,26.2363
1964-06-01,27.1015
1964-07-01,28.8319
1964-08-01,29.6208
1964-09-01,28.9846
1964-10-01,27.4832
1964-11-01,26.8725
1964-12-01,28.3739
1965-01-01,29.4936
1965-02-01,28.8319
1965-03-01,28.8828
1965-04-01,28.2212
1965-05-01,27.7377
1965-06-01,28.7301
1965-07-01,30.0280
1965-08-01,31.0459
1965-09-01,30.8932
1965-10-01,29.3918
1965-11-01,28.6029
1965-12-01,30.0534
1966-01-01,31.2749
1966-02-01,31.2240
1966-03-01,30.7914
1966-04-01,29.8244
1966-05-01,29.5954
1966-06-01,30.7405
1966-07-01,33.3616
1966-08-01,34.3540
1966-09-01,33.3361
1966-10-01,31.2494
1966-11-01,30.8423
1966-12-01,32.2419
1967-01-01,34.0068
1967-02-01,33.4397
1967-03-01,32.4026
1967-04-01,32.1490
1967-05-01,31.0913
1967-06-01,32.4511
1967-07-01,33.5218
1967-08-01,33.9042
1967-09-01,32.8858
1967-10-01,32.8210
1967-11-01,33.3339
1967-12-01,35.3366
1968-01-01,36.6552
1968-02-01,35.7456
1968-03-01,35.4564
1968-04-01,33.8324
1968-05-01,33.4568
1968-06-01,35.5845
1968-07-01,36.2277
1968-08-01,37.5317
1968-09-01,36.7015
1968-10-01,34.9519
1968-11-01,35.5812
1968-12-01,38.1624
1969-01-01,39.5644
1969-02-01,39.1482
1969-03-01,38.4261
1969-04-01,36.5990
1969-05-01,35.8042
1969-06-01,38.3843
1969-07-01,40.2542
1969-08-01,41.5975
1969-09-01,39.7851
1969-10-01,38.1573
1969-11-01,39.1850
1969-12-01,40.5863
1970-01-01,42.4431
1970-02-01,41.9218
1970-03-01,40.9996
1970-04-01,39.5976
1970-05-01,39.3354
1970-06-01,40.5693
1970-07-01,42.5772
1970-08-01,44.1442
1970-09-01,42.9492
1970-10-01,39.9408
1970-11-01,40.3268
1970-12-01,41.4825
1971-01-01,44.2800
1971-02-01,43.7066
1971-03-01,42.1159
1971-04-01,40.8044
1971-05-01,40.2194
1971-06-01,42.8981
1971-07-01,44.5124
1971-08-01,45.4201
1971-09-01,44.8250
1971-10-01,43.2929
1971-11-01,43.3455
1971-12-01,44.9240
1972-01-01,48.1095
1972-02-01,49.2717
1972-03-01,47.1272
1972-04-01,43.8476
1972-05-01,41.4770
1972-06-01,43.1669
1972-07-01,44.7181
1972-08-01,47.2721
1972-09-01,46.1295
1972-10-01,44.0204
1972-11-01,46.4927
1972-12-01,51.3964
1973-01-01,55.0984
1973-02-01,53.1905
1973-03-01,49.7554
1973-04-01,46.1196
1973-05-01,44.2575
1973-06-01,46.7498
1973-07-01,48.5799
1973-08-01,50.3276
1973-09-01,49.3343
1973-10-01,46.3759
1973-11-01,47.1675
1973-12-01,49.0527
1974-01-01,53.0169
1974-02-01,50.8844
1974-03-01,49.0544
1974-04-01,46.1322
1974-05-01,44.7375
1974-06-01,46.4048
1974-07-01,49.9479
1974-08-01,50.9640
1974-09-01,47.9469
1974-10-01,46.4132
1974-11-01,47.0381
1974-12-01,52.1468
1975-01-01,54.8666
1975-02-01,53.5985
1975-03-01,51.3604
1975-04-01,48.5997
1975-05-01,45.4177
1975-06-01,46.6690
1975-07-01,49.7701
1975-08-01,51.4777
1975-09-01,48.6934
1975-10-01,46.0491
1975-11-01,47.0839
1975-12-01,53.5982
1976-01-01,59.7064
1976-02-01,56.0830
1976-03-01,52.1280
1976-04-01,47.9905
1976-05-01,45.9836
1976-06-01,48.5127
1976-07-01,51.2447
1976-08-01,52.5815
1976-09-01,50.3378
1976-10-01,48.4031
1976-11-01,52.4621
1976-12-01,59.9119
1977-01-01,65.1187
1977-02-01,60.4386
1977-03-01,54.1659
1977-04-01,49.7567
1977-05-01,48.5794
1977-06-01,51.5330
1977-07-01,54.9269
1977-08-01,55.0933
1977-09-01,52.4302
1977-10-01,49.9841
1977-11-01,51.1228
1977-12-01,58.6939
1978-01-01,64.4898
1978-02-01,63.4999
1978-03-01,57.8546
1978-04-01,50.6454
1978-05-01,49.2442
1978-06-01,52.4033
1978-07-01,54.6861
1978-08-01,56.6538
1978-09-01,54.2367
1978-10-01,51.4193
1978-11-01,53.2464
1978-12-01,59.8497
1979-01-01,67.6809
1979-02-01,67.1033
1979-03-01,60.4569
1979-04-01,54.4463
1979-05-01,50.6367
1979-06-01,52.4517
1979-07-01,54.6133
1979-08-01,56.7862
1979-09-01,53.4218
1979-10-01,51.9675
1979-11-01,53.8291
1979-12-01,59.1896
1980-01-01,64.4041
1980-02-01,63.8043
1980-03-01,59.9710
1980-04-01,52.3178
1980-05-01,49.0551
1980-06-01,51.6434
1980-07-01,57.6509
1980-08-01,59.5078
1980-09-01,56.8752
1980-10-01,53.9454
1980-11-01,55.6179
1980-12-01,62.4933
1981-01-01,68.2364
1981-02-01,62.6833
1981-03-01,59.2046
1981-04-01,53.3356
1981-05-01,51.4677
1981-06-01,55.6474
1981-07-01,59.7162
1981-08-01,59.7444
1981-09-01,55.5306
1981-10-01,53.8670
1981-11-01,54.8922
1981-12-01,62.4867
1982-01-01,69.6167
1982-02-01,63.3124
1982-03-01,58.8828
1982-04-01,53.3005
1982-05-01,49.1127
1982-06-01,51.9190
1982-07-01,55.7973
1982-08-01,56.3378
1982-09-01,53.1931
1982-10-01,50.9296
1982-11-01,53.2577
1982-12-01,57.8883
1983-01-01,64.9772
1983-02-01,58.2780
1983-03-01,56.4576
1983-04-01,52.1802
1983-05-01,48.4360
1983-06-01,50.9377
1983-07-01,57.0658
1983-08-01,60.6677
1983-09-01,56.9440
1983-10-01,52.9718
1983-11-01,54.9642
1983-12-01,64.6495
1984-01-01,72.1740
1984-02-01,65.2645
1984-03-01,62.3346
1984-04-01,56.5917
1984-05-01,54.3258
1984-06-01,57.0618
1984-07-01,59.7708
1984-08-01,61.4278
1984-09-01,57.2148
1984-10-01,53.9036
1984-11-01,56.3131
1984-12-01,62.4026
1985-01-01,71.5943
1985-02-01,69.7893
1985-03-01,61.6809
1985-04-01,56.7497
1985-05-01,54.6182
1985-06-01,57.3528
1985-07-01,61.8214
1985-08-01,62.4449
1985-09-01,59.8430
1985-10-01,55.6117
1985-11-01,57.2698
1985-12-01,67.8466
1986-01-01,72.3975
1986-02-01,67.1452
1986-03-01,61.4600
1986-04-01,56.3369
1986-05-01,55.1238
1986-06-01,59.1365
1986-07-01,64.9229
1986-08-01,63.6790
1986-09-01,60.2601
1986-10-01,56.8356
1986-11-01,58.6074
1986-12-01,67.3092
1987-01-01,72.9113
1987-02-01,69.2043
1987-03-01,64.8135
1987-04-01,59.4215
1987-05-01,58.1425
1987-06-01,63.0777
1987-07-01,67.9967
1987-08-01,69.1874
1987-09-01,63.3379
1987-10-01,59.6356
1987-11-01,61.6862
1987-12-01,69.7097
1988-01-01,78.8866
1988-02-01,75.2220
1988-03-01,69.4421
1988-04-01,62.4767
1988-05-01,60.6575
1988-06-01,66.2688
1988-07-01,72.0743
1988-08-01,74.8131
1988-09-01,66.7103
1988-10-01,62.5110
1988-11-01,64.2953
1988-12-01,72.9427
1989-01-01,76.9693
1989-02-01,75.7016
1989-03-01,72.4389
1989-04-01,64.2923
1989-05-01,62.9075
1989-06-01,67.6328
1989-07-01,73.1397
1989-08-01,74.1457
1989-09-01,68.4720
1989-10-01,65.0749
1989-11-01,68.2207
1989-12-01,83.1429
1990-01-01,83.3799
1990-02-01,76.2653
1990-03-01,72.3234
1990-04-01,66.4556
1990-05-01,65.0281
1990-06-01,70.5829
1990-07-01,75.6895
1990-08-01,76.1710
1990-09-01,72.1821
1990-10-01,66.6133
1990-11-01,67.7400
1990-12-01,76.7537
1991-01-01,85.0020
1991-02-01,76.6402
1991-03-01,72.5062
1991-04-01,66.3484
1991-05-01,67.9915
1991-06-01,73.9620
1991-07-01,79.1482
1991-08-01,78.2187
1991-09-01,72.7097
1991-10-01,67.9269
1991-11-01,71.6291
1991-12-01,78.5476
1992-01-01,84.2776
1992-02-01,79.2162
1992-03-01,73.6222
1992-04-01,68.7932
1992-05-01,66.3713
1992-06-01,70.3526
1992-07-01,76.5649
1992-08-01,75.6319
1992-09-01,71.4838
1992-10-01,68.2018
1992-11-01,72.6160
1992-12-01,83.5149
1993-01-01,86.9103
1993-02-01,83.5249
1993-03-01,78.4978
1993-04-01,70.2081
1993-05-01,66.8964
1993-06-01,73.4364
1993-07-01,81.1063
1993-08-01,81.0610
1993-09-01,73.7141
1993-10-01,68.8317
1993-11-01,73.5127
1993-12-01,83.2048
1994-01-01,92.9911
1994-02-01,86.0992
1994-03-01,78.2876
1994-04-01,70.1181
1994-05-01,68.5535
1994-06-01,77.0304
1994-07-01,82.2806
1994-08-01,80.9048
1994-09-01,74.7837
1994-10-01,70.4121
1994-11-01,74.3476
1994-12-01,83.8059
1995-01-01,91.3554
1995-02-01,86.3571
1995-03-01,80.3024
1995-04-01,72.9393
1995-05-01,72.4021
1995-06-01,77.3766
1995-07-01,84.9538
1995-08-01,88.4644
1995-09-01,77.5676
1995-10-01,72.8306
1995-11-01,78.6965
1995-12-01,89.7321
1996-01-01,97.7855
1996-02-01,91.7770
1996-03-01,85.9044
1996-04-01,76.3139
1996-05-01,75.7842
1996-06-01,80.9677
1996-07-01,84.9436
1996-08-01,85.5267
1996-09-01,78.2555
1996-10-01,73.7917
1996-11-01,80.0852
1996-12-01,89.3969
1997-01-01,97.2727
1997-02-01,88.7030
1997-03-01,82.0230
1997-04-01,75.2380
1997-05-01,72.9708
1997-06-01,78.8182
1997-07-01,87.3912
1997-08-01,86.7331
1997-09-01,80.9522
1997-10-01,76.5652
1997-11-01,81.0508
1997-12-01,90.9822
1998-01-01,93.6496
1998-02-01,86.7676
1998-03-01,85.5153
1998-04-01,75.8325
1998-05-01,77.0958
1998-06-01,85.4167
1998-07-01,92.7016
1998-08-01,92.3939
1998-09-01,86.4797
1998-10-01,79.1293
1998-11-01,80.4538
1998-12-01,90.5811
1999-01-01,100.9159
1999-02-01,90.1004
1999-03-01,89.6636
1999-04-01,79.5431
1999-05-01,78.4474
1999-06-01,86.8037
1999-07-01,96.3147
1999-08-01,95.2565
1999-09-01,86.1813
1999-10-01,79.6564
1999-11-01,81.2076
1999-12-01,93.3584
2000-01-01,100.9655
2000-02-01,93.1095
2000-03-01,87.0262
2000-04-01,80.4459
2000-05-01,83.4576
2000-06-01,89.9646
2000-07-01,94.8622
2000-08-01,98.1841
2000-09-01,89.5925
2000-10-01,82.1321
2000-11-01,86.9273
2000-12-01,101.1556
2001-01-01,107.7077
2001-02-01,95.9400
2001-03-01,91.6660
2001-04-01,81.8910
2001-05-01,81.5458
2001-06-01,89.3101
2001-07-01,94.8889
2001-08-01,98.3217
2001-09-01,87.1910
2001-10-01,81.6619
2001-11-01,81.9037
2001-12-01,91.8858
2002-01-01,101.7175
2002-02-01,94.0329
2002-03-01,92.1127
2002-04-01,84.7659
2002-05-01,84.2267
2002-06-01,92.0888
2002-07-01,101.1591
2002-08-01,100.3893
2002-09-01,92.1628
2002-10-01,85.8274
2002-11-01,87.4777
2002-12-01,99.5340
2003-01-01,108.7791
2003-02-01,102.5276
2003-03-01,93.3849
2003-04-01,84.0376
2003-05-01,84.4607
2003-06-01,90.0042
2003-07-01,100.9924
2003-08-01,103.2060
2003-09-01,91.7917
2003-10-01,85.4571
2003-11-01,87.5007
2003-12-01,102.2649
2004-01-01,112.2926
2004-02-01,104.8474
2004-03-01,94.2332
2004-04-01,85.6852
2004-05-01,87.9893
2004-06-01,94.3788
2004-07-01,100.5751
2004-08-01,98.9975
2004-09-01,92.8908
2004-10-01,86.4617
2004-11-01,88.4874
2004-12-01,104.3951
2005-01-01,109.7843
2005-02-01,100.4265
2005-03-01,97.7496
2005-04-01,85.3841
2005-05-01,86.0728
2005-06-01,98.2479
2005-07-01,107.1747
2005-08-01,108.3466
2005-09-01,98.0687
2005-10-01,88.8222
2005-11-01,89.2755
2005-12-01,106.8766
2006-01-01,103.2467
2006-02-01,100.1125
2006-03-01,97.2186
2006-04-01,86.3931
2006-05-01,88.8905
2006-06-01,99.2777
2006-07-01,109.7055
2006-08-01,110.3164
2006-09-01,94.6849
2006-10-01,89.3318
2006-11-01,91.2085
2006-12-01,101.8210
2007-01-01,110.7058
2007-02-01,110.4540
2007-03-01,97.9823
2007-04-01,89.6843
2007-05-01,90.9207
2007-06-01,99.7503
2007-07-01,106.3227
2007-08-01,112.7922
2007-09-01,100.3374
2007-10-01,91.8884
2007-11-01,92.7412
2007-12-01,105.4420
2008-01-01,113.4467
2008-02-01,106.8984
2008-03-01,99.2054
2008-04-01,89.8473
2008-05-01,90.0774
2008-06-01,102.6195
2008-07-01,109.4204
2008-08-01,106.2819
2008-09-01,96.5447
2008-10-01,89.8755
2008-11-01,92.6256
2008-12-01,108.0176
2009-01-01,115.3515
2009-02-01,103.0920
2009-03-01,96.5375
2009-04-01,86.9999
2009-05-01,86.4167
2009-06-01,96.0944
2009-07-01,102.6101
2009-08-01,104.4211
2009-09-01,93.6745
2009-10-01,88.0479
2009-11-01,88.1245
2009-12-01,109.2273
2010-01-01,117.4737
2010-02-01,109.1060
2010-03-01,96.8805
2010-04-01,84.9776
2010-05-01,89.4931
2010-06-01,102.9199
2010-07-01,111.4497
2010-08-01,111.5623
2010-09-01,98.8352
2010-10-01,87.7291
2010-11-01,91.4364
2010-12-01,112.8056
2011-01-01,117.9343
2011-02-01,105.8670
2011-03-01,97.6831
2011-04-01,88.0082
2011-05-01,88.7352
2011-06-01,101.3837
2011-07-01,113.2128
2011-08-01,112.0655
2011-09-01,98.0976
2011-10-01,88.9858
2011-11-01,92.3775
2011-12-01,105.7794
2012-01-01,110.2292
2012-02-01,101.8597
2012-03-01,92.0263
2012-04-01,86.1510
2012-05-01,91.3542
2012-06-01,99.6795
2012-07-01,111.6088
2012-08-01,108.4356
2012-09-01,95.3930
2012-10-01,88.8972
2012-11-01,92.8549
2012-12-01,103.5324
2013-01-01,113.6169
2013-02-01,104.9588
2013-03-01,101.2068
2013-04-01,89.2832
2013-05-01,89.3331
2013-06-01,99.1089
2013-07-01,108.6244
2013-08-01,106.7201
2013-09-01,97.7893
2013-10-01,90.2661
2013-11-01,95.5682
2013-12-01,111.7132
2014-01-01,122.2477
2014-02-01,111.0634
2014-03-01,102.9008
2014-04-01,88.4616
2014-05-01,90.4626
2014-06-01,100.0769
2014-07-01,106.9482
2014-08-01,106.7093
2014-09-01,98.8751
2014-10-01,90.7419
2014-11-01,97.6890
2014-12-01,107.4271
2015-01-01,118.2531
2015-02-01,114.5314
2015-03-01,102.5269
2015-04-01,87.8376
2015-05-01,89.3234
2015-06-01,101.3075
2015-07-01,110.2383
2015-08-01,109.0313
2015-09-01,100.2090
2015-10-01,89.5855
2015-11-01,90.8250
2015-12-01,100.7938
2016-01-01,115.1674
2016-02-01,104.3863
2016-03-01,92.8190
2016-04-01,86.8329
2016-05-01,88.1170
2016-06-01,101.8577
2016-07-01,112.4728
2016-08-01,113.7737
2016-09-01,100.7216
2016-10-01,89.5038
2016-11-01,91.2208
2016-12-01,112.2986
2017-01-01,114.8147
2017-02-01,98.2106
2017-03-01,99.6345
2017-04-01,85.9082
2017-05-01,89.2046
2017-06-01,99.1950
2017-07-01,109.8528
2017-08-01,106.3907
2017-09-01,95.8093
2017-10-01,90.8111
2017-11-01,95.7434
2017-12-01,114.4252
2018-01-01,126.3733
2018-02-01,106.1863
2018-03-01,103.1210
2018-04-01,92.4278
2018-05-01,93.0757
2018-06-01,103.2564
2018-07-01,113.0907
2018-08-01,113.0437
2018-09-01,101.4021
2018-10-01,94.4855
2018-11-01,101.3770
2018-12-01,110.5761
2019-01-01,120.0607
2019-02-01,109.9657
2019-03-01,104.4565
2019-04-01,88.2635
2019-05-01,92.6296
2019-06-01,99.6931
2019-07-01,113.9205
2019-08-01,112.3526
2019-09-01,103.1273
2019-10-01,93.8114
2019-11-01,99.9641
2019-12-01,109.9062
2020-01-01,112.9423
2020-02-01,106.6011
2020-03-01,96.5659
2020-04-01,86.1331
2020-05-01,87.2930
2020-06-01,99.7657
2020-07-01,115.1955
2020-08-01,111.9388
2020-09-01,98.0685
2020-10-01,91.7475
2020-11-01,93.0274
2020-12-01,112.7339
2021-01-01,117.1023
2021-02-01,114.2183
2021-03-01,98.8065
2021-04-01,87.6590
2021-05-01,89.7735
2021-06-01,104.2435
2021-07-01,112.5393
2021-08-01,114.2030
2021-09-01,100.5123
2021-10-01,91.3002
2021-11-01,97.8487
2021-12-01,107.9846
2022-01-01,125.6709
2022-02-01,113.7202
2022-03-01,102.4531
2022-04-01,91.2690
2022-05-01,94.2076
2022-06-01,105.2433
2022-07-01,116.1160
2022-08-01,114.8192
2022-09-01,100.8261
2022-10-01,91.1027
2022-11-01,100.1500
2022-12-01,119.2465
2023-01-01,116.0802
2023-02-01,106.2716
2023-03-01,104.6226
2023-04-01,89.8139
2023-05-01,91.8044
2023-06-01,100.5358
2023-07-01,116.8451
2023-08-01,117.3450
2023-09-01,103.5631
2023-10-01,94.5924
2023-11-01,100.1659
2023-12-01,109.7093
2024-01-01,125.905
2024-02-01,106.5653
2024-03-01,100.4793
