Year,County,Strata,Strata_name,Population,Births,ABR,Lower_,Upper_
2014-2016,Humboldt,Age 15-19,All,14356,208,14.5,12.5,16.5
2014-2016,Humboldt,Age 15-19,White,9053,S,S,S,S
2014-2016,Humboldt,Age 15-17,All,7466,S,S,S,S
2014-2016,Humboldt,Age 18-19,All,6890,155,22.5,19,26
2014-2016,Humboldt,Age 15-19,Hispanic,2718,S,S,S,S
2014-2016,Humboldt,Age 15-19,MultRace,1026,S,S,S,S
2014-2016,Humboldt,Age 15-19,AIAN,892,S,S,S,S
2014-2016,Humboldt,Age 15-19,AsianPI,499,S,S,S,S
2014-2016,Humboldt,Age 15-19,Black,168,S,S,S,S
2014-2016,Imperial,Age 15-19,All,20747,784,37.8,35.2,40.4
2014-2016,Imperial,Age 15-19,Hispanic,18477,739,40,37.1,42.9
2014-2016,Imperial,Age 15-17,All,12451,214,17.2,14.9,19.5
2014-2016,Imperial,Age 18-19,All,8296,570,68.7,63.1,74.3
2014-2016,Imperial,Age 15-19,White,1601,S,S,S,S
2014-2016,Imperial,Age 15-19,AIAN,261,S,S,S,S
2014-2016,Imperial,Age 15-19,AsianPI,181,S,S,S,S
2014-2016,Imperial,Age 15-19,Black,131,S,S,S,S
2014-2016,Imperial,Age 15-19,MultRace,96,S,S,S,S
2014-2016,Inyo,Age 15-19,All,1598,S,S,S,S
2014-2016,Inyo,Age 15-17,All,928,S,S,S,S
2014-2016,Inyo,Age 15-19,White,740,S,S,S,S
2014-2016,Inyo,Age 18-19,All,670,S,S,S,S
2014-2016,Inyo,Age 15-19,Hispanic,590,S,S,S,S
2014-2016,Inyo,Age 15-19,AIAN,205,S,S,S,S
2014-2016,Inyo,Age 15-19,MultRace,44,S,S,S,S
2014-2016,Inyo,Age 15-19,Black,12,0,0,0,0
2014-2016,Inyo,Age 15-19,AsianPI,7,0,0,0,0
2014-2016,Kern,Age 15-19,All,104299,3716,35.6,34.5,36.7
2014-2016,Kern,Age 15-19,Hispanic,64089,2728,42.6,41,44.2
2014-2016,Kern,Age 15-17,All,60747,1091,18,16.9,19.1
2014-2016,Kern,Age 18-19,All,43552,2625,60.3,58,62.6
2014-2016,Kern,Age 15-19,White,27686,610,22,20.3,23.7
2014-2016,Kern,Age 15-19,Black,5508,231,41.9,36.5,47.3
2014-2016,Kern,Age 15-19,AsianPI,3780,23,6.1,3.9,9.2
2014-2016,Kern,Age 15-19,MultRace,2542,88,34.6,27.8,42.6
2014-2016,Kern,Age 15-19,AIAN,694,15,21.6,12.1,35.6
2014-2016,Kings,Age 15-19,All,17292,554,32,29.3,34.7
2014-2016,Kings,Age 15-19,Hispanic,11480,436,38,34.4,41.6
2014-2016,Kings,Age 15-17,All,10497,156,14.9,12.6,17.2
2014-2016,Kings,Age 18-19,All,6795,398,58.6,52.8,64.4
2014-2016,Kings,Age 15-19,White,3729,S,S,S,S
2014-2016,Kings,Age 15-19,Black,760,S,S,S,S
2014-2016,Kings,Age 15-19,AsianPI,618,S,S,S,S
2014-2016,Kings,Age 15-19,MultRace,529,S,S,S,S
2014-2016,Kings,Age 15-19,AIAN,176,S,S,S,S
2014-2016,Lake,Age 15-19,All,5447,167,30.7,26,35.4
2014-2016,Lake,Age 15-19,White,3378,S,S,S,S
2014-2016,Lake,Age 15-17,All,3261,S,S,S,S
2014-2016,Lake,Age 18-19,All,2186,S,S,S,S
2014-2016,Lake,Age 15-19,Hispanic,1564,S,S,S,S
2014-2016,Lake,Age 15-19,MultRace,246,S,S,S,S
2014-2016,Lake,Age 15-19,AIAN,183,S,S,S,S
2014-2016,Lake,Age 15-19,Black,48,S,S,S,S
2014-2016,Lake,Age 15-19,AsianPI,28,0,0,0,0
2014-2016,Lassen,Age 15-19,All,2371,S,S,S,S
2014-2016,Lassen,Age 15-19,White,1747,S,S,S,S
2014-2016,Lassen,Age 15-17,All,1418,S,S,S,S
2014-2016,Lassen,Age 18-19,All,953,S,S,S,S
2014-2016,Lassen,Age 15-19,Hispanic,375,S,S,S,S
2014-2016,Lassen,Age 15-19,MultRace,135,S,S,S,S
2014-2016,Lassen,Age 15-19,AIAN,81,0,0,0,0
2014-2016,Lassen,Age 15-19,AsianPI,18,S,S,S,S
2014-2016,Lassen,Age 15-19,Black,15,0,0,0,0
2014-2016,Los Angeles,Age 15-19,All,1075590,18423,17.1,16.9,17.3
2014-2016,Los Angeles,Age 15-19,Hispanic,643340,15627,24.3,23.9,24.7
2014-2016,Los Angeles,Age 15-17,All,609054,5232,8.6,8.4,8.8
2014-2016,Los Angeles,Age 18-19,All,466536,13191,28.3,27.8,28.8
2014-2016,Los Angeles,Age 15-19,White,195999,580,3,2.8,3.2
2014-2016,Los Angeles,Age 15-19,AsianPI,118806,199,1.7,1.5,1.9
2014-2016,Los Angeles,Age 15-19,Black,87138,1645,18.9,18,19.8
2014-2016,Los Angeles,Age 15-19,MultRace,28603,249,8.7,7.6,9.8
2014-2016,Los Angeles,Age 15-19,AIAN,1704,21,12.3,7.6,18.8
2014-2016,Madera,Age 15-19,All,17290,617,35.7,32.9,38.5
2014-2016,Madera,Age 15-19,Hispanic,11508,516,44.8,40.9,48.7
2014-2016,Madera,Age 15-17,All,10262,194,18.9,16.2,21.6
2014-2016,Madera,Age 18-19,All,7028,423,60.2,54.5,65.9
2014-2016,Madera,Age 15-19,White,4517,S,S,S,S
2014-2016,Madera,Age 15-19,Black,382,S,S,S,S
2014-2016,Madera,Age 15-19,MultRace,368,S,S,S,S
2014-2016,Madera,Age 15-19,AsianPI,328,0,0,0,0
2014-2016,Madera,Age 15-19,AIAN,187,S,S,S,S
2014-2016,Marin,Age 15-19,All,21136,159,7.5,6.3,8.7
2014-2016,Marin,Age 15-19,White,13957,S,S,S,S
2014-2016,Marin,Age 15-17,All,13365,S,S,S,S
2014-2016,Marin,Age 18-19,All,7771,110,14.2,11.5,16.9
2014-2016,Marin,Age 15-19,Hispanic,4214,133,31.6,26.2,37
2014-2016,Marin,Age 15-19,AsianPI,1291,S,S,S,S
2014-2016,Marin,Age 15-19,MultRace,1216,0,0,0,0
2014-2016,Marin,Age 15-19,Black,423,S,S,S,S
2014-2016,Marin,Age 15-19,AIAN,35,0,0,0,0
2014-2016,Mariposa,Age 15-19,All,1482,S,S,S,S
2014-2016,Mariposa,Age 15-19,White,1119,S,S,S,S
2014-2016,Mariposa,Age 15-17,All,829,S,S,S,S
2014-2016,Mariposa,Age 18-19,All,653,S,S,S,S
2014-2016,Mariposa,Age 15-19,Hispanic,249,S,S,S,S
2014-2016,Mariposa,Age 15-19,MultRace,76,0,0,0,0
2014-2016,Mariposa,Age 15-19,Black,15,0,0,0,0
2014-2016,Mariposa,Age 15-19,AIAN,13,0,0,0,0
2014-2016,Mariposa,Age 15-19,AsianPI,10,0,0,0,0
2014-2016,Mendocino,Age 15-19,All,7843,194,24.7,21.2,28.2
2014-2016,Mendocino,Age 15-17,All,4647,S,S,S,S
2014-2016,Mendocino,Age 15-19,White,3966,S,S,S,S
2014-2016,Mendocino,Age 18-19,All,3196,S,S,S,S
2014-2016,Mendocino,Age 15-19,Hispanic,2832,S,S,S,S
2014-2016,Mendocino,Age 15-19,AIAN,400,S,S,S,S
2014-2016,Mendocino,Age 15-19,MultRace,350,S,S,S,S
2014-2016,Mendocino,Age 15-19,AsianPI,265,0,0,0,0
2014-2016,Mendocino,Age 15-19,Black,30,S,S,S,S
2014-2016,Merced,Age 15-19,All,35518,1043,29.4,27.6,31.2
2014-2016,Merced,Age 15-19,Hispanic,23486,809,34.4,32,36.8
2014-2016,Merced,Age 15-17,All,20468,296,14.5,12.8,16.2
2014-2016,Merced,Age 18-19,All,15050,747,49.6,46,53.2
2014-2016,Merced,Age 15-19,White,6880,143,20.8,17.4,24.2
2014-2016,Merced,Age 15-19,AsianPI,3317,S,S,S,S
2014-2016,Merced,Age 15-19,Black,1052,S,S,S,S
2014-2016,Merced,Age 15-19,MultRace,702,S,S,S,S
2014-2016,Merced,Age 15-19,AIAN,81,S,S,S,S
2014-2016,Modoc,Age 15-19,All,928,S,S,S,S
2014-2016,Modoc,Age 15-19,White,597,S,S,S,S
2014-2016,Modoc,Age 15-17,All,523,S,S,S,S
2014-2016,Modoc,Age 18-19,All,405,S,S,S,S
2014-2016,Modoc,Age 15-19,Hispanic,234,S,S,S,S
2014-2016,Modoc,Age 15-19,AIAN,54,S,S,S,S
2014-2016,Modoc,Age 15-19,MultRace,42,0,0,0,0
2014-2016,Modoc,Age 15-19,AsianPI,1,0,0,0,0
2014-2016,Modoc,Age 15-19,Black,0,0,0,0,0
2014-2016,Mono,Age 15-19,All,1116,S,S,S,S
2014-2016,Mono,Age 15-17,All,682,S,S,S,S
2014-2016,Mono,Age 15-19,White,521,S,S,S,S
2014-2016,Mono,Age 15-19,Hispanic,504,S,S,S,S
2014-2016,Mono,Age 18-19,All,434,S,S,S,S
2014-2016,Mono,Age 15-19,AsianPI,31,0,0,0,0
2014-2016,Mono,Age 15-19,MultRace,30,0,0,0,0
2014-2016,Mono,Age 15-19,AIAN,27,S,S,S,S
2014-2016,Mono,Age 15-19,Black,3,0,0,0,0
2014-2016,Monterey,Age 15-19,All,47469,1333,28.1,26.6,29.6
2014-2016,Monterey,Age 15-19,Hispanic,32476,1246,38.4,36.3,40.5
2014-2016,Monterey,Age 15-17,All,27104,421,15.5,14,17
2014-2016,Monterey,Age 18-19,All,20365,912,44.8,41.9,47.7
2014-2016,Monterey,Age 15-19,White,9766,S,S,S,S
2014-2016,Monterey,Age 15-19,AsianPI,2626,S,S,S,S
2014-2016,Monterey,Age 15-19,MultRace,1642,S,S,S,S
2014-2016,Monterey,Age 15-19,Black,827,S,S,S,S
2014-2016,Monterey,Age 15-19,AIAN,132,0,0,0,0
2014-2016,Napa,Age 15-19,All,14268,179,12.5,10.7,14.3
2014-2016,Napa,Age 15-17,All,8691,S,S,S,S
2014-2016,Napa,Age 15-19,Hispanic,6529,150,23,19.3,26.7
2014-2016,Napa,Age 15-19,White,5625,S,S,S,S
2014-2016,Napa,Age 18-19,All,5577,130,23.3,19.3,27.3
2014-2016,Napa,Age 15-19,AsianPI,1270,S,S,S,S
2014-2016,Napa,Age 15-19,MultRace,508,S,S,S,S
2014-2016,Napa,Age 15-19,Black,270,S,S,S,S
2014-2016,Napa,Age 15-19,AIAN,66,S,S,S,S
2014-2016,Nevada,Age 15-19,All,8323,S,S,S,S
2014-2016,Nevada,Age 15-19,White,6669,S,S,S,S
2014-2016,Nevada,Age 15-17,All,4885,S,S,S,S
2014-2016,Nevada,Age 18-19,All,3438,S,S,S,S
2014-2016,Nevada,Age 15-19,Hispanic,1116,S,S,S,S
2014-2016,Nevada,Age 15-19,MultRace,389,S,S,S,S
2014-2016,Nevada,Age 15-19,AsianPI,75,0,0,0,0
2014-2016,Nevada,Age 15-19,AIAN,41,0,0,0,0
2014-2016,Nevada,Age 15-19,Black,33,0,0,0,0
2014-2016,Orange,Age 15-19,All,338730,4166,12.3,11.9,12.7
2014-2016,Orange,Age 15-17,All,194371,1205,6.2,5.8,6.6
2014-2016,Orange,Age 15-19,Hispanic,149358,3580,24,23.2,24.8
2014-2016,Orange,Age 18-19,All,144359,2961,20.5,19.8,21.2
2014-2016,Orange,Age 15-19,White,112749,381,3.4,3.1,3.7
2014-2016,Orange,Age 15-19,AsianPI,58082,67,1.2,0.9,1.5
2014-2016,Orange,Age 15-19,MultRace,12976,40,3.1,2.2,4.2
2014-2016,Orange,Age 15-19,Black,4973,56,11.3,8.5,14.7
2014-2016,Orange,Age 15-19,AIAN,592,0,0,0,0
2014-2016,Placer,Age 15-19,All,35657,272,7.6,6.7,8.5
2014-2016,Placer,Age 15-19,White,24123,139,5.8,4.8,6.8
2014-2016,Placer,Age 15-17,All,22118,62,2.8,2.1,3.6
2014-2016,Placer,Age 18-19,All,13539,210,15.5,13.4,17.6
2014-2016,Placer,Age 15-19,Hispanic,6374,101,15.8,12.7,18.9
2014-2016,Placer,Age 15-19,MultRace,2192,S,S,S,S
2014-2016,Placer,Age 15-19,AsianPI,2113,S,S,S,S
2014-2016,Placer,Age 15-19,Black,643,S,S,S,S
2014-2016,Placer,Age 15-19,AIAN,212,S,S,S,S
2014-2016,Plumas,Age 15-19,All,1566,S,S,S,S
2014-2016,Plumas,Age 15-19,White,1200,S,S,S,S
2014-2016,Plumas,Age 15-17,All,898,S,S,S,S
2014-2016,Plumas,Age 18-19,All,668,S,S,S,S
2014-2016,Plumas,Age 15-19,Hispanic,228,S,S,S,S
2014-2016,Plumas,Age 15-19,MultRace,62,S,S,S,S
2014-2016,Plumas,Age 15-19,AIAN,58,S,S,S,S
2014-2016,Plumas,Age 15-19,Black,18,S,S,S,S
2014-2016,Plumas,Age 15-19,AsianPI,0,0,0,0,0
2014-2016,Riverside,Age 15-19,All,273621,5394,19.7,19.2,20.2
2014-2016,Riverside,Age 15-17,All,162024,1444,8.9,8.4,9.4
2014-2016,Riverside,Age 15-19,Hispanic,158865,4144,26.1,25.3,26.9
2014-2016,Riverside,Age 18-19,All,111597,3950,35.4,34.3,36.5
2014-2016,Riverside,Age 15-19,White,71175,620,8.7,8,9.4
2014-2016,Riverside,Age 15-19,Black,17537,347,19.8,17.7,21.9
2014-2016,Riverside,Age 15-19,AsianPI,15577,48,3.1,2.3,4.1
2014-2016,Riverside,Age 15-19,MultRace,9189,172,18.7,15.9,21.5
2014-2016,Riverside,Age 15-19,AIAN,1278,32,25,17.1,35.3
2014-2016,Sacramento,Age 15-19,All,159485,2671,16.7,16.1,17.3
2014-2016,Sacramento,Age 15-17,All,89895,618,6.9,6.4,7.4
2014-2016,Sacramento,Age 18-19,All,69590,2053,29.5,28.2,30.8
2014-2016,Sacramento,Age 15-19,White,54954,537,9.8,9,10.6
2014-2016,Sacramento,Age 15-19,Hispanic,48865,1141,23.4,22,24.8
2014-2016,Sacramento,Age 15-19,AsianPI,25252,206,8.2,7.1,9.3
2014-2016,Sacramento,Age 15-19,Black,18849,473,25.1,22.8,27.4
2014-2016,Sacramento,Age 15-19,MultRace,10628,267,25.1,22.1,28.1
2014-2016,Sacramento,Age 15-19,AIAN,937,S,S,S,S
2014-2016,San Benito,Age 15-19,All,6668,126,18.9,15.6,22.2
2014-2016,San Benito,Age 15-19,Hispanic,4531,S,S,S,S
2014-2016,San Benito,Age 15-17,All,3897,S,S,S,S
2014-2016,San Benito,Age 18-19,All,2771,S,S,S,S
2014-2016,San Benito,Age 15-19,White,1774,S,S,S,S
2014-2016,San Benito,Age 15-19,AsianPI,165,0,0,0,0
2014-2016,San Benito,Age 15-19,MultRace,146,S,S,S,S
2014-2016,San Benito,Age 15-19,Black,33,S,S,S,S
2014-2016,San Benito,Age 15-19,AIAN,19,0,0,0,0
2014-2016,San Bernardino,Age 15-19,All,251903,6176,24.5,23.9,25.1
2014-2016,San Bernardino,Age 15-19,Hispanic,158688,4395,27.7,26.9,28.5
2014-2016,San Bernardino,Age 15-17,All,147288,1516,10.3,9.8,10.8
2014-2016,San Bernardino,Age 18-19,All,104615,4660,44.5,43.2,45.8
2014-2016,San Bernardino,Age 15-19,White,49451,847,17.1,15.9,18.3
2014-2016,San Bernardino,Age 15-19,Black,22678,651,28.7,26.5,30.9
2014-2016,San Bernardino,Age 15-19,AsianPI,13174,37,2.8,2,3.9
2014-2016,San Bernardino,Age 15-19,MultRace,7071,219,31,26.9,35.1
2014-2016,San Bernardino,Age 15-19,AIAN,841,12,14.3,7.4,25
2014-2016,San Diego,Age 15-19,All,330756,5245,15.9,15.5,16.3
2014-2016,San Diego,Age 15-17,All,188194,1299,6.9,6.5,7.3
2014-2016,San Diego,Age 15-19,Hispanic,148710,3637,24.5,23.7,25.3
2014-2016,San Diego,Age 18-19,All,142562,3946,27.7,26.8,28.6
2014-2016,San Diego,Age 15-19,White,112929,623,5.5,5.1,5.9
2014-2016,San Diego,Age 15-19,AsianPI,36252,110,3,2.4,3.6
2014-2016,San Diego,Age 15-19,MultRace,16370,157,9.6,8.1,11.1
2014-2016,San Diego,Age 15-19,Black,15207,246,16.2,14.2,18.2
2014-2016,San Diego,Age 15-19,AIAN,1288,28,21.7,14.4,31.4
2014-2016,San Francisco,Age 15-19,All,51821,390,7.5,6.8,8.2
2014-2016,San Francisco,Age 15-17,All,26411,108,4.1,3.3,4.9
2014-2016,San Francisco,Age 18-19,All,25410,282,11.1,9.8,12.4
2014-2016,San Francisco,Age 15-19,AsianPI,20788,36,1.7,1.2,2.4
2014-2016,San Francisco,Age 15-19,White,12494,17,1.4,0.8,2.2
2014-2016,San Francisco,Age 15-19,Hispanic,11652,239,20.5,17.9,23.1
2014-2016,San Francisco,Age 15-19,Black,3918,70,17.9,14,22.6
2014-2016,San Francisco,Age 15-19,MultRace,2872,19,6.6,4,10.3
2014-2016,San Francisco,Age 15-19,AIAN,97,S,S,S,S
2014-2016,San Joaquin,Age 15-19,All,85522,1857,21.7,20.7,22.7
2014-2016,San Joaquin,Age 15-17,All,51079,497,9.7,8.8,10.6
2014-2016,San Joaquin,Age 15-19,Hispanic,40641,1195,29.4,27.7,31.1
2014-2016,San Joaquin,Age 18-19,All,34443,1360,39.5,37.4,41.6
2014-2016,San Joaquin,Age 15-19,White,21286,245,11.5,10.1,12.9
2014-2016,San Joaquin,Age 15-19,AsianPI,12430,138,11.1,9.2,13
2014-2016,San Joaquin,Age 15-19,Black,6702,191,28.5,24.5,32.5
2014-2016,San Joaquin,Age 15-19,MultRace,4150,68,16.4,12.7,20.8
2014-2016,San Joaquin,Age 15-19,AIAN,313,S,S,S,S
2014-2016,San Luis Obispo,Age 15-19,All,30894,366,11.8,10.6,13
2014-2016,San Luis Obispo,Age 15-19,White,18822,109,5.8,4.7,6.9
2014-2016,San Luis Obispo,Age 15-17,All,15791,S,S,S,S
2014-2016,San Luis Obispo,Age 18-19,All,15103,273,18.1,16,20.2
2014-2016,San Luis Obispo,Age 15-19,Hispanic,9263,238,25.7,22.4,29
2014-2016,San Luis Obispo,Age 15-19,AsianPI,1310,S,S,S,S
2014-2016,San Luis Obispo,Age 15-19,MultRace,1146,S,S,S,S
2014-2016,San Luis Obispo,Age 15-19,Black,250,S,S,S,S
2014-2016,San Luis Obispo,Age 15-19,AIAN,103,S,S,S,S
2014-2016,San Mateo,Age 15-19,All,59276,611,10.3,9.5,11.1
2014-2016,San Mateo,Age 15-17,All,36403,168,4.6,3.9,5.3
2014-2016,San Mateo,Age 18-19,All,22873,443,19.4,17.6,21.2
2014-2016,San Mateo,Age 15-19,Hispanic,20384,463,22.7,20.6,24.8
2014-2016,San Mateo,Age 15-19,White,19732,21,1.1,0.7,1.7
2014-2016,San Mateo,Age 15-19,AsianPI,14044,48,3.4,2.5,4.5
2014-2016,San Mateo,Age 15-19,MultRace,3707,22,5.9,3.7,8.9
2014-2016,San Mateo,Age 15-19,Black,1326,14,10.6,5.8,17.8
2014-2016,San Mateo,Age 15-19,AIAN,83,0,0,0,0
2014-2016,Santa Barbara,Age 15-19,All,57042,1091,19.1,18,20.2
2014-2016,Santa Barbara,Age 15-19,Hispanic,29501,993,33.7,31.6,35.8
2014-2016,Santa Barbara,Age 18-19,All,28717,748,26,24.1,27.9
2014-2016,Santa Barbara,Age 15-17,All,28325,343,12.1,10.8,13.4
2014-2016,Santa Barbara,Age 15-19,White,20855,65,3.1,2.4,4
2014-2016,Santa Barbara,Age 15-19,AsianPI,3334,S,S,S,S
2014-2016,Santa Barbara,Age 15-19,MultRace,2145,S,S,S,S
2014-2016,Santa Barbara,Age 15-19,Black,1046,S,S,S,S
2014-2016,Santa Barbara,Age 15-19,AIAN,161,S,S,S,S
2014-2016,Santa Clara,Age 15-19,All,177194,1874,10.6,10.1,11.1
2014-2016,Santa Clara,Age 15-17,All,105019,526,5,4.6,5.4
2014-2016,Santa Clara,Age 18-19,All,72175,1348,18.7,17.7,19.7
2014-2016,Santa Clara,Age 15-19,Hispanic,63335,1598,25.2,24,26.4
2014-2016,Santa Clara,Age 15-19,AsianPI,54018,85,1.6,1.3,2
2014-2016,Santa Clara,Age 15-19,White,46109,90,2,1.6,2.5
2014-2016,Santa Clara,Age 15-19,MultRace,8956,31,3.5,2.4,5
2014-2016,Santa Clara,Age 15-19,Black,4414,23,5.2,3.3,7.8
2014-2016,Santa Clara,Age 15-19,AIAN,362,S,S,S,S
2014-2016,Santa Cruz,Age 15-19,All,35743,440,12.3,11.2,13.4
2014-2016,Santa Cruz,Age 18-19,All,18260,310,17,15.1,18.9
2014-2016,Santa Cruz,Age 15-17,All,17483,130,7.4,6.1,8.7
2014-2016,Santa Cruz,Age 15-19,White,16551,S,S,S,S
2014-2016,Santa Cruz,Age 15-19,Hispanic,14779,388,26.3,23.7,28.9
2014-2016,Santa Cruz,Age 15-19,AsianPI,2308,S,S,S,S
2014-2016,Santa Cruz,Age 15-19,MultRace,1628,S,S,S,S
2014-2016,Santa Cruz,Age 15-19,Black,392,S,S,S,S
