id	gender	bdate	educ	jobcat	salary	salbegin	jobtime	prevexp	minority	jobcat_name
33	m	3/18/1961	15	1	42000	15000	96	68	0	Clerical
34	m	2/2/1949	19	3	92000	39990	96	175	0	Manager
35	m	8/22/1961	17	3	81250	30000	96	18	0	Manager
36	f	8/7/1963	8	1	31350	11250	96	52	0	Clerical
37	m	10/9/1954	12	1	29100	13500	96	113	1	Clerical
38	m	4/27/1962	15	1	31350	15000	96	49	1	Clerical
39	m	6/22/1960	16	1	36000	15000	96	46	1	Clerical
40	f	8/28/1933	15	1	19200	9000	96	23	1	Clerical
41	f	3/18/1961	12	1	23550	11550	96	52	1	Clerical
42	m	9/23/1960	15	1	35100	16500	95	90	0	Clerical
43	m	1/18/1964	12	1	23250	14250	95	46	0	Clerical
44	m	6/15/1963	8	1	29250	14250	95	50	0	Clerical
45	m	8/2/1938	12	2	30750	13500	95	307	0	Custodial
46	f	11/18/1940	15	1	22350	12750	95	165	0	Clerical
47	f	4/28/1938	12	1	30000	16500	95	228	0	Clerical
48	m	6/7/1947	12	2	30750	14100	94	240	0	Custodial
49	m	9/16/1958	15	1	34800	16500	94	93	0	Clerical
50	m	2/9/1960	16	3	60000	23730	94	59	0	Manager
51	m	7/8/1962	12	1	35550	15000	94	48	0	Clerical
52	m	11/12/1963	15	1	45150	15000	94	40	0	Clerical
53	m	4/21/1954	18	3	73750	26250	94	56	0	Manager
54	m	6/4/1931	12	1	25050	13500	94	444	0	Clerical
55	m	6/25/1960	12	1	27000	15000	94	120	0	Clerical
56	m	4/16/1962	15	1	26850	13500	94	5	0	Clerical
57	m	4/15/1963	15	1	33900	15750	94	78	0	Clerical
58	f	11/14/1964	15	1	26400	13500	94	3	0	Clerical
59	m	5/7/1961	15	1	28050	14250	94	36	1	Clerical
60	m	2/16/1959	12	1	30900	15000	94	102	1	Clerical
61	m	4/28/1964	8	1	22500	9750	94	36	1	Clerical
62	m	7/18/1962	16	3	48000	21750	93	22	0	Manager
63	m	8/20/1961	17	3	55000	26250	93	32	0	Manager
64	m	9/28/1963	16	3	53125	21000	93	48	0	Manager
65	m	3/28/1964	8	1	21900	14550	93	41	0	Clerical
66	m	2/16/1962	19	3	78125	30000	93	7	0	Manager
67	m	5/28/1964	16	3	46000	21240	93	35	0	Manager
68	m	5/5/1963	16	3	45250	21480	93	36	0	Manager
69	m	6/23/1960	16	3	56550	25000	93	34	0	Manager
70	m	2/8/1962	15	1	41100	20250	93	27	0	Clerical
71	m	8/26/1948	17	3	82500	34980	93	207	0	Manager
72	f	1/7/1964	16	1	54000	18000	93	11	0	Clerical
73	f	2/9/1968	12	1	26400	10500	93	0	0	Clerical
74	f	4/28/1933	15	1	33900	19500	93	192	0	Clerical
75	f	8/12/1965	15	1	24150	11550	93	0	0	Clerical
76	f	9/3/1967	15	1	29250	11550	93	11	0	Clerical
77	f	9/9/1968	12	1	27600	11400	93	6	0	Clerical
78	f	8/20/1968	12	1	22950	10500	93	10	0	Clerical
79	f	1/23/1962	16	1	34800	14550	93	8	0	Clerical
80	f	5/25/1961	16	1	51000	18000	93	22	0	Clerical
81	f	3/12/1968	12	1	24300	10950	93	5	0	Clerical
82	f	8/28/1947	12	1	24750	14250	93	193	1	Clerical
83	f	10/12/1967	12	1	22950	11250	93	0	1	Clerical
84	f	3/12/1967	8	1	25050	10950	93	8	1	Clerical
85	m	4/9/1962	15	1	25950	17100	92	42	0	Clerical
86	m	8/25/1961	15	1	31650	15750	92	64	0	Clerical
87	m	10/20/1959	12	1	24150	14100	92	130	0	Clerical
88	m	2/10/1962	19	3	72500	28740	92	10	0	Manager
89	m	6/24/1961	19	3	68750	27480	92	8	0	Manager
90	f	2/27/1938	8	1	16200	9750	92	0	0	Clerical
91	f	11/4/1967	12	1	20100	11250	92	24	0	Clerical
92	f	6/25/1968	8	1	24000	10950	92	6	0	Clerical
93	f	3/5/1968	12	1	25950	10950	92	0	0	Clerical
94	f	8/4/1950	12	1	24600	10050	92	44	0	Clerical
95	f	8/8/1968	12	1	28500	10500	92	6	0	Clerical
96	m	10/2/1933	8	2	30750	15000	92	432	1	Custodial
97	m	1/18/1953	17	1	40200	19500	92	168	1	Clerical
98	m	5/17/1956	8	2	30000	15000	92	144	1	Custodial
99	f	7/7/1968	12	1	22050	10950	92	5	1	Clerical
100	m	10/25/1963	18	3	78250	27480	91	47	0	Manager
101	m	3/14/1960	16	3	60625	22500	91	44	0	Manager
102	m	3/28/1963	14	1	39900	15750	91	59	0	Clerical
103	m	3/17/1959	19	3	97000	35010	91	68	0	Manager
104	m	11/5/1962	15	1	27450	15750	91	48	0	Clerical
105	m	3/7/1966	15	1	31650	13500	91	18	0	Clerical
106	m	8/4/1962	19	3	91250	29490	91	23	0	Manager
107	f	8/16/1960	12	1	25200	14400	91	83	0	Clerical
108	f	7/16/1930	12	1	21000	11550	91	108	0	Clerical
109	m	11/10/1963	12	1	30450	15000	91	49	1	Clerical
110	m	10/29/1952	15	1	28350	18000	91	151	1	Clerical
111	m	11/27/1940	12	2	30750	9000	91	314	1	Custodial
112	m	6/21/1948	12	2	30750	15000	91	240	1	Custodial
113	m	10/6/1959	16	3	54875	27480	90	68	0	Manager
114	m	8/25/1961	14	1	37800	16500	90	60	0	Clerical
115	m	5/12/1961	15	1	33450	14100	90	85	0	Clerical
116	m	6/9/1962	15	1	30300	16500	90	16	0	Clerical
117	f	1/14/1932	12	1	31500	18750	90	205	0	Clerical
118	f	3/4/1964	12	1	31650	14250	90	48	0	Clerical
119	f	7/23/1963	12	1	25200	14100	90	55	0	Clerical
120	f	11/12/1964	16	3	37800	15750	90	7	0	Manager
121	f	8/6/1936	15	1	18750	10500	90	54	0	Clerical
122	f	9/26/1965	15	1	32550	13500	90	22	0	Clerical
123	f	4/24/1949	12	1	33300	15000	90	3	0	Clerical
124	f	5/29/1963	16	1	38550	16500	90	0	0	Clerical
125	m	8/6/1956	12	1	27450	15000	90	173	1	Clerical
126	m	1/21/1951	15	2	24300	15000	90	191	1	Custodial
127	m	9/1/1950	12	2	30750	15000	90	209	1	Custodial
128	f	7/25/1946	12	1	19650	9750	90	229	1	Clerical
129	m	7/18/1959	17	3	68750	27510	89	38	0	Manager
130	m	9/6/1958	20	3	59375	30000	89	6	0	Manager
131	m	2/8/1962	15	1	31500	15750	89	22	0	Clerical
132	m	5/17/1953	12	1	27300	17250	89	175	0	Clerical
133	m	9/12/1959	15	1	27000	15750	89	87	0	Clerical
134	f	11/10/1941	16	3	41550	24990	89	285	0	Manager
135	f	5/22/1968	12	1	26250	10950	89	0	0	Clerical
136	m	8/25/1939	12	1	22200	15000	88	324	0	Clerical
137	m	7/12/1937	21	3	65000	37500	88	264	0	Manager
138	m	1/9/1947	12	1	30900	15000	88	252	0	Clerical
139	f	6/18/1931	8	1	20100	13200	88	90	0	Clerical
140	f	4/5/1965	12	1	22350	13500	88	26	0	Clerical
141	f	6/14/1966	15	1	35550	13350	88	32	0	Clerical
142	f	11/13/1966	12	1	28500	13950	88	34	0	Clerical
143	f	8/24/1939	12	1	24450	13200	88	107	0	Clerical
144	f	8/28/1931	8	1	16650	9750	88	412	0	Clerical
145	m	1/15/1964	12	1	26700	13500	88	38	1	Clerical
146	m	1/2/1951	18	1	43950	23250	88	182	1	Clerical
147	m	9/11/1936	15	1	23700	13500	88	359	1	Clerical
148	f	10/5/1959	15	1	26550	14250	88	61	1	Clerical
149	m	6/28/1962	12	1	27600	15000	87	75	0	Clerical
150	m	3/5/1954	12	1	25800	15000	87	143	0	Clerical
151	m	8/16/1954	16	3	42300	26250	87	126	0	Manager
152	m	5/3/1929	8	2	30750	15000	87	451	0	Custodial
153	f	5/13/1967	12	1	26700	12900	87	18	0	Clerical
154	f	6/7/1940	12	1	20850	12000	87	163	0	Clerical
155	m	3/6/1963	15	1	35250	15000	87	54	1	Clerical
156	m	1/12/1963	15	1	26700	15000	87	56	1	Clerical
157	f	7/2/1967	12	1	26550	13050	87	11	1	Clerical
158	f	9/20/1964	12	1	27750	12000	87	11	1	Clerical
159	f	1/13/1951	16	1	25050	12750	87	123	1	Clerical
160	m	8/27/1951	16	3	66000	47490	86	150	0	Manager
161	m	2/11/1963	16	1	52650	19500	86	20	0	Clerical
162	m	5/25/1961	16	3	45625	23250	86	60	0	Manager
163	m	11/10/1965	15	1	30900	15000	86	25	0	Clerical
164	f	8/13/1965	15	1	29400	16500	86	24	0	Clerical
165	f	4/29/1966	15	1	33300	13500	86	24	0	Clerical
166	f	7/12/1942	12	1	21900	9750	86	156	0	Clerical
167	f	8/26/1932	12	1	18150	9750	86	72	0	Clerical
168	f	4/23/1962	16	3	46875	17250	86	19	0	Manager
169	m	5/23/1965	12	1	25500	14400	86	37	1	Clerical
170	m	6/13/1964	12	1	26550	15000	86	38	1	Clerical
171	m	1/21/1930	12	1	26700	13500	86	367	1	Clerical
172	f	6/13/1953	15	1	29850	15000	86	79	1	Clerical
173	m	1/15/1950	20	3	69250	42480	85	134	0	Manager
174	m	1/7/1935	8	2	31950	15000	85	438	0	Custodial
175	m	1/8/1938	8	1	26250	15600	85	171	0	Clerical
176	f	10/5/1962	16	1	35700	17250	85	19	0	Clerical
177	f	8/11/1962	12	1	28500	16500	85	69	0	Clerical
178	f	1/17/1938	12	1	17100	10200	85	72	0	Clerical
179	m	1/19/1965	12	1	25200	13050	85	29	1	Clerical
180	f	1/23/1960	12	1	24000	12750	85	59	1	Clerical
181	f	1/4/1939	12	1	27450	10200	85	101	1	Clerical
182	f	3/8/1943	12	1	18450	10200	85	228	1	Clerical
183	m	3/1/1960	15	1	39300	15750	84	72	0	Clerical
184	m	11/5/1964	15	1	38850	15000	84	53	0	Clerical
185	m	8/28/1930	8	2	30750	15000	84	380	0	Custodial
186	m	7/6/1964	15	1	37500	20400	84	33	0	Clerical
187	m	7/29/1963	16	3	58750	21750	84	13	0	Manager
188	f	2/4/1934	12	1	34500	18750	84	208	0	Clerical
189	f	3/28/1950	12	1	36000	19980	84	240	0	Clerical
190	f	11/15/1932	8	1	29100	16500	84	35	0	Clerical
191	f	10/23/1931	12	1	16500	10200	84	288	0	Clerical
192	m	10/9/1949	12	1	19650	12750	84	180	1	Clerical
193	f	7/22/1966	12	1	24750	12000	84	41	1	Clerical
194	f	4/10/1938	15	1	27150	15750	84	231	1	Clerical
195	f	11/6/1955	12	1	26400	12750	84	36	1	Clerical
196	f	3/3/1946	16	1	23100	12000	84	214	1	Clerical
197	m	10/1/1962	15	3	54900	25500	83	49	0	Manager
198	m	3/17/1952	19	3	70875	43500	83	156	0	Manager
199	m	2/2/1958	16	3	51250	27480	83	69	0	Manager
200	m	2/13/1963	17	3	67500	34980	83	9	0	Manager
201	m	5/8/1955	12	1	29340	19500	83	150	0	Clerical
202	m	3/17/1963	15	1	39600	16500	83	47	0	Clerical
203	m	3/17/1964	12	1	29100	15000	83	50	0	Clerical
204	m	10/21/1960	15	1	33150	16500	83	69	0	Clerical
205	m	6/22/1944	16	3	66750	52500	83	258	0	Manager
206	m	5/22/1943	12	2	33750	15000	83	284	0	Custodial
207	m	2/15/1959	15	1	27300	17250	83	91	0	Clerical
208	f	11/28/1968	12	1	24000	11250	83	16	0	Clerical
209	f	1/14/1934	8	1	19800	10200	83	75	0	Clerical
210	m	5/4/1949	15	1	30600	16500	83	216	1	Clerical
211	m	11/8/1950	15	1	28950	15000	83	108	1	Clerical
212	m	5/14/1965	15	1	38400	16500	83	64	1	Clerical
213	m	10/20/1945	8	2	30750	15000	83	302	1	Custodial
214	f	9/13/1968	12	1	20400	10950	83	9	1	Clerical
215	f	9/15/1968	12	1	19200	11100	83	7	1	Clerical
216	m	5/16/1964	15	1	30150	15750	82	72	0	Clerical
217	m	3/15/1949	16	1	34620	27750	82	149	0	Clerical
218	m	3/21/1964	15	1	80000	15750	82	34	0	Clerical
219	m	2/2/1963	12	1	25350	15000	82	32	0	Clerical
220	m	8/17/1963	12	1	29850	15750	82	85	0	Clerical
221	f	5/22/1947	12	1	24000	13800	82	97	0	Clerical
222	f	9/15/1935	15	1	27750	19500	82	265	0	Clerical
223	f	3/14/1942	8	1	22350	10200	82	48	0	Clerical
224	f	11/20/1934	12	1	16200	10200	82	0	0	Clerical
225	f	10/13/1967	15	1	21900	12750	82	0	0	Clerical
226	f	6/21/1964	16	1	23250	15750	82	4	0	Clerical
227	f	7/17/1965	12	1	33900	12000	82	11	0	Clerical
228	f	9/21/1963	15	1	25650	14250	82	51	0	Clerical
229	f	8/21/1940	12	1	17250	10200	82	358	0	Clerical
230	m	2/4/1934	15	1	22500	15000	82	371	1	Clerical
231	m	1/9/1965	16	3	40200	21000	81	3	0	Manager
232	m	9/13/1963	19	3	55500	33750	81	62	0	Manager
233	m	7/21/1963	15	1	26550	15000	81	52	0	Clerical
234	m	11/12/1960	15	1	50550	19500	81	44	0	Clerical
235	m	9/11/1962	19	3	75000	31500	81	13	0	Manager
236	f	5/2/1969	8	1	27450	12000	81	9	0	Clerical
237	f	6/4/1969	12	1	22650	11250	81	0	0	Clerical
238	f	6/15/1969	12	1	27300	11250	81	5	0	Clerical
239	f	9/14/1969	12	1	27750	11225	81	5	0	Clerical
240	f	6/15/1961	16	3	54375	18750	81	81	0	Manager
241	f	8/27/1936	8	1	17400	10200	81	390	0	Clerical
242	f	11/3/1967	12	1	40800	18000	81	4	0	Clerical
243	f	2/10/1969	12	1	23100	10950	81	0	0	Clerical
244	f	9/15/1969	8	1	22500	10950	81	5	0	Clerical
245	f	3/16/1969	12	1	26700	11550	81	18	0	Clerical
246	f	1/14/1968	12	1	24900	11250	81	0	0	Clerical
247	f	5/13/1968	12	1	19650	10950	81	11	0	Clerical
248	f	4/9/1969	12	1	22050	10950	81	9	0	Clerical
249	f	5/9/1969	12	1	25500	12000	81	11	0	Clerical
250	f	10/10/1966	15	1	28200	12750	81	19	0	Clerical
251	f	1/19/1969	12	1	23100	11250	81	13	0	Clerical
252	m	9/18/1969	12	1	25500	11400	81	9	1	Clerical
253	f	2/21/1942	8	1	17100	10200	81	0	1	Clerical
254	m	2/8/1964	18	3	68125	32490	80	29	0	Manager
255	m	8/15/1932	12	2	30600	15750	80	460	0	Custodial
256	m	1/3/1948	19	3	52125	27480	80	221	0	Manager
257	m	9/24/1951	19	3	61875	36750	80	199	0	Manager
258	m	3/9/1969	8	1	21300	11550	80	24	0	Clerical
259	f	3/15/1969	12	1	19650	11250	80	5	0	Clerical
260	f	2/20/1969	12	1	22350	11250	80	5	0	Clerical
261	f	3/27/1969	12	1	23400	11250	80	18	0	Clerical
262	f	6/20/1968	12	1	24300	10950	80	8	0	Clerical
263	f	10/13/1968	12	1	28500	11250	80	4	0	Clerical
264	f	1/16/1969	12	1	19950	11250	80	8	0	Clerical
265	f	9/24/1969	12	1	23400	11250	80	0	0	Clerical
266	f	10/7/1963	16	1	34500	17250	80	3	0	Clerical
267	f	8/24/1969	12	1	18150	10950	80	0	0	Clerical
268	m	5/16/1936	12	1	22350	15000	80	272	1	Clerical
269	m	3/17/1966	15	1	40200	17250	79	38	0	Clerical
270	m	10/29/1947	15	1	28650	18000	79	261	0	Clerical
271	m	8/24/1963	15	1	27750	16500	79	55	0	Clerical
272	m	6/17/1964	18	1	66875	31980	79	30	0	Clerical
273	m	11/12/1939	12	2	30000	15750	79	308	0	Custodial
274	m	8/4/1964	16	3	83750	21750	79	12	0	Manager
275	m	1/14/1963	12	1	33900	16500	79	94	0	Clerical
276	m	5/11/1965	16	3	56500	21000	79	12	0	Manager
277	f	5/20/1965	16	3	43000	17490	79	20	0	Manager
278	f	6/12/1943	8	1	20850	12000	79	70	0	Clerical
279	f	4/16/1969	12	1	24450	12000	79	8	0	Clerical
280	f	10/20/1969	12	1	24750	10950	79	5	0	Clerical
281	m	2/18/1945	8	2	34500	15750	79	246	1	Custodial
282	m	9/15/1963	14	1	27900	15000	79	47	1	Clerical
283	m	2/25/1963	19	3	68125	32010	78	35	0	Manager
284	m	10/10/1961	19	3	73500	33000	78	45	0	Manager
285	m	5/28/1930	8	2	30750	15750	78	429	0	Custodial
286	m	3/7/1958	15	3	40050	25500	78	133	0	Manager
287	m	1/18/1965	16	1	40350	19500	78	20	0	Clerical
288	m	1/22/1955	15	3	38700	23730	78	176	0	Manager
289	m	10/27/1964	17	3	65000	30750	78	26	0	Manager
290	m	4/5/1954	18	3	51450	36240	78	149	0	Manager
291	m	9/23/1934	12	2	35250	15750	78	387	0	Custodial
292	m	5/7/1963	14	1	25950	15000	78	53	0	Clerical
293	m	9/19/1965	15	1	25050	14250	78	24	0	Clerical
294	m	10/10/1968	12	1	26700	12750	78	25	0	Clerical
295	m	8/20/1932	8	1	24000	15750	78	476	0	Clerical
296	m	2/12/1964	12	1	26850	15000	78	48	0	Clerical
297	f	4/16/1942	12	1	23400	15300	78	209	0	Clerical
298	f	8/24/1966	12	1	24600	13500	78	47	0	Clerical
299	f	5/11/1965	15	1	32550	18000	78	6	0	Clerical
300	m	5/26/1960	16	1	26550	15000	78	105	1	Clerical
301	m	8/4/1968	12	1	31500	13500	78	7	1	Clerical
302	m	9/28/1939	8	1	22350	15000	78	320	1	Clerical
303	m	2/10/1938	12	2	35250	15750	78	281	1	Custodial
304	f	9/28/1945	15	1	25800	13500	78	51	1	Clerical
305	m	10/25/1941	12	2	30750	15750	77	317	0	Custodial
306	m	4/5/1966	15	1	30750	16500	77	41	0	Clerical
307	m	7/24/1945	16	3	50000	32490	77	264	0	Manager
308	m	2/1/1963	15	1	34500	18000	77	63	0	Clerical
309	m	7/19/1964	15	1	26250	15750	77	38	0	Clerical
310	m	3/23/1964	16	1	44875	21240	77	22	0	Clerical
311	f	2/15/1951	12	1	22500	12000	77	63	0	Clerical
312	f	3/12/1963	12	1	25650	14250	77	64	0	Clerical
313	f	10/25/1969	12	1	21300	11250	77	0	0	Clerical
314	f	11/24/1966	12	1	29850	13500	77	38	0	Clerical
315	f	9/19/1969	12	1	34500	12150	77	4	0	Clerical
316	m	1/14/1960	15	1	27750	15000	77	52	1	Clerical
317	m	2/27/1969	12	1	27750	11550	77	12	1	Clerical
318	m	2/19/1961	16	3	48750	21990	76	61	0	Manager
319	m	3/2/1966	15	1	43410	15750	76	12	0	Clerical
320	m	11/10/1936	12	1	22050	15000	76	385	0	Clerical
321	f	10/26/1953	12	1	22050	12000	76	6	0	Clerical
322	f	3/2/1938	12	1	22500	14250	76	90	0	Clerical
323	f	5/13/1967	15	1	25500	12000	76	7	0	Clerical
324	f	10/14/1966	12	1	29160	15000	76	22	0	Clerical
325	f	11/4/1934	8	1	16800	10200	76	76	0	Clerical
326	m	7/24/1958	8	2	29550	15750	76	144	1	Custodial
327	m	3/2/1965	12	1	26700	15750	76	18	1	Clerical
328	m	10/25/1952	18	3	55000	32490	75	125	0	Manager
329	m	8/24/1958	18	3	62500	34980	75	74	0	Manager
330	m	5/9/1959	15	1	27300	17250	75	132	0	Clerical
331	f	2/4/1942	12	1	24450	12000	75	144	0	Clerical
332	f	5/10/1964	16	1	33000	18000	75	26	0	Clerical
333	f	1/26/1965	15	1	37050	18000	75	5	0	Clerical
334	f	5/9/1966	12	1	24450	10950	75	32	1	Clerical
335	m	2/26/1930	8	2	31950	15750	74	408	0	Custodial
336	m	1/10/1964	16	3	47250	21240	74	45	0	Manager
337	f	1/27/1970	12	1	26100	11550	74	2	0	Clerical
338	f	8/12/1938	8	1	15900	10200	74	43	0	Clerical
339	f	11/7/1942	8	1	23700	10650	74	281	0	Clerical
340	f	5/6/1934	8	1	21750	12450	74	318	0	Clerical
341	m	1/20/1945	12	3	59400	33750	74	272	1	Manager
342	f	6/1/1948	12	1	24450	14250	74	117	1	Clerical
343	m	6/9/1953	16	3	103500	60000	73	150	0	Manager
344	m	10/13/1963	12	1	35700	16500	73	72	0	Clerical
345	f	5/5/1969	12	1	22200	16500	73	7	0	Clerical
346	f	8/16/1968	15	1	22950	13950	73	22	0	Clerical
347	f	8/10/1944	12	1	23100	12000	73	228	0	Clerical
348	f	6/11/1962	16	3	56750	30000	73	15	0	Manager
349	f	3/22/1938	17	1	29100	12750	73	375	0	Clerical
350	f	4/21/1939	12	1	37650	15750	73	132	0	Clerical
351	f	1/27/1966	12	1	27900	13500	73	32	0	Clerical
352	f	11/26/1933	8	1	21150	12000	73	159	0	Clerical
353	m	3/10/1955	12	2	31200	15750	73	155	1	Custodial
354	f	5/8/1946	12	1	20550	11250	73	154	1	Clerical
355	m	5/19/1961	15	1	25950	17250	72	83	0	Clerical
356	m	11/10/1965	15	1	28350	15000	72	48	0	Clerical
357	f	1/18/1932	8	1	17700	10200	72	184	0	Clerical
358	f	4/11/1944	15	1	23550	13500	72	49	0	Clerical
359	f	6/12/1941	12	1	19950	10200	72	56	0	Clerical
360	f	8/11/1968	12	1	29400	15300	72	30	0	Clerical
361	f	6/9/1966	12	1	28800	13950	72	18	0	Clerical
362	f	4/8/1937	8	1	16950	10200	72	319	0	Clerical
363	m	6/3/1954	16	1	35700	18000	72	138	1	Clerical
364	f	3/26/1947	12	1	17400	10200	72	116	1	Clerical
365	f	10/16/1948	8	1	21450	10200	72	194	1	Clerical
366	f	3/21/1961	12	1	24750	12000	72	68	1	Clerical
367	f	5/22/1942	12	1	16950	10200	72	271	1	Clerical
368	f	7/20/1943	12	1	26100	13500	72	169	1	Clerical
369	m	11/14/1967	14	1	28050	15000	71	15	0	Clerical
370	f	1/20/1963	16	1	36600	18000	71	12	0	Clerical
371	f	4/5/1966	16	3	58125	18000	71	11	0	Manager
372	m	8/22/1935	15	1	21300	15750	70	372	0	Clerical
373	m	10/29/1949	12	1	22500	16500	70	216	0	Clerical
374	m	7/26/1967	15	1	29400	15750	70	15	0	Clerical
375	m	10/8/1966	12	1	27450	14700	70	41	0	Clerical
376	m	10/9/1964	15	1	29850	15750	70	48	0	Clerical
377	m	11/29/1965	15	1	25350	15750	70	56	0	Clerical
378	f	9/21/1930	8	1	15750	10200	70	275	0	Clerical
379	f	5/12/1938	8	1	19650	13050	70	102	0	Clerical
380	f	2/22/1941	12	1	21000	13500	70	82	0	Clerical
381	m	7/15/1946	17	1	27000	18000	70	192	1	Clerical
382	m	10/20/1959	12	1	24000	15750	70	120	1	Clerical
383	m	6/3/1961	17	3	78500	28740	70	67	1	Manager
384	f	11/11/1955	12	1	20850	13050	70	127	1	Clerical
385	m	10/1/1930	12	2	30000	15750	69	348	0	Custodial
386	m	8/18/1934	8	2	28500	15750	69	174	0	Custodial
387	m	2/3/1965	19	3	65000	31980	69	74	0	Manager
388	m	1/2/1959	14	1	30150	16500	69	110	0	Clerical
389	m	4/15/1959	19	3	66875	32490	69	81	0	Manager
390	f	11/9/1968	15	1	24150	13500	69	7	0	Clerical
391	f	1/12/1969	12	1	24450	12450	69	12	0	Clerical
392	f	5/12/1970	12	1	21600	12000	69	0	0	Clerical
393	f	6/24/1969	12	1	27900	12450	69	0	0	Clerical
394	f	2/4/1970	8	1	29100	12450	69	17	0	Clerical
395	f	3/9/1970	12	1	22650	11250	69	2	0	Clerical
396	f	8/17/1970	12	1	20850	11250	69	0	0	Clerical
397	f	1/17/1970	12	1	22950	12300	69	5	0	Clerical
398	f	11/21/1970	12	1	30600	12450	69	5	0	Clerical
399	f	2/6/1970	12	1	20400	11250	69	0	0	Clerical
400	f	8/6/1969	12	1	23850	12750	69	20	0	Clerical
401	f	3/14/1970	12	1	22800	11250	69	0	0	Clerical
402	f	2/7/1970	12	1	20700	11250	69	2	0	Clerical
403	f	4/28/1970	12	1	21300	11250	69	3	1	Clerical
404	f	5/1/1953	12	1	24300	15000	69	121	1	Clerical
405	f	7/12/1944	12	1	19650	13950	69	133	1	Clerical
406	m	10/5/1965	17	3	60000	32490	68	17	0	Manager
407	m	9/6/1965	15	1	30300	15750	68	55	0	Clerical
408	m	2/12/1964	19	3	61250	33000	68	9	0	Manager
409	m	11/21/1962	19	1	36000	19500	68	21	0	Clerical
410	f	1/9/1942	8	1	25200	18750	68	344	0	Clerical
411	f	8/21/1931	12	1	16200	10200	68	180	0	Clerical
412	f	6/16/1970	12	1	22800	11250	68	2	0	Clerical
413	f	3/13/1966	16	3	43500	19500	68	11	0	Manager
414	m	1/8/1961	8	2	30300	15750	68	155	1	Custodial
415	m	5/2/1963	15	1	31950	15750	68	70	1	Clerical
416	m	1/16/1965	15	1	35250	13500	67	6	0	Clerical
417	m	7/22/1967	15	1	37800	15000	67	36	0	Clerical
418	m	6/5/1965	15	1	31200	15750	67	46	0	Clerical
419	m	10/20/1964	15	1	29400	16500	67	68	0	Clerical
420	m	7/16/1957	19	3	70000	35040	67	75	0	Manager
421	m	11/1/1961	15	1	33900	15750	67	96	0	Clerical
422	m	7/20/1963	15	1	27150	16500	67	78	0	Clerical
423	f	4/26/1936	12	1	22200	13800	67	196	0	Clerical
424	f	7/6/1966	15	1	31350	11100	67	47	0	Clerical
425	f	1/26/1942	12	1	20850	13500	67	181	0	Clerical
426	m	10/27/1952	16	1	33300	17490	67	120	1	Clerical
427	m	4/21/1942	8	1	26250	16050	67	97	1	Clerical
428	m	2/28/1964	15	1	31950	15750	67	58	1	Clerical
429	m	8/13/1946	8	2	30000	15750	67	305	1	Custodial
430	m	4/29/1956	19	3	66250	34980	67	99	1	Manager
431	m	1/15/1959	18	3	86250	45000	66	50	0	Manager
432	m	3/12/1964	12	1	30750	15000	66	56	0	Clerical
433	m	11/15/1966	12	1	33540	15750	66	47	0	Clerical
434	m	 	16	1	34950	20250	66	55	0	Clerical
435	m	5/24/1964	15	1	40350	16500	66	80	0	Clerical
436	m	5/27/1965	12	1	30270	15750	66	80	0	Clerical
437	m	9/4/1933	8	1	26250	16050	66	264	0	Clerical
