Game,Date,Location,Opp,Win ,Points,OppPoints,FG,FGA,FG3,FG3A,FT,FTA,Rebounds,OffReb,Assists,Steals,Blocks,Turnovers,Fouls,OppFG,OppFGA,OppFG3,OppFG3A,OppFT,OppFTA,OppRebounds,OppOffReb,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppFouls
45,1/25/2016,Home,SAS,W,120,90,44,85,11,26,21,25,45,10,31,15,3,21,25,31,74,5,14,23,31,38,9,21,11,4,25,21
46,1/27/2016,Home,DAL,W,127,107,47,81,14,29,19,21,40,7,33,5,4,9,18,44,87,11,31,8,12,34,8,20,4,0,10,21
47,1/30/2016,Away,PHI,W,108,105,47,95,13,30,1,2,57,12,37,5,7,23,18,42,92,10,29,11,21,40,8,23,18,4,10,8
48,1/31/2016,Away,NYK,W,116,95,42,73,16,29,16,23,44,3,31,8,5,18,21,33,90,6,18,23,26,41,12,19,6,4,11,20
49,2/3/2016,Away,WAS,W,134,121,49,93,20,41,16,29,49,11,35,10,5,18,24,46,91,8,23,21,30,38,4,26,16,4,13,22
50,2/6/2016,Home,OKC,W,116,108,48,97,7,26,13,20,46,13,24,7,4,10,23,36,85,7,22,29,37,50,12,22,10,5,15,18
51,2/9/2016,Home,HOU,W,123,110,44,94,12,34,23,26,49,14,28,5,6,12,26,37,87,13,33,23,35,43,13,24,8,4,12,22
52,2/10/2016,Away,PHO,W,112,104,37,89,14,40,24,29,50,8,24,12,7,13,22,41,93,6,20,16,22,50,10,21,7,6,18,23
53,2/19/2016,Away,POR,L,105,137,36,92,12,34,21,28,47,14,25,7,4,20,17,52,97,17,30,16,23,48,8,28,12,4,13,21
54,2/20/2016,Away,LAC,W,115,112,42,82,11,31,20,26,39,6,32,8,2,14,19,42,94,13,36,15,18,49,15,24,9,2,14,24
55,2/22/2016,Away,ATL,W,102,92,39,89,14,45,10,12,43,6,30,14,8,13,17,36,86,10,34,10,16,47,8,23,7,7,17,17
56,2/24/2016,Away,MIA,W,118,112,42,90,13,28,21,25,43,9,23,7,2,13,24,40,86,6,14,26,31,46,11,19,8,8,12,23
57,2/25/2016,Away,ORL,W,130,114,53,88,13,25,11,16,42,8,35,9,4,20,21,41,90,10,26,22,28,37,8,23,11,4,15,17
58,2/27/2016,Away,OKC,W,121,118,45,95,14,32,17,25,32,4,25,15,7,11,22,46,96,9,26,17,26,62,16,23,6,4,22,21
59,3/1/2016,Home,ATL,W,109,105,41,103,12,36,15,17,51,18,28,11,3,11,22,37,80,12,33,19,24,42,7,25,9,5,17,17
60,3/3/2016,Home,OKC,W,121,106,47,87,11,34,16,21,40,4,33,11,3,8,20,40,86,4,20,22,27,46,11,22,3,4,14,18
61,3/6/2016,Away,LAL,L,95,112,37,92,4,30,17,21,49,17,32,5,3,20,20,41,87,9,25,21,22,41,9,23,12,6,11,24
62,3/7/2016,Home,ORL,W,119,113,42,84,16,35,19,27,50,10,27,13,7,24,26,40,90,5,21,28,34,42,9,24,14,3,15,21
63,3/9/2016,Home,UTA,W,115,94,48,84,13,30,6,10,39,9,36,10,7,15,23,32,79,8,20,22,31,42,14,21,9,4,18,16
64,3/11/2016,Home,POR,W,128,112,40,89,18,40,30,39,56,16,23,5,6,8,20,37,86,19,36,19,23,39,7,20,4,4,8,23
65,3/12/2016,Home,PHO,W,123,116,42,84,11,33,28,33,42,7,28,6,9,8,25,45,92,11,29,15,20,47,9,29,3,3,12,30
66,3/14/2016,Home,NOP,W,125,107,47,81,12,25,19,23,46,8,30,6,6,18,22,35,93,7,25,30,34,40,17,18,14,3,8,19
67,3/16/2016,Home,NYK,W,121,85,46,91,18,37,11,12,54,12,32,4,8,12,13,36,91,7,19,6,10,38,11,29,7,3,9,11
68,3/18/2016,Away,DAL,W,130,112,48,95,22,38,12,14,42,5,35,8,7,12,21,41,93,9,29,21,22,46,11,25,4,8,12,15
69,3/19/2016,Away,SAS,L,79,87,31,82,9,36,8,10,37,7,24,12,3,10,21,32,78,8,21,15,18,53,14,17,4,6,17,19
70,3/21/2016,Away,MIN,W,109,104,43,87,8,24,15,24,44,13,31,13,10,16,20,36,82,7,19,25,30,37,10,26,8,5,15,20
71,3/23/2016,Home,LAC,W,114,98,39,87,15,34,21,28,50,11,23,9,5,12,20,36,85,8,28,18,27,46,8,21,8,7,10,22
72,3/25/2016,Home,DAL,W,128,120,43,88,21,45,21,23,40,7,30,8,10,7,16,43,96,18,35,16,21,51,15,31,3,6,11,19
73,3/27/2016,Home,PHI,W,117,105,44,83,14,33,15,20,44,7,32,9,4,18,15,42,90,10,30,11,12,37,9,27,10,3,12,20
74,3/29/2016,Home,WAS,W,102,94,38,87,11,25,15,23,55,7,27,11,6,16,23,36,86,5,23,17,27,48,7,26,6,7,17,19
75,3/30/2016,Away,UTA,W,103,96,39,89,12,35,13,18,46,9,19,6,6,18,21,37,92,9,32,13,29,54,16,14,11,2,15,23
76,4/1/2016,Home,BOS,L,106,109,38,83,20,43,10,13,41,8,25,12,7,22,24,41,87,8,23,19,30,44,11,28,10,1,14,14
77,4/3/2016,Home,POR,W,136,111,50,88,18,30,18,22,43,11,30,5,8,12,23,38,85,9,24,26,33,37,11,23,8,4,13,16
78,4/5/2016,Home,MIN,L,117,124,49,98,12,35,7,8,46,9,35,9,5,23,29,44,86,8,17,28,36,40,6,30,14,6,17,15
79,4/7/2016,Home,SAS,W,112,101,45,83,12,25,10,11,43,7,33,8,2,15,22,39,80,7,16,16,23,32,5,28,10,2,12,11
80,4/9/2016,Away,MEM,W,100,99,39,87,10,36,12,13,48,7,20,3,7,11,14,37,96,7,21,18,20,54,17,19,8,4,6,16
81,4/10/2016,Away,SAS,W,92,86,34,77,10,27,14,18,46,7,19,7,6,13,18,34,90,3,17,15,19,53,18,21,10,5,11,18
82,4/13/2016,Home,MEM,W,125,104,46,87,20,47,13,16,51,12,35,7,7,17,14,42,98,8,24,12,16,40,13,25,12,1,13,18
