"","GenderSelect","Country","Age","CurrentJobTitleSelect","MLToolNextYearSelect","LanguageRecommendationSelect","FormalEducation","FirstTrainingSelect","EmployerIndustry","JobSatisfaction","CompensationAmount","CompensationCurrency","Exchange"
"112","Male","United States","60","Software Developer/Software Engineer","TensorFlow","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Financial","7",140000,"USD",NA
"113","Male","United States","47","Other","Spark / MLlib","Python","Bachelor's degree","Self-taught","Technology","9",178000,"USD",NA
"114","Male","Brazil","24","Engineer","Spark / MLlib","Python","Bachelor's degree","Self-taught","Mix of fields","7",24000,"BRL",NA
"115","Male","United States","40","DBA/Database Engineer","Other","Python","Doctoral degree","Work","Technology","6",150000,"USD",NA
"116","Male","Argentina","25","Computer Scientist","Julia","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Technology","10 - Highly Satisfied",24000,"ARS",NA
"117","Male","United States","25","Other","NoSQL","Python","Master's degree","Self-taught","Technology","9",85000,"USD",NA
"118","Male","United States","56","Business Analyst","Amazon Machine Learning","Python","Bachelor's degree","Self-taught","Manufacturing","1 - Highly Dissatisfied",107000,"USD",NA
"119","Male","Hong Kong","36","Predictive Modeler","Python","Python","Doctoral degree","University courses","Financial","5",600000,"HKD",NA
"120","Male","United States","52","Data Scientist","TensorFlow","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Insurance","6",40000,"USD",NA
"121","Male","United States","24","Engineer","R","Matlab","Bachelor's degree","Self-taught","Military/Security","7",67500,"USD",NA
"122","Male","Canada","24","Business Analyst","Python","Python","Bachelor's degree","Self-taught","Mix of fields","6",75000,"CAD",NA
"123","Male","India","47","Statistician","Stan","R","Doctoral degree","Self-taught","Academic","5",1200000,"INR",NA
"124","Male","United Kingdom","24","Data Analyst","Python","Python","Master's degree","Self-taught","Technology","6",42000,"GBP",NA
"125","Male","United States","23","Data Analyst","Python","Python","Bachelor's degree","University courses","Financial","4",58000,"USD",NA
"126","Male","United States","23","Software Developer/Software Engineer","Julia","Python","Bachelor's degree","University courses","Mix of fields","7",100000,"USD",NA
"127","Male","Other","25","Business Analyst","Google Cloud Compute","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Internet-based","8",25000,"USD",NA
"128","Male","United States","29","Data Scientist","Spark / MLlib","Python","Master's degree","University courses","Internet-based","5",105000,"USD",NA
"129","Male","United States","49","Data Miner","Java","Matlab","Master's degree","University courses","Financial","9",200000,"USD",NA
"130","Male","United States","35","Other","TensorFlow","Python","Master's degree","Self-taught","Technology","8",60000,"USD",NA
"131","Male","People 's Republic of China","28","Data Analyst","Python","R","Master's degree","Self-taught","Pharmaceutical","3",180000,"CNY",NA
"132","Female","United States","27","Data Analyst","Julia","R","Doctoral degree","University courses","Technology","10 - Highly Satisfied",75000,"AMD",NA
"133","Male","United States","40","Software Developer/Software Engineer","Spark / MLlib","Scala","Master's degree","Online courses (coursera, udemy, edx, etc.)","Financial","3",125000,"USD",NA
"134","Male","Portugal","27","Programmer","Spark / MLlib","R","Master's degree","University courses","Manufacturing","4",17000,"EUR",NA
"135","Male","Canada","46","Data Scientist","Other","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Telecommunications","8",154000,"CAD",NA
"136","Male","Australia","30","Data Scientist","Python","R","Master's degree","Self-taught","Retail","7",125000,"AUD",NA
"137","Male","United States","36","Software Developer/Software Engineer","Python","Python","Master's degree","Self-taught","Internet-based","4",70000,"USD",NA
"138","Male","United States","32","Data Scientist","Amazon Machine Learning","R","Bachelor's degree","Self-taught","Mix of fields","10 - Highly Satisfied",78000,"USD",NA
"139","Male","People 's Republic of China","28","DBA/Database Engineer","TensorFlow","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Technology","4",300000,"CNY",NA
"140","Male","Brazil","26","Software Developer/Software Engineer","Amazon Machine Learning","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Technology","4",24000,"BRL",NA
"141","Male","Russia","30","Machine Learning Engineer","TensorFlow","Python","Doctoral degree","University courses","Technology","10 - Highly Satisfied",65000,"USD",NA
"142","Male","United States","31","Scientist/Researcher","TensorFlow","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Technology","5",77000,"USD",NA
"143","Male","United States","26","Business Analyst","Tableau","Python","Bachelor's degree","Self-taught","Other","6",35000,"USD",NA
"144","Male","United States","28","Scientist/Researcher","Python","Python","Doctoral degree","University courses","Pharmaceutical","8",121000,"USD",NA
"145","Male","South Korea","53","Researcher","Spark / MLlib","Python","Doctoral degree","Self-taught","Academic","8",80000,"USD",NA
"146","Male","Australia","36","Business Analyst","Python","Python","Bachelor's degree","Work","Other","8",150000,"AUD",NA
"147","Male","United States","23","Business Analyst","DataRobot","R","Bachelor's degree","University courses","Financial","7",85000,"USD",NA
"148","Male","Canada","60","Researcher","I don't plan on learning a new tool/technology","R","Doctoral degree","Self-taught","Academic","10 - Highly Satisfied",200000,"CAD",NA
"149","Female","Australia","23","Data Analyst","R","SQL","Bachelor's degree","Self-taught","Financial","2",78000,"AUD",NA
"150","Male","United States","25","Scientist/Researcher","Jupyter notebooks","Python","Master's degree","Self-taught","Technology","9",80000,"USD",NA
"151","Male","Colombia","29","Data Analyst","Python","R","Master's degree","Work","Financial","8",80000000,"COP",NA
"152","Male","Japan","37","Software Developer/Software Engineer","Other","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Manufacturing","7",8000000,"JPY",NA
"153","Male","United States","26","Data Analyst","Hadoop/Hive/Pig","R","Master's degree","University courses","Hospitality/Entertainment/Sports","9",59000,"USD",NA
"154","Male","United States","28","Data Scientist","IBM Watson / Waton Analytics","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Financial","7",94000,"USD",NA
"155","Male","United States","41","Software Developer/Software Engineer","TensorFlow","Python","Master's degree","Self-taught","Mix of fields","7",80000,"USD",NA
"156","Male","Taiwan","30","Other","TensorFlow","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Government","4",800000,"TWD",NA
"157","Female","United States","42","Data Analyst","Python","Python","Bachelor's degree","University courses","Telecommunications","1 - Highly Dissatisfied",75000,"USD",NA
"158","Male","Colombia","26","Data Scientist","TensorFlow","R","Professional degree","Self-taught","Internet-based","9",3600000,"COP",NA
"159","Male","United States","47","Software Developer/Software Engineer","Mathematica","Scala","Bachelor's degree","Self-taught","Internet-based","3",165000,"USD",NA
"160","Male","United States","28","Business Analyst","Hadoop/Hive/Pig","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Government","7",85000,"USD",NA
"161","Male","United States","36","Data Scientist","Julia","Python","Doctoral degree","Self-taught","Mix of fields","7",226000,"USD",NA
"162","Male","Canada","37","Other","R","SQL","Master's degree","Self-taught","Government","10 - Highly Satisfied",75000,"CAD",NA
"163","Male","Ireland","42","DBA/Database Engineer","Spark / MLlib","SQL","Master's degree","Self-taught","Retail","7",100000,"EUR",NA
"164","Male","United States","41","Other","Other","Python","Master's degree","University courses","Internet-based","9",200000,"USD",NA
"165","Female","United States","43","Data Analyst","IBM Cognos","SQL","Bachelor's degree","Self-taught","Insurance","8",80000,"USD",NA
"166","Male","New Zealand","28","Machine Learning Engineer","Other","Python","Bachelor's degree","Self-taught","Technology","7",80000,"NZD",NA
"167","Male","United States","45","Data Scientist","Other","Python","Master's degree","University courses","Other","7",130000,"AMD",NA
"168","Male","Canada","23","Other","Python","Python","Bachelor's degree","Self-taught","Insurance","10 - Highly Satisfied",70000,"CAD",NA
"169","Male","United States","25","Computer Scientist","Julia","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Technology","9",95000,"USD",NA
"170","Male","United States","35","Data Scientist","TensorFlow","Python","Doctoral degree","Self-taught","Technology","9",117000,"USD",NA
"171","Male","United States","32","Scientist/Researcher","NoSQL","Python","Doctoral degree","Self-taught","Academic","8",47000,"USD",NA
"172","Male","United States","46","Other","TensorFlow","Python","I did not complete any formal education past high school","Online courses (coursera, udemy, edx, etc.)","Technology","7",160000,"USD",NA
"173","Male","United States","37","Other","Spark / MLlib","Python","Doctoral degree","University courses","Financial","1 - Highly Dissatisfied",255000,"USD",NA
"174","Male","Mexico","37","Data Scientist","Julia","Java","Bachelor's degree","Work","Telecommunications","5",92000,"USD",NA
"175","Male","United States","29","Operations Research Practitioner","Julia","Python","Master's degree","Self-taught","Government","5",90000,"USD",NA
"176","Male","Malaysia","27","Other","Other","SQL","Bachelor's degree","Self-taught","Government","7",3200,"MYR",NA
"177","Male","Colombia","30","Machine Learning Engineer","Python","Python","Master's degree","Self-taught","Technology","7",36000000,"COP",NA
"178","Male","Hong Kong","28","Machine Learning Engineer","Spark / MLlib","Python","Bachelor's degree","Work","Technology","3",208000,"HKD",NA
"179","Male","People 's Republic of China","31","Machine Learning Engineer","TensorFlow","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Technology","7",250000,"CNY",NA
"180","Male","United States","31","Business Analyst","R","R","Master's degree","Work","Technology","9",190000,"USD",NA
"181","Male","United States","51","Data Scientist","Google Cloud Compute","Python","Doctoral degree","Self-taught","Financial","1 - Highly Dissatisfied",200000,"USD",NA
"182","Male","Japan","55","Scientist/Researcher","TensorFlow","Python","Professional degree","Online courses (coursera, udemy, edx, etc.)","Academic","10 - Highly Satisfied",10000000,"JPY",NA
"183","Male","Japan","32","Data Scientist","Stan","SQL","Doctoral degree","Other","Mix of fields","4",8500000,"JPY",NA
"184","Male","Malaysia","34","Other","TensorFlow","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Technology","2",77000,"USD",NA
"185","Male","United States","50","Software Developer/Software Engineer","Tableau","C/C++/C#","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Technology","9",220000,"USD",NA
"186","Male","Vietnam","22","Data Analyst","Jupyter notebooks","Python","Bachelor's degree","Self-taught","Technology","5",10000000,"VND",NA
"187","Male","United States","32","Data Scientist","Spark / MLlib","Python","Master's degree","University courses","Other","3",180000,"USD",NA
"188","Male","United States","31","Statistician","Python","R","Master's degree","Online courses (coursera, udemy, edx, etc.)","Government","5",105000,"USD",NA
"189","Male","Taiwan","48","Engineer","Python","Python","I did not complete any formal education past high school","Self-taught","Internet-based","5",500000,"TWD",NA
"190","Male","United States","34","Operations Research Practitioner","Python","R","Master's degree","University courses","Government","8",79000,"USD",NA
"191","Male","Other","53","Business Analyst","TensorFlow","Python","Master's degree","Self-taught","Manufacturing","6",175000,"USD",NA
"193","Male","India","25","Machine Learning Engineer","Unix shell / awk","R","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Technology","3",475000,"INR",NA
"194","Male","Brazil","31","Software Developer/Software Engineer","Google Cloud Compute","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Retail","8",100000,"BRL",NA
"195","Male","United States","64","Data Scientist","Spark / MLlib","Python","Master's degree","University courses","Manufacturing","7",140000,"USD",NA
"196","Male","Russia","28","Computer Scientist","C/C++","C/C++/C#","Doctoral degree","University courses","Manufacturing","6",484000,"RUB",NA
"197","Female","Taiwan","28","Researcher","C/C++","Python","Master's degree","Self-taught","Financial","8",1100000,"TWD",NA
"198","Male","Japan","42","Other","TensorFlow","Python","Bachelor's degree","Self-taught","Technology","8",6500000,"JPY",NA
"199","Male","Brazil","31","Scientist/Researcher","TensorFlow","Python","Master's degree","Self-taught","Academic","6",80000,"BRL",NA
"200","Male","Taiwan","26","Programmer","Julia","Python","Master's degree","Work","Government","4",648000,"TWD",NA
"201","Male","India","24","Software Developer/Software Engineer","TensorFlow","R","Some college/university study without earning a bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Retail","5",2200000,"INR",NA
"202","Male","People 's Republic of China","42","Data Scientist","TensorFlow","Python","Doctoral degree","University courses","Retail","8",600000,"CNY",NA
"203","Male","United States","30","Computer Scientist","Google Cloud Compute","Python","Master's degree","University courses","Academic","6",38000,"USD",NA
"204","Male","Japan","33","Data Analyst","Other","Other","Master's degree","Self-taught","Technology","3",7000000,"JPY",NA
"205","Male","United States","22","Data Scientist","Amazon Web services","Python","Bachelor's degree","University courses","Internet-based","8",85000,"USD",NA
"206","Male","United States","41","Data Scientist","Amazon Machine Learning","Python","Doctoral degree","University courses","Mix of fields","8",150000,"USD",NA
"207","Female","United States","38","DBA/Database Engineer","Python","SAS","Master's degree","Work","Government","5",65000,"USD",NA
"208","Male","Other","43","Data Scientist","Google Cloud Compute","Python","Master's degree","Self-taught","Technology","9",120000,"USD",NA
"209","Male","India","28","Data Scientist","TensorFlow","Python","Bachelor's degree","University courses","Technology","5",1300000,"INR",NA
"210","Male","Philippines","23","Data Analyst","Amazon Web services","Python","Bachelor's degree","University courses","Other","4",55000,"PHP",NA
"211","Male","United States","40","Scientist/Researcher","Other","Other","Doctoral degree","Other","Military/Security","I prefer not to share",100000000000,"AMD",NA
