 
"","PM05197PA"
1883,n.d.
1884,n.d.
1885,n.d.
1886,n.d.
1887,n.d.
1888,n.d.
1889,n.d.
1890,n.d.
1891,n.d.
1892,n.d.
1893,n.d.
1894,n.d.
1895,n.d.
1896,n.d.
1897,n.d.
1898,n.d.
1899,n.d.
1900,n.d.
1901,n.d.
1902,n.d.
1903,n.d.
1904,n.d.
1905,n.d.
1906,n.d.
1907,n.d.
1908,n.d.
1909,n.d.
1910,n.d.
1911,n.d.
1912,n.d.
1913,n.d.
1914,n.d.
1915,n.d.
1916,n.d.
1917,n.d.
1918,n.d.
1919,n.d.
1920,n.d.
1921,n.d.
1922,n.d.
1923,n.d.
1924,n.d.
1925,n.d.
1926,n.d.
1927,n.d.
1928,n.d.
1929,n.d.
1930,n.d.
1931,n.d.
1932,n.d.
1933,n.d.
1934,n.d.
1935,n.d.
1936,n.d.
1937,n.d.
1938,n.d.
1939,n.d.
1940,n.d.
1941,n.d.
1942,n.d.
1943,n.d.
1944,n.d.
1945,n.d.
1946,n.d.
1947,n.d.
1948,n.d.
1949,n.d.
1950,7.59544726439279
1951,7.87401566158017
1952,6.75364959632334
1953,8.61181863222578
1954,4.82538256492143
1955,4.43960667101987
1956,6.14272179600266
1957,6.88562311495346
1958,9.02317581929499
1959,16.7863785497609
1960,2.44021224081305
1961,8.79491741706337
1962,4.83576661296492
1963,8.79025382896272
1964,11.2000001011245
1965,14.8920852853434
1966,7.70194176926147
1967,20.7405934826531
1968,9.79608359659206
1969,5.69794254480979
1970,5.60865921909199
1971,7.66670950748056
1972,4.31450099410399
1973,13.7591859964942
1974,19.1465058550719
1975,24.0086348142796
1976,44.6844159797259
1977,32.4436309749669
1978,73.6769501420575
1979,66.7026072636417
1980,60.8157919794226
1981,72.6749531174348
1982,72.9345475691375
1983,125.065662965
1984,111.463668772965
1985,158.258159938892
1986,62.8984487823062
1987,114.512404213817
1988,1722.32078617021
1989,2774.9812504466
1990,7649.64521687673
1991,139.228484470929
1992,56.7339191119192
1993,39.4797035776687
1994,15.3837272950201
1995,10.2281934902098
1996,11.8399947531452
1997,6.46302749806094
1998,6.00679375151705
1999,3.72640306752099
2000,3.73423530553232
2001,-0.127351804026617
2002,1.51584359925212
2003,2.48375367285243
2004,3.48108068238592
2005,1.49426032513698
2006,1.13748466302503
2007,3.92767933030372
2008,6.65020733404171
2009,0.245316435650395
2010,2.07644423190312
2011,4.73842084248352
2012,2.6493688807159
2013,2.85968115579225
2014,3.2240611887173
2015,4.3979285416694
2016,3.2348819503701
2017,1.36485588371455
2018,2.19252315386819
2019,1.90009157916245
2020,1.97323222946075
2021,6.43038716340723
2022,8.45916200000001
2023,3.23738256432407
		
