major,minor,patch,date,datetime,time,type
1,5,0,2002-04-29,2002-04-29T10:01:26Z,10:01:26.000000,minor
1,5,1,2002-06-17,2002-06-17T11:20:33Z,11:20:33.000000,patch
1,6,0,2002-10-01,2002-10-01T10:06:31Z,10:06:31.000000,minor
1,6,1,2002-11-01,2002-11-01T10:33:17Z,10:33:17.000000,patch
1,6,2,2003-01-10,2003-01-10T15:34:34Z,15:34:34.000000,patch
1,7,0,2003-04-16,2003-04-16T12:58:07Z,12:58:07.000000,minor
1,7,1,2003-06-16,2003-06-16T09:54:39Z,09:54:39.000000,patch
1,8,0,2003-10-08,2003-10-08T11:13:59Z,11:13:59.000000,minor
1,8,1,2003-11-21,2003-11-21T12:00:21Z,12:00:21.000000,patch
1,9,0,2004-04-12,2004-04-12T10:36:38Z,10:36:38.000000,minor
1,9,1,2004-06-21,2004-06-21T11:09:39Z,11:09:39.000000,patch
2,0,0,2004-10-04,2004-10-04T14:24:38Z,14:24:38.899055,major
2,0,1,2004-11-15,2004-11-15T14:16:30Z,14:16:30.003793,patch
2,1,0,2005-04-18,2005-04-18T22:26:33Z,22:26:33.135566,minor
2,1,1,2005-06-20,2005-06-20T09:27:13Z,09:27:13.106513,patch
2,2,0,2005-10-06,2005-10-06T10:22:14Z,10:22:14.085752,minor
2,2,1,2005-12-20,2005-12-20T10:35:21Z,10:35:21.589612,patch
2,3,0,2006-04-24,2006-04-24T10:37:20Z,10:37:20.758200,minor
2,3,1,2006-06-01,2006-06-01T08:25:33Z,08:25:33.882724,patch
2,4,0,2006-10-03,2006-10-03T10:15:04Z,10:15:04.354469,minor
2,4,1,2006-12-18,2006-12-18T09:49:23Z,09:49:23.725060,patch
2,5,0,2007-04-24,2007-04-24T09:41:43Z,09:41:43.361786,minor
2,5,1,2007-06-28,2007-06-28T11:17:06Z,11:17:06.374019,patch
2,6,0,2007-10-03,2007-10-03T09:02:53Z,09:02:53.434461,minor
2,6,1,2007-11-26,2007-11-26T14:14:04Z,14:14:04.408327,patch
2,6,2,2008-02-08,2008-02-08T11:10:05Z,11:10:05.737877,patch
2,7,0,2008-04-22,2008-04-22T07:45:29Z,07:45:29.665494,minor
2,7,1,2008-06-23,2008-06-23T07:44:32Z,07:44:32.518990,patch
2,7,2,2008-08-25,2008-08-25T08:53:56Z,08:53:56.807981,patch
2,8,0,2008-10-20,2008-10-20T09:24:01Z,09:24:01.015723,minor
2,8,1,2008-12-22,2008-12-22T09:03:17Z,09:03:17.828643,patch
2,9,0,2009-04-17,2009-04-17T08:32:48Z,08:32:48.144754,minor
2,9,1,2009-06-26,2009-06-26T12:10:57Z,12:10:57.017685,patch
2,9,2,2009-08-24,2009-08-24T08:22:34Z,08:22:34.737538,patch
2,10,0,2009-10-26,2009-10-26T09:02:22Z,09:02:22.255015,patch
2,10,1,2009-12-14,2009-12-14T10:28:24Z,10:28:24.741988,patch
2,11,0,2010-04-22,2010-04-22T08:11:21Z,08:11:21.939620,minor
2,11,1,2010-05-31,2010-05-31T08:10:25Z,08:10:25.280185,patch
2,12,0,2010-10-15,2010-10-15T08:41:57Z,08:41:57.974589,minor
2,12,1,2010-12-16,2010-12-16T09:12:04Z,09:12:04.607865,patch
2,12,2,2011-02-25,2011-02-25T11:07:19Z,11:07:19.316500,patch
2,13,0,2011-04-13,2011-04-13T08:31:27Z,08:31:27.165034,minor
2,13,1,2011-07-08,2011-07-08T09:37:08Z,09:37:08.653178,patch
2,13,2,2011-09-30,2011-09-30T07:05:56Z,07:05:56.091789,patch
2,14,0,2011-10-31,2011-10-31T08:09:09Z,08:09:09.353781,minor
2,14,1,2011-12-22,2011-12-22T08:10:18Z,08:10:18.809127,patch
2,14,2,2012-02-29,2012-02-29T08:10:10Z,08:10:10.445478,patch
2,15,0,2012-03-30,2012-03-30T07:16:05Z,07:16:05.708046,minor
2,15,1,2012-06-22,2012-06-22T07:09:44Z,07:09:44.415136,patch
2,15,2,2012-10-26,2012-10-26T07:11:16Z,07:11:16.605580,patch
2,15,3,2013-03-01,2013-03-01T08:28:29Z,08:28:29.088755,patch
3,0,0,2013-04-03,2013-04-03T07:12:36Z,07:12:36.801147,major
3,0,1,2013-05-16,2013-05-16T07:11:33Z,07:11:33.885209,patch
3,0,2,2013-09-25,2013-09-25T07:11:09Z,07:11:09.016418,patch
3,0,3,2014-03-06,2014-03-06T08:12:33Z,08:12:33.995105,patch
3,1,0,2014-04-10,2014-04-10T07:11:10Z,07:11:10.831155,minor
3,1,1,2014-07-10,2014-07-10T07:11:09Z,07:11:09.316022,patch
3,1,2,2014-10-31,2014-10-31T08:11:32Z,08:11:32.082768,patch
3,1,3,2015-03-09,2015-03-09T08:12:20Z,08:12:20.229070,patch
3,2,0,2015-04-16,2015-04-16T07:13:33Z,07:13:33.144514,minor
3,2,1,2015-06-18,2015-06-18T07:15:04Z,07:15:04.589869,patch
3,2,2,2015-08-14,2015-08-14T07:13:18Z,07:13:18.272871,patch
3,2,3,2015-12-10,2015-12-10T08:13:08Z,08:13:08.415370,patch
3,2,4,2016-03-10,2016-03-10T08:15:45Z,08:15:45.901354,patch
3,2,5,2016-04-14,2016-04-14T15:59:38Z,15:59:38.833914,patch
3,3,0,2016-05-03,2016-05-03T07:13:28Z,07:13:28.102867,minor
3,3,1,2016-06-21,2016-06-21T07:21:38Z,07:21:38.894907,patch
3,3,2,2016-10-31,2016-10-31T08:13:15Z,08:13:15.868949,patch
3,3,3,2017-03-06,2017-03-06T08:16:31Z,08:16:31.646592,patch
3,4,0,2017-04-21,2017-04-21T07:14:45Z,07:14:45.366247,minor
3,4,1,2017-06-30,2017-06-30T07:04:11Z,07:04:11.824142,patch
