,id,name,market_cap,market_cap_change_24h,content,top_3_coins,volume_24h,updated_at
14,decentralized-exchange,Decentralized Exchange (DEX),7897811452.135867,-3.241925638225668,"Decentralized exchanges, or DEXs, allow users to trade with one another in a permissionless manner and without any intermediaries. As long as someone provides liquidity, anyone can purchase and sell that token on the exchange. Besides its use case in dictating governance decisions, DEX tokens usually seek to capture value for the holders by diverting some of the transaction fees to stakers. ","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/6595/small/Rune200x200.png?1671179394']",457489930.3194426,2023-08-25T23:15:03.348Z
15,gaming,Gaming (GameFi),7495104498.127491,-2.6912445269801033,,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082']",952485112.330545,2023-08-25T23:15:07.193Z
16,zero-knowledge-zk,Zero Knowledge (ZK),7327425987.494484,-1.745800808296008,"Zero-knowledge proof or Zero-knowledge protocol is a method by which one party (the prover) can prove to another party (the verifier) that a given statement is true while the prover avoids conveying any additional information apart from the fact that the statement is indeed true.

This category tracks cryptocurrency that utilises Zero Knowledge implementation to execute transactions, which may include smart contract execution, value transfer, and others.","['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/17233/small/immutableX-symbol-BLK-RGB.png?1665110648', 'https://assets.coingecko.com/coins/images/15628/small/JM4_vQ34_400x400.png?1621394004']",325598798.7264539,2023-08-25T23:10:31.167Z
17,yield-farming,Yield Farming,7237758455.367998,-2.897165336599679,"Yield farming is the act of staking or lending your assets in yield-farming protocols to earn a reward, usually in the form of the protocol’s governance token. For decentralized exchanges, yield farmers usually provide a pair of assets as liquidity for the exchange. They will then receive LP tokens, which represent their share of the liquidity pool and these can then be staked to yield-farm the exchange’s native token. Some protocols also offer single-sided staking, where only one particular asset is required to begin yield farming.","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110', 'https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139']",399245088.4852055,2023-08-25T23:15:14.732Z
18,metaverse,Metaverse,5888705647.742861,-2.4473116587013175,The metaverse refers to a digital world where participants can interact with each other in a shared virtual reality.,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082']",283925284.40754396,2023-08-25T23:10:20.470Z
19,automated-market-maker-amm,Automated Market Maker (AMM),5443967002.852562,-3.437022725522796,"Automated market makers (AMMs) are a mechanism used by most decentralized exchanges to facilitate permissionless trading. AMMs make use of liquidity pools containing 2 or more assets, and prices are derived based on the proportion of each asset in that pool as well as the mathematical function used. Orders through an AMM are executed automatically via a smart contract that will calculate the trade prices algorithmically, including any slippage from the trade execution.","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/12124/small/Curve.png?1597369484', 'https://assets.coingecko.com/coins/images/12632/small/pancakeswap-cake-logo_%281%29.png?1629359065']",223254624.50442338,2023-08-25T23:15:15.791Z
20,depin,DePIN,5066580064.770404,0.4961294085201448,,"['https://assets.coingecko.com/coins/images/12817/small/filecoin.png?1602753933', 'https://assets.coingecko.com/coins/images/2538/small/theta-token-logo.png?1548387191', 'https://assets.coingecko.com/coins/images/11636/small/rndr.png?1638840934']",258257016.5623851,2023-08-25T23:15:00.805Z
21,play-to-earn,Play To Earn,4963081893.297952,-0.9152979140447604,"Play to Earn games are built on the blockchain, giving players full control over their gaming accounts and related assets, which they can sell on exchanges or secondary marketplaces.","['https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082', 'https://assets.coingecko.com/coins/images/17233/small/immutableX-symbol-BLK-RGB.png?1665110648']",768606103.027287,2023-08-25T23:10:24.040Z
22,privacy-coins,Privacy Coins,4790799626.518038,-1.9618050914304113,"Privacy coins are cryptocurrencies which allow users to conduct transactions privately and anonymously. This ensures the identity of the parties involved are kept private, and ensures the transactions are untraceable.This is done by hiding the origin and destination of transactions. In some cases, multiple transactions are mixed together in order to make onchain analysis tougher. ","['https://assets.coingecko.com/coins/images/69/small/monero_logo.png?1547033729', 'https://assets.coingecko.com/coins/images/19/small/dash-logo.png?1548385930', 'https://assets.coingecko.com/coins/images/14051/small/Mask_Network.jpg?1614050316']",187838186.83097225,2023-08-25T23:15:06.901Z
23,wrapped-tokens,Wrapped-Tokens,4317308044.298801,-1.314936603101791,"Wrapped tokens offer a way to circumvent the lack of interoperability between different blockchains. The wrapping of a token happens when the original asset is put into a “wrapper” and deployed on a different blockchain. With it being wrapped, the cryptocurrency can now be used on a blockchain where it previously wasn’t available. One example of a wrapped token would be Wrapped Bitcoin (WBTC). It is an ERC-20 version of Bitcoin, which allows it to be used on protocols based on Ethereum. Watch this video to learn more about Wrapped tokens.","['https://assets.coingecko.com/coins/images/7598/small/wrapped_bitcoin_wbtc.png?1548822744', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594', 'https://assets.coingecko.com/coins/images/11370/small/Bitcoin.jpg?1628072791']",827962641.4888577,2023-08-25T23:10:18.444Z
24,storage,Storage,4053550959.480993,-3.5880482615316756,"Storage protocols allow users to store their data on the blockchain network in a decentralized manner. This negates the need for a centralized storage host such as Amazon, OneDrive, DropBox, and others. This removes the issue of a single point of failure. Decentralized servers make use of independent nodes which in turn use spare storage space on computers. Users are able to rent out their spare storage on  In exchange for storage space, users are able to use a storage protocol’s token to pay for the service.","['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12817/small/filecoin.png?1602753933', 'https://assets.coingecko.com/coins/images/4343/small/oRt6SiEN_400x400.jpg?1591059616']",262007953.83465007,2023-08-25T23:15:08.801Z
25,oracle,Oracle,3908799889.888615,-4.8026895033164125,"Oracles are used by protocols in their smart contracts in order to obtain external data. This allows the closed-off blockchain environment to communicate with data points on the outside world. For example, a protocol offering synthetic Nasdaq-listed stock on the blockchain will need to pull external data from the stock market. With an oracle, the protocol will be able to do so. ","['https://assets.coingecko.com/coins/images/877/small/chainlink-new-logo.png?1547034700', 'https://assets.coingecko.com/coins/images/9545/small/Band_token_blue_violet_token.png?1625881431', 'https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916']",235942980.81450537,2023-08-25T23:15:08.577Z
26,finance-banking,Finance / Banking,3612011840.296958,-1.5433659684834897,,"['https://assets.coingecko.com/coins/images/2912/small/xdc-icon.png?1633700890', 'https://assets.coingecko.com/coins/images/9761/small/kava.png?1663638871', 'https://assets.coingecko.com/coins/images/10643/small/ceth.png?1687143191']",37040386053.99216,2023-08-25T23:15:00.231Z
27,liquid-staking-governance-tokens,Liquid Staking Governance Tokens,2714859679.733269,-4.957311142220744,,"['https://assets.coingecko.com/coins/images/13573/small/Lido_DAO.png?1609873644', 'https://assets.coingecko.com/coins/images/2090/small/rocket_pool_%28RPL%29.png?1637662441', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947']",75615321.07437895,2023-08-25T23:10:28.136Z
28,asset-backed-tokens,Asset-backed Tokens,2622095614.668177,-1.9514140218203995,,"['https://assets.coingecko.com/coins/images/9519/small/paxgold.png?1687143101', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656', 'https://assets.coingecko.com/coins/images/10643/small/ceth.png?1687143191']",37007997422.023994,2023-08-25T23:15:05.583Z
29,lending-borrowing,Lending/Borrowing,2570252395.7310357,-2.5446429041884335,"Lending/borrowing protocols allow users to offer crypto loans by staking their assets in them without the need for a bank account. In return for lending their assets, users are given rewards, usually in the form of the protocol’s native token. These products can be split between centralized and decentralized services. Centralized protocols require customers to undergo a Know-Your-Customer (KYC) process, while decentralized ones merely require users to have a compatible web3 wallet.","['https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826', 'https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110', 'https://assets.coingecko.com/coins/images/10775/small/COMP.png?1592625425']",187338625.60446647,2023-08-25T23:15:14.412Z
30,artificial-intelligence,Artificial Intelligence (AI),2413058299.8117075,-2.284223794562719,"Artificial Intelligence (AI) tokens are cryptocurrencies that power AI-related projects, such as AI-powered portfolio management, image generation, path finding, and more. ","['https://assets.coingecko.com/coins/images/11636/small/rndr.png?1638840934', 'https://assets.coingecko.com/coins/images/12785/small/akash-logo.png?1615447676', 'https://assets.coingecko.com/coins/images/5681/small/Fetch.jpg?1572098136']",151321924.0549337,2023-08-25T23:15:03.612Z
31,internet-of-things-iot,Internet of Things (IOT),2312572442.207251,-1.259208661934074,"The Internet of Things (IoT) ecosystem consists of interconnected computing devices, with the ability to transfer data over a network without the need for any human interaction. Cryptocurrencies in the IoT ecosystem are designed to facilitate the exchange of data and payment information with other IoT devices.","['https://assets.coingecko.com/coins/images/1167/small/VET_Token_Icon.png?1680067517', 'https://assets.coingecko.com/coins/images/692/small/IOTA_Swirl.png?1604238557', 'https://assets.coingecko.com/coins/images/4284/small/Helium_HNT.png?1612620071']",52326723.12742371,2023-08-25T23:15:04.419Z
32,decentralized-derivatives,Derivatives,2202213687.9535317,-1.7534530582154564,"Derivatives are contracts whose values are derived from other underlying assets such as stocks, commodities, currencies, indexes, bonds, or interest rates. Each type of derivative, whether futures, options or swaps serves a different purpose, and each investor buys or sells them for various reasons. Some of the reasons investors trade derivatives are to hedge themself against the volatility of the underlying asset, speculate on the directional movement of the underlying asset, or leverage their holdings. Derivatives are extremely risky, and one must be equipped with strong financial knowledge and strategies when trading them.
","['https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360', 'https://assets.coingecko.com/coins/images/18323/small/arbit.png?1631532468']",145602318.72143966,2023-08-25T23:10:17.285Z
33,seigniorage,Seigniorage,1393677992.4669952,-1.2614905567335797,,"['https://assets.coingecko.com/coins/images/13422/small/FRAX_icon.png?1679886922', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947', 'https://assets.coingecko.com/coins/images/12681/small/UST.png?1653548090']",24779763.755003735,2023-08-25T23:15:17.449Z
34,real-world-assets-rwa,Real World Assets (RWA),1301870223.35764,-4.693543039017699,,"['https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826', 'https://assets.coingecko.com/coins/images/23496/small/Polymesh-symbol.png?1683256883', 'https://assets.coingecko.com/coins/images/15380/small/centrifuge.PNG?1620695821']",87912785.8926397,2023-08-25T23:10:30.343Z
35,sports,Sports,1174022550.4932418,-1.6586546639289452,"These projects have introduced a new way for sports teams to engage with their fans and has made it easier for ordinary sports fans to show their support to their favorite teams and players. 
With Fan Tokens, fans have the power to influence their favourite sports teams in minor decisions and enter an exclusive club of like-minded supporters and VIP benefits. Sports NFTs have also allowed fans to access a smoother and more permanent form of collectible.
","['https://assets.coingecko.com/coins/images/13446/small/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776', 'https://assets.coingecko.com/coins/images/8834/small/CHZ_Token_updated.png?1675848257', 'https://assets.coingecko.com/coins/images/25057/small/fhD9Xs16_400x400.jpg?1649947000']",109838022.02712928,2023-08-25T23:15:06.132Z
36,socialfi,SocialFi,1167708802.1303945,-0.2761408927919659,,"['https://assets.coingecko.com/coins/images/2538/small/theta-token-logo.png?1548387191', 'https://assets.coingecko.com/coins/images/10840/small/logo_transparent_4x.png?1584623184', 'https://assets.coingecko.com/coins/images/16310/small/deso-logo-refresh-white.png?1666430590']",78398660.50058109,2023-08-25T23:15:07.653Z
37,decentralized-perpetuals,Perpetuals,1114480321.895047,-0.7549700607828829,,"['https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360', 'https://assets.coingecko.com/coins/images/18323/small/arbit.png?1631532468', 'https://assets.coingecko.com/coins/images/13703/small/gfarm_v2.png?1611035398']",87411125.90801927,2023-08-25T23:10:20.884Z
38,tokenized-gold,Tokenized Gold,1058324709.128938,-0.1788242258020442,,"['https://assets.coingecko.com/coins/images/9519/small/paxgold.png?1687143101', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656', 'https://assets.coingecko.com/coins/images/29788/small/kau-currency-ticker.png?1681290839']",11376831.976640675,2023-08-25T23:10:22.394Z
39,masternodes,Masternodes,1034543187.1380703,-2.118690816754699,"Masternodes are needed to verify new blocks in certain cryptocurrencies. However, unlike other nodes, they do not add new blocks to the network. In order to maintain a masternode, one would need to hold a certain amount of the protocol’s cryptocurrency, and it’s usually a significant amount. In return for operating a masternode, the operator is rewarded with the native currency.","['https://assets.coingecko.com/coins/images/19/small/dash-logo.png?1548385930', 'https://assets.coingecko.com/coins/images/5111/small/Beldex.png?1559189036', 'https://assets.coingecko.com/coins/images/3447/small/ONT.png?1583481820']",50916438.624606356,2023-08-25T23:15:05.351Z
40,analytics,Analytics,958383871.6049206,-2.778383397735343,"These projects provide advanced insights and charting tools to track historical token prices, real-time trades and volume. Other more advanced features include impermanent loss calculation and data querying. Some of these projects may require you to hold a certain number of tokens to access the full version of their product suite.","['https://assets.coingecko.com/coins/images/13397/small/Graph_Token.png?1608145566', 'https://assets.coingecko.com/coins/images/14168/small/covalent-cqt.png?1624545218', 'https://assets.coingecko.com/coins/images/11603/small/dext.png?1605790188']",42492069.61506714,2023-08-25T23:15:05.856Z
41,bridge-governance-tokens,Bridge Governance Tokens,885128801.6227869,-5.533299859182811,,"['https://assets.coingecko.com/coins/images/6595/small/Rune200x200.png?1671179394', 'https://assets.coingecko.com/coins/images/27277/small/V-65_xQ1_400x400.jpeg?1663121730', 'https://assets.coingecko.com/coins/images/24413/small/STG_LOGO.png?1647654518']",146372921.52934754,2023-08-25T23:15:02.354Z
42,synthetic-assets,Synthetic Issuer,884125770.992534,-2.9661179342249913,,"['https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916', 'https://assets.coingecko.com/coins/images/8713/small/STP.png?1560262664']",34869931.16608748,2023-08-25T23:10:17.956Z
43,olympus-pro,Olympus Pro,861978587.2699153,-3.9551449979924,"Olympus Pro aims to help protocols acquire their own liquidity, and to also lock the liquidity within the protocol. Instead of staking liquidity provider (LP) tokens in exchange for governance tokens, users will now be able to use their LP tokens to purchase the governance tokens at a discount. The protocol will not sell these LP tokens, and this means the liquidity is locked. This is known as a process called bonding.","['https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947', 'https://assets.coingecko.com/coins/images/18024/small/synapse_social_icon.png?1663921797', 'https://assets.coingecko.com/coins/images/15069/small/Pendle_Logo_Normal-03.png?1634196276']",49153626.60511263,2023-08-25T23:10:24.353Z
44,wallets,Wallets,760009536.3876867,-1.6080863340236708,,"['https://assets.coingecko.com/coins/images/11085/small/Trust.png?1588062702', 'https://assets.coingecko.com/coins/images/13905/small/sfp.png?1660381192', 'https://assets.coingecko.com/coins/images/17117/small/logo.png?1626412904']",33612572.6421846,2023-08-25T23:10:23.419Z
45,gambling,Gambling,730541030.015263,12.926993819008024,,"['https://assets.coingecko.com/coins/images/24552/small/unziL6wO_400x400.jpg?1648134494', 'https://assets.coingecko.com/coins/images/13779/small/sx.png?1636034699', 'https://assets.coingecko.com/coins/images/761/small/FUN.png?1678773913']",23925674.670607895,2023-08-25T23:15:04.148Z
46,yield-aggregator,Yield Aggregator,712654065.2949612,-1.278783812955607,"Yield aggregators are protocols that collate multiple yield farms in a single place in order to ease the process of farming. With many new farms popping up on the market, it can be tedious for one to hop from farm to farm. However, with yield aggregators, that isn’t necessary as it’s done automatically in order to maximize the yield generated for users.","['https://assets.coingecko.com/coins/images/15585/small/convex.png?1621256328', 'https://assets.coingecko.com/coins/images/11849/small/yearn.jpg?1687142705', 'https://assets.coingecko.com/coins/images/12738/small/Stella200x200-06.png?1684988292']",62716401.23948865,2023-08-25T23:15:16.807Z
47,insurance,Insurance,499415783.4961442,-0.37180322634073004,,"['https://assets.coingecko.com/coins/images/11810/small/NXMmain.png?1674799570', 'https://assets.coingecko.com/coins/images/10354/small/logo-grey-circle.png?1614910406', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594']",4868010.315402206,2023-08-25T23:15:16.471Z
48,yearn-yfi-partnerships-mergers,Yearn Ecosystem,372756953.21539354,-0.15668028994173197,"The Yearn Ecosystem is a suite of Decentralized Finance (DeFi) products under the yearn umbrella. These projects range from lending and borrowing protocols such as CREAM, to automated market makers (AMM) like Sushi. 

Any changes that are to be implemented in the Yearn Ecosystem are decided by the DAO, consisting of holders of the Yearn Finance (YFI) token. 
","['https://assets.coingecko.com/coins/images/11849/small/yearn.jpg?1687142705', 'https://assets.coingecko.com/coins/images/12271/small/512x512_Logo_no_chop.png?1606986688', 'https://assets.coingecko.com/coins/images/12966/small/kp3r_logo.jpg?1607057458']",64000479.538663946,2023-08-25T23:15:17.172Z
49,mev-protection,MEV Protection,369529630.1870317,-0.6316257163470759,,"['https://assets.coingecko.com/coins/images/662/small/logo_square_simple_300px.png?1609402668', 'https://assets.coingecko.com/coins/images/6769/small/Screenshot_33.png?1581942253', 'https://assets.coingecko.com/coins/images/15985/small/ATA.jpg?1622535745']",2797387.4951225156,2023-08-25T23:10:23.692Z
50,decentralized-options,Options,362627343.0862984,-3.5334504719563267,,"['https://assets.coingecko.com/coins/images/15823/small/RBN_64x64.png?1633529723', 'https://assets.coingecko.com/coins/images/7805/small/X_3D_Black_%2810%29.png?1690137100', 'https://assets.coingecko.com/coins/images/21490/small/Add-a-heading-26.png?1639364177']",2277806.2568942043,2023-08-25T23:10:17.613Z
51,prediction-markets,Prediction Markets,349047661.9936676,-0.16718769525061872,,"['https://assets.coingecko.com/coins/images/662/small/logo_square_simple_300px.png?1609402668', 'https://assets.coingecko.com/coins/images/13779/small/sx.png?1636034699', 'https://assets.coingecko.com/coins/images/3833/small/kleros.png?1547975322']",4598106.642594373,2023-08-25T23:10:19.317Z
52,rebase-tokens,Rebase Tokens,339833957.35617405,-1.7358519071826384,"Rebase tokens are cryptocurrencies that are usually pegged to a certain value, and they control their prices by algorithmically adjusting their token’s circulating supply.  ","['https://assets.coingecko.com/coins/images/14483/small/token_OHM_%281%29.png?1628311611', 'https://assets.coingecko.com/coins/images/20040/small/LPK15ZOW_400x400.jpg?1636425070', 'https://assets.coingecko.com/coins/images/19947/small/sb.png?1636337110']",412143.7053590379,2023-08-25T23:15:15.138Z
53,nft-marketplace,NFT Marketplace,330304428.19044054,-3.9488686136965065,,"['https://assets.coingecko.com/coins/images/28453/small/blur.png?1670745921', 'https://assets.coingecko.com/coins/images/29468/small/sid_token_logo_%28green2%29.png?1679454702', 'https://assets.coingecko.com/coins/images/14040/small/SuperVerse_Logo_200x200.png?1669963064']",30185773.757430725,2023-08-25T23:10:30.805Z
54,metagovernance,Metagovernance,297099521.405131,-2.3105071248766498,Metagovernance refers to projects or protocols that primarily hold DAO tokens and actively participates in the governance process of those DAOs.,"['https://assets.coingecko.com/coins/images/15585/small/convex.png?1621256328', 'https://assets.coingecko.com/coins/images/25942/small/logo.png?1654784187', 'https://assets.coingecko.com/coins/images/26745/small/redacted_v2.jpg?1660011507']",5079899.209203156,2023-08-25T23:10:26.513Z
55,move-to-earn,Move To Earn,286590958.9983296,-0.677839436241442,,"['https://assets.coingecko.com/coins/images/23597/small/gmt.png?1644658792', 'https://assets.coingecko.com/coins/images/25057/small/fhD9Xs16_400x400.jpg?1649947000', 'https://assets.coingecko.com/coins/images/21841/small/gst.png?1640332626']",34735139.142348975,2023-08-25T23:10:25.844Z
