DateCategoryTitle,Date,Category,Title,URL
"Jun 3, 2026PolicyWhat we learned mapping a year’s worth of AI-enabled cyber threats","Jun 3, 2026",Policy,What we learned mapping a year’s worth of AI-enabled cyber threats,https://www.anthropic.com/news/AI-enabled-cyber-threats-mitre-attack
"May 27, 2026Economic ResearchCoding agents in the social sciences","May 27, 2026",Economic Research,Coding agents in the social sciences,https://www.anthropic.com/research/coding-agents-social-sciences
"May 22, 2026AnnouncementsProject Glasswing: An initial update","May 22, 2026",Announcements,Project Glasswing: An initial update,https://www.anthropic.com/research/glasswing-initial-update
"May 22, 2026Frontier Red TeamMeasuring LLMs’ ability to develop exploits","May 22, 2026",Frontier Red Team,Measuring LLMs’ ability to develop exploits,https://www.anthropic.com/research/exploit-evals
"May 14, 2026Policy2028: Two scenarios for global AI leadership","May 14, 2026",Policy,2028: Two scenarios for global AI leadership,https://www.anthropic.com/research/2028-ai-leadership
"May 8, 2026AlignmentTeaching Claude why","May 8, 2026",Alignment,Teaching Claude why,https://www.anthropic.com/research/teaching-claude-why
"May 7, 2026InterpretabilityNatural Language Autoencoders: Turning Claude’s thoughts into text","May 7, 2026",Interpretability,Natural Language Autoencoders: Turning Claude’s thoughts into text,https://www.anthropic.com/research/natural-language-autoencoders
"May 7, 2026AlignmentDonating our open-source alignment tool","May 7, 2026",Alignment,Donating our open-source alignment tool,https://www.anthropic.com/research/donating-open-source-petri
"May 7, 2026PolicyFocus areas for The Anthropic Institute","May 7, 2026",Policy,Focus areas for The Anthropic Institute,https://www.anthropic.com/research/anthropic-institute-agenda
"Apr 30, 2026Societal ImpactsHow people ask Claude for personal guidance","Apr 30, 2026",Societal Impacts,How people ask Claude for personal guidance,https://www.anthropic.com/research/claude-personal-guidance
"Apr 29, 2026ScienceEvaluating Claude’s bioinformatics research capabilities with BioMysteryBench","Apr 29, 2026",Science,Evaluating Claude’s bioinformatics research capabilities with BioMysteryBench,https://www.anthropic.com/research/Evaluating-Claude-For-Bioinformatics-With-BioMysteryBench
"Apr 22, 2026Economic ResearchAnnouncing the Anthropic Economic Index Survey","Apr 22, 2026",Economic Research,Announcing the Anthropic Economic Index Survey,https://www.anthropic.com/research/economic-index-survey-announcement
"Apr 22, 2026Economic ResearchWhat 81,000 people told us about the economics of AI","Apr 22, 2026",Economic Research,"What 81,000 people told us about the economics of AI",https://www.anthropic.com/research/81k-economics
"Apr 14, 2026AlignmentAutomated Alignment Researchers: Using large language models to scale scalable oversight","Apr 14, 2026",Alignment,Automated Alignment Researchers: Using large language models to scale scalable oversight,https://www.anthropic.com/research/automated-alignment-researchers
"Apr 9, 2026PolicyTrustworthy agents in practice","Apr 9, 2026",Policy,Trustworthy agents in practice,https://www.anthropic.com/research/trustworthy-agents
"Apr 7, 2026Frontier Red TeamAssessing Claude Mythos Preview’s cybersecurity capabilities","Apr 7, 2026",Frontier Red Team,Assessing Claude Mythos Preview’s cybersecurity capabilities,https://www.anthropic.com/research/mythos-preview
"Apr 2, 2026InterpretabilityEmotion concepts and their function in a large language model","Apr 2, 2026",Interpretability,Emotion concepts and their function in a large language model,https://www.anthropic.com/research/emotion-concepts-function
"Mar 31, 2026Economic ResearchHow Australia Uses Claude: Findings from the Anthropic Economic Index","Mar 31, 2026",Economic Research,How Australia Uses Claude: Findings from the Anthropic Economic Index,https://www.anthropic.com/research/how-australia-uses-claude
"Mar 24, 2026Economic ResearchAnthropic Economic Index report: Learning curves","Mar 24, 2026",Economic Research,Anthropic Economic Index report: Learning curves,https://www.anthropic.com/research/economic-index-march-2026-report
"Mar 23, 2026ScienceIntroducing our Science Blog","Mar 23, 2026",Science,Introducing our Science Blog,https://www.anthropic.com/research/introducing-anthropic-science
"Mar 23, 2026ScienceLong-running Claude for scientific computing","Mar 23, 2026",Science,Long-running Claude for scientific computing,https://www.anthropic.com/research/long-running-Claude
"Mar 23, 2026ScienceVibe physics: The AI grad student","Mar 23, 2026",Science,Vibe physics: The AI grad student,https://www.anthropic.com/research/vibe-physics
"Mar 13, 2026InterpretabilityA “diff” tool for AI: Finding behavioral differences in new models","Mar 13, 2026",Interpretability,A “diff” tool for AI: Finding behavioral differences in new models,https://www.anthropic.com/research/diff-tool
"Mar 6, 2026PolicyPartnering with Mozilla to improve Firefox’s security","Mar 6, 2026",Policy,Partnering with Mozilla to improve Firefox’s security,https://www.anthropic.com/news/mozilla-firefox-security
"Mar 6, 2026Frontier Red TeamReverse engineering Claude's CVE-2026-2796 exploit","Mar 6, 2026",Frontier Red Team,Reverse engineering Claude's CVE-2026-2796 exploit,https://www.anthropic.com/research/exploit
"Mar 5, 2026Economic ResearchLabor market impacts of AI: A new measure and early evidence","Mar 5, 2026",Economic Research,Labor market impacts of AI: A new measure and early evidence,https://www.anthropic.com/research/labor-market-impacts
"Feb 25, 2026AlignmentAn update on our model deprecation commitments for Claude Opus 3","Feb 25, 2026",Alignment,An update on our model deprecation commitments for Claude Opus 3,https://www.anthropic.com/research/deprecation-updates-opus-3
"Feb 23, 2026AlignmentThe persona selection model","Feb 23, 2026",Alignment,The persona selection model,https://www.anthropic.com/research/persona-selection-model
"Feb 23, 2026AnnouncementsAnthropic Education Report: The AI Fluency Index","Feb 23, 2026",Announcements,Anthropic Education Report: The AI Fluency Index,https://www.anthropic.com/research/AI-fluency-index
"Feb 18, 2026Societal ImpactsMeasuring AI agent autonomy in practice","Feb 18, 2026",Societal Impacts,Measuring AI agent autonomy in practice,https://www.anthropic.com/research/measuring-agent-autonomy
"Feb 16, 2026Economic ResearchIndia Country Brief: The Anthropic Economic Index","Feb 16, 2026",Economic Research,India Country Brief: The Anthropic Economic Index,https://www.anthropic.com/research/india-brief-economic-index
"Feb 5, 2026Frontier Red TeamEvaluating and mitigating the growing risk of LLM-discovered 0-days","Feb 5, 2026",Frontier Red Team,Evaluating and mitigating the growing risk of LLM-discovered 0-days,https://www.anthropic.com/research/zero-days
"Jan 29, 2026AlignmentHow AI assistance impacts the formation of coding skills","Jan 29, 2026",Alignment,How AI assistance impacts the formation of coding skills,https://www.anthropic.com/research/AI-assistance-coding-skills
"Jan 28, 2026AlignmentDisempowerment patterns in real-world AI usage","Jan 28, 2026",Alignment,Disempowerment patterns in real-world AI usage,https://www.anthropic.com/research/disempowerment-patterns
"Jan 22, 2026AnnouncementsClaude's new constitution","Jan 22, 2026",Announcements,Claude's new constitution,https://www.anthropic.com/news/claude-new-constitution
"Jan 19, 2026InterpretabilityThe assistant axis: situating and stabilizing the character of large language models","Jan 19, 2026",Interpretability,The assistant axis: situating and stabilizing the character of large language models,https://www.anthropic.com/research/assistant-axis
"Jan 16, 2026Frontier Red TeamAI models are showing a greater ability to find and exploit vulnerabilities on realistic cyber ranges","Jan 16, 2026",Frontier Red Team,AI models are showing a greater ability to find and exploit vulnerabilities on realistic cyber ranges,https://www.anthropic.com/research/cyber-toolkits-update
"Jan 15, 2026Economic ResearchAnthropic Economic Index: New building blocks for understanding AI use","Jan 15, 2026",Economic Research,Anthropic Economic Index: New building blocks for understanding AI use,https://www.anthropic.com/research/economic-index-primitives
"Jan 15, 2026Economic ResearchAnthropic Economic Index report: Economic primitives","Jan 15, 2026",Economic Research,Anthropic Economic Index report: Economic primitives,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report
"Jan 14, 2026Frontier Red TeamFinding bugs across the Python ecosystem with Claude and property-based testing","Jan 14, 2026",Frontier Red Team,Finding bugs across the Python ecosystem with Claude and property-based testing,https://www.anthropic.com/research/property-based-testing
"Jan 9, 2026AlignmentNext-generation Constitutional Classifiers: More efficient protection against universal jailbreaks","Jan 9, 2026",Alignment,Next-generation Constitutional Classifiers: More efficient protection against universal jailbreaks,https://www.anthropic.com/research/next-generation-constitutional-classifiers
"Jan 8, 2026Frontier Red TeamExperimenting with AI to defend critical infrastructure","Jan 8, 2026",Frontier Red Team,Experimenting with AI to defend critical infrastructure,https://www.anthropic.com/research/critical-infrastructure-defense
"Dec 19, 2025AlignmentIntroducing Bloom: an open source tool for automated behavioral evaluations","Dec 19, 2025",Alignment,Introducing Bloom: an open source tool for automated behavioral evaluations,https://www.anthropic.com/research/bloom
"Dec 18, 2025PolicyProject Vend: Phase two","Dec 18, 2025",Policy,Project Vend: Phase two,https://www.anthropic.com/research/project-vend-2
"Dec 4, 2025Societal ImpactsIntroducing Anthropic Interviewer: What 1,250 professionals told us about working with AI","Dec 4, 2025",Societal Impacts,"Introducing Anthropic Interviewer: What 1,250 professionals told us about working with AI",https://www.anthropic.com/research/anthropic-interviewer
"Dec 2, 2025Societal ImpactsHow AI is transforming work at Anthropic","Dec 2, 2025",Societal Impacts,How AI is transforming work at Anthropic,https://www.anthropic.com/research/how-ai-is-transforming-work-at-anthropic
"Dec 1, 2025Frontier Red TeamAI agents find $4.6M in blockchain smart contract exploits","Dec 1, 2025",Frontier Red Team,AI agents find $4.6M in blockchain smart contract exploits,https://www.anthropic.com/research/smart-contracts
"Nov 25, 2025Economic ResearchEstimating AI productivity gains from Claude conversations","Nov 25, 2025",Economic Research,Estimating AI productivity gains from Claude conversations,https://www.anthropic.com/research/estimating-productivity-gains
"Nov 24, 2025ProductMitigating the risk of prompt injections in browser use","Nov 24, 2025",Product,Mitigating the risk of prompt injections in browser use,https://www.anthropic.com/research/prompt-injection-defenses
"Nov 21, 2025AlignmentFrom shortcuts to sabotage: natural emergent misalignment from reward hacking","Nov 21, 2025",Alignment,From shortcuts to sabotage: natural emergent misalignment from reward hacking,https://www.anthropic.com/research/emergent-misalignment-reward-hacking
"Nov 12, 2025PolicyProject Fetch: Can Claude train a robot dog?","Nov 12, 2025",Policy,Project Fetch: Can Claude train a robot dog?,https://www.anthropic.com/research/project-fetch-robot-dog
"Nov 4, 2025AlignmentCommitments on model deprecation and preservation","Nov 4, 2025",Alignment,Commitments on model deprecation and preservation,https://www.anthropic.com/research/deprecation-commitments
"Oct 29, 2025InterpretabilitySigns of introspection in large language models","Oct 29, 2025",Interpretability,Signs of introspection in large language models,https://www.anthropic.com/research/introspection
"Oct 14, 2025PolicyPreparing for AI’s economic impact: exploring policy responses","Oct 14, 2025",Policy,Preparing for AI’s economic impact: exploring policy responses,https://www.anthropic.com/research/economic-policy-responses
"Oct 9, 2025AlignmentA small number of samples can poison LLMs of any size","Oct 9, 2025",Alignment,A small number of samples can poison LLMs of any size,https://www.anthropic.com/research/small-samples-poison
"Oct 6, 2025AlignmentPetri: An open-source auditing tool to accelerate AI safety research","Oct 6, 2025",Alignment,Petri: An open-source auditing tool to accelerate AI safety research,https://www.anthropic.com/research/petri-open-source-auditing
"Oct 3, 2025PolicyBuilding AI for cyber defenders","Oct 3, 2025",Policy,Building AI for cyber defenders,https://www.anthropic.com/research/building-ai-cyber-defenders
"Sep 15, 2025Economic ResearchAnthropic Economic Index report: Uneven geographic and enterprise AI adoption","Sep 15, 2025",Economic Research,Anthropic Economic Index report: Uneven geographic and enterprise AI adoption,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report
"Sep 15, 2025Economic ResearchAnthropic Economic Index: Tracking AI’s role in the US and global economy","Sep 15, 2025",Economic Research,Anthropic Economic Index: Tracking AI’s role in the US and global economy,https://www.anthropic.com/research/economic-index-geography
"Sep 5, 2025Frontier Red TeamWhy do we take LLMs seriously as a potential source of biorisk?","Sep 5, 2025",Frontier Red Team,Why do we take LLMs seriously as a potential source of biorisk?,https://www.anthropic.com/research/biorisk
"Aug 27, 2025Societal ImpactsAnthropic Education Report: How educators use Claude","Aug 27, 2025",Societal Impacts,Anthropic Education Report: How educators use Claude,https://www.anthropic.com/news/anthropic-education-report-how-educators-use-claude
"Aug 21, 2025Frontier Red TeamDeveloping nuclear safeguards for AI","Aug 21, 2025",Frontier Red Team,Developing nuclear safeguards for AI,https://www.anthropic.com/research/nuclear-safeguards-for-ai
"Aug 21, 2025AnnouncementsDeveloping nuclear safeguards for AI through public-private partnership","Aug 21, 2025",Announcements,Developing nuclear safeguards for AI through public-private partnership,https://www.anthropic.com/news/developing-nuclear-safeguards-for-ai-through-public-private-partnership
"Aug 15, 2025AlignmentClaude Opus 4 and 4.1 can now end a rare subset of conversations","Aug 15, 2025",Alignment,Claude Opus 4 and 4.1 can now end a rare subset of conversations,https://www.anthropic.com/research/end-subset-conversations
"Aug 9, 2025Frontier Red TeamClaude is competitive with humans in (some) cyber competitions","Aug 9, 2025",Frontier Red Team,Claude is competitive with humans in (some) cyber competitions,https://www.anthropic.com/research/cyber-competitions
"Aug 1, 2025InterpretabilityPersona vectors: Monitoring and controlling character traits in language models","Aug 1, 2025",Interpretability,Persona vectors: Monitoring and controlling character traits in language models,https://www.anthropic.com/research/persona-vectors
"Jul 15, 2025Frontier Red TeamDetailed cyber evaluations of Claude 4","Jul 15, 2025",Frontier Red Team,Detailed cyber evaluations of Claude 4,https://www.anthropic.com/research/claude-4-cyber
"Jun 27, 2025Societal ImpactsHow people use Claude for support, advice, and companionship","Jun 27, 2025",Societal Impacts,"How people use Claude for support, advice, and companionship",https://www.anthropic.com/news/how-people-use-claude-for-support-advice-and-companionship
"Jun 27, 2025Frontier Red TeamProject Vend: Can Claude run a small shop? (And why does that matter?)","Jun 27, 2025",Frontier Red Team,Project Vend: Can Claude run a small shop? (And why does that matter?),https://www.anthropic.com/research/project-vend-1
"Jun 20, 2025AlignmentAgentic misalignment: How LLMs could be insider threats","Jun 20, 2025",Alignment,Agentic misalignment: How LLMs could be insider threats,https://www.anthropic.com/research/agentic-misalignment
"Jun 18, 2025AnnouncementsConfidential Inference via Trusted Virtual Machines","Jun 18, 2025",Announcements,Confidential Inference via Trusted Virtual Machines,https://www.anthropic.com/research/confidential-inference-trusted-vms
"Jun 16, 2025AlignmentSHADE-Arena: Evaluating sabotage and monitoring in LLM agents","Jun 16, 2025",Alignment,SHADE-Arena: Evaluating sabotage and monitoring in LLM agents,https://www.anthropic.com/research/shade-arena-sabotage-monitoring
"Jun 13, 2025Frontier Red TeamLLMs with cyber toolkits can conduct multistage cyber operations on business-sized computer networks","Jun 13, 2025",Frontier Red Team,LLMs with cyber toolkits can conduct multistage cyber operations on business-sized computer networks,https://www.anthropic.com/research/cyber-toolkits
"May 29, 2025InterpretabilityOpen-sourcing circuit tracing tools","May 29, 2025",Interpretability,Open-sourcing circuit tracing tools,https://www.anthropic.com/research/open-source-circuit-tracing
"Apr 28, 2025Societal ImpactsAnthropic Economic Index: AI’s impact on software development","Apr 28, 2025",Societal Impacts,Anthropic Economic Index: AI’s impact on software development,https://www.anthropic.com/research/impact-software-development
"Apr 24, 2025AlignmentExploring model welfare","Apr 24, 2025",Alignment,Exploring model welfare,https://www.anthropic.com/research/exploring-model-welfare
"Apr 21, 2025Societal ImpactsValues in the wild: Discovering and analyzing values in real-world language model interactions","Apr 21, 2025",Societal Impacts,Values in the wild: Discovering and analyzing values in real-world language model interactions,https://www.anthropic.com/research/values-wild
"Apr 8, 2025AnnouncementsAnthropic Education Report: How university students use Claude","Apr 8, 2025",Announcements,Anthropic Education Report: How university students use Claude,https://www.anthropic.com/news/anthropic-education-report-how-university-students-use-claude
"Apr 3, 2025AlignmentReasoning models don't always say what they think","Apr 3, 2025",Alignment,Reasoning models don't always say what they think,https://www.anthropic.com/research/reasoning-models-dont-say-think
"Mar 27, 2025Societal ImpactsAnthropic Economic Index: Insights from Claude 3.7 Sonnet","Mar 27, 2025",Societal Impacts,Anthropic Economic Index: Insights from Claude 3.7 Sonnet,https://www.anthropic.com/news/anthropic-economic-index-insights-from-claude-sonnet-3-7
"Mar 27, 2025InterpretabilityTracing the thoughts of a large language model","Mar 27, 2025",Interpretability,Tracing the thoughts of a large language model,https://www.anthropic.com/research/tracing-thoughts-language-model
"Mar 13, 2025AlignmentAuditing language models for hidden objectives","Mar 13, 2025",Alignment,Auditing language models for hidden objectives,https://www.anthropic.com/research/auditing-hidden-objectives
"Feb 25, 2025AlignmentForecasting rare language model behaviors","Feb 25, 2025",Alignment,Forecasting rare language model behaviors,https://www.anthropic.com/research/forecasting-rare-behaviors
"Feb 20, 2025InterpretabilityInsights on Crosscoder Model Diffing","Feb 20, 2025",Interpretability,Insights on Crosscoder Model Diffing,https://www.anthropic.com/research/crosscoder-model-diffing
"Feb 10, 2025Societal ImpactsThe Anthropic Economic Index","Feb 10, 2025",Societal Impacts,The Anthropic Economic Index,https://www.anthropic.com/news/the-anthropic-economic-index
"Feb 3, 2025AlignmentConstitutional Classifiers: Defending against universal jailbreaks","Feb 3, 2025",Alignment,Constitutional Classifiers: Defending against universal jailbreaks,https://www.anthropic.com/research/constitutional-classifiers
"Dec 19, 2024ProductBuilding effective agents","Dec 19, 2024",Product,Building effective agents,https://www.anthropic.com/research/building-effective-agents
"Dec 18, 2024AlignmentAlignment faking in large language models","Dec 18, 2024",Alignment,Alignment faking in large language models,https://www.anthropic.com/research/alignment-faking
"Dec 12, 2024Societal ImpactsClio: A system for privacy-preserving insights into real-world AI use","Dec 12, 2024",Societal Impacts,Clio: A system for privacy-preserving insights into real-world AI use,https://www.anthropic.com/research/clio
"Nov 19, 2024EvaluationsA statistical approach to model evaluations","Nov 19, 2024",Evaluations,A statistical approach to model evaluations,https://www.anthropic.com/research/statistical-approach-to-model-evals
"Oct 30, 2024ProductRaising the bar on SWE-bench Verified with Claude 3.5 Sonnet","Oct 30, 2024",Product,Raising the bar on SWE-bench Verified with Claude 3.5 Sonnet,https://www.anthropic.com/research/swe-bench-sonnet
"Oct 25, 2024Societal ImpactsEvaluating feature steering: A case study in mitigating social biases","Oct 25, 2024",Societal Impacts,Evaluating feature steering: A case study in mitigating social biases,https://www.anthropic.com/research/evaluating-feature-steering
"Oct 22, 2024AnnouncementsDeveloping a computer use model","Oct 22, 2024",Announcements,Developing a computer use model,https://www.anthropic.com/news/developing-computer-use
"Oct 18, 2024AlignmentSabotage evaluations for frontier models","Oct 18, 2024",Alignment,Sabotage evaluations for frontier models,https://www.anthropic.com/research/sabotage-evaluations
"Oct 16, 2024InterpretabilityUsing dictionary learning features as classifiers","Oct 16, 2024",Interpretability,Using dictionary learning features as classifiers,https://www.anthropic.com/research/features-as-classifiers
"Oct 1, 2024InterpretabilityCircuits Updates – September 2024","Oct 1, 2024",Interpretability,Circuits Updates – September 2024,https://www.anthropic.com/research/circuits-updates-sept-2024
"Sep 6, 2024InterpretabilityCircuits Updates – August 2024","Sep 6, 2024",Interpretability,Circuits Updates – August 2024,https://www.anthropic.com/research/circuits-updates-august-2024
"Jul 31, 2024InterpretabilityCircuits Updates – July 2024","Jul 31, 2024",Interpretability,Circuits Updates – July 2024,https://www.anthropic.com/research/circuits-updates-july-2024
"Jun 28, 2024InterpretabilityCircuits Updates – June 2024","Jun 28, 2024",Interpretability,Circuits Updates – June 2024,https://www.anthropic.com/research/circuits-updates-june-2024
"Jun 17, 2024AlignmentSycophancy to subterfuge: Investigating reward tampering in language models","Jun 17, 2024",Alignment,Sycophancy to subterfuge: Investigating reward tampering in language models,https://www.anthropic.com/research/reward-tampering
"Jun 13, 2024InterpretabilityThe engineering challenges of scaling interpretability","Jun 13, 2024",Interpretability,The engineering challenges of scaling interpretability,https://www.anthropic.com/research/engineering-challenges-interpretability
"Jun 8, 2024AlignmentClaude’s Character","Jun 8, 2024",Alignment,Claude’s Character,https://www.anthropic.com/research/claude-character
"Jun 6, 2024PolicyTesting and mitigating elections-related risks","Jun 6, 2024",Policy,Testing and mitigating elections-related risks,https://www.anthropic.com/news/testing-and-mitigating-elections-related-risks
"May 21, 2024InterpretabilityMapping the mind of a large language model","May 21, 2024",Interpretability,Mapping the mind of a large language model,https://www.anthropic.com/research/mapping-mind-language-model
"Apr 26, 2024InterpretabilityCircuits Updates – April 2024","Apr 26, 2024",Interpretability,Circuits Updates – April 2024,https://www.anthropic.com/research/circuits-updates-april-2024
"Apr 23, 2024AlignmentSimple probes can catch sleeper agents","Apr 23, 2024",Alignment,Simple probes can catch sleeper agents,https://www.anthropic.com/research/probes-catch-sleeper-agents
"Apr 9, 2024Societal ImpactsMeasuring the persuasiveness of language models","Apr 9, 2024",Societal Impacts,Measuring the persuasiveness of language models,https://www.anthropic.com/research/measuring-model-persuasiveness
"Apr 2, 2024AlignmentMany-shot jailbreaking","Apr 2, 2024",Alignment,Many-shot jailbreaking,https://www.anthropic.com/research/many-shot-jailbreaking
"Mar 8, 2024InterpretabilityReflections on Qualitative Research","Mar 8, 2024",Interpretability,Reflections on Qualitative Research,https://www.anthropic.com/research/transformer-circuits
"Jan 14, 2024AlignmentSleeper Agents: Training Deceptive LLMs that Persist Through Safety Training","Jan 14, 2024",Alignment,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,https://www.anthropic.com/research/sleeper-agents-training-deceptive-llms-that-persist-through-safety-training
"Dec 7, 2023Societal ImpactsEvaluating and Mitigating Discrimination in Language Model Decisions","Dec 7, 2023",Societal Impacts,Evaluating and Mitigating Discrimination in Language Model Decisions,https://www.anthropic.com/research/evaluating-and-mitigating-discrimination-in-language-model-decisions
"Oct 24, 2023AlignmentSpecific versus General Principles for Constitutional AI","Oct 24, 2023",Alignment,Specific versus General Principles for Constitutional AI,https://www.anthropic.com/research/specific-versus-general-principles-for-constitutional-ai
"Oct 23, 2023AlignmentTowards Understanding Sycophancy in Language Models","Oct 23, 2023",Alignment,Towards Understanding Sycophancy in Language Models,https://www.anthropic.com/research/towards-understanding-sycophancy-in-language-models
"Oct 17, 2023PolicyCollective Constitutional AI: Aligning a Language Model with Public Input","Oct 17, 2023",Policy,Collective Constitutional AI: Aligning a Language Model with Public Input,https://www.anthropic.com/research/collective-constitutional-ai-aligning-a-language-model-with-public-input
"Oct 5, 2023InterpretabilityDecomposing Language Models Into Understandable Components","Oct 5, 2023",Interpretability,Decomposing Language Models Into Understandable Components,https://www.anthropic.com/research/decomposing-language-models-into-understandable-components
"Oct 5, 2023InterpretabilityTowards Monosemanticity: Decomposing Language Models With Dictionary Learning","Oct 5, 2023",Interpretability,Towards Monosemanticity: Decomposing Language Models With Dictionary Learning,https://www.anthropic.com/research/towards-monosemanticity-decomposing-language-models-with-dictionary-learning
"Oct 4, 2023PolicyChallenges in evaluating AI systems","Oct 4, 2023",Policy,Challenges in evaluating AI systems,https://www.anthropic.com/research/evaluating-ai-systems
"Aug 8, 2023AlignmentTracing Model Outputs to the Training Data","Aug 8, 2023",Alignment,Tracing Model Outputs to the Training Data,https://www.anthropic.com/research/influence-functions
"Aug 8, 2023AlignmentStudying Large Language Model Generalization with Influence Functions","Aug 8, 2023",Alignment,Studying Large Language Model Generalization with Influence Functions,https://www.anthropic.com/research/studying-large-language-model-generalization-with-influence-functions
"Jul 18, 2023AlignmentMeasuring Faithfulness in Chain-of-Thought Reasoning","Jul 18, 2023",Alignment,Measuring Faithfulness in Chain-of-Thought Reasoning,https://www.anthropic.com/research/measuring-faithfulness-in-chain-of-thought-reasoning
"Jul 18, 2023AlignmentQuestion Decomposition Improves the Faithfulness of Model-Generated Reasoning","Jul 18, 2023",Alignment,Question Decomposition Improves the Faithfulness of Model-Generated Reasoning,https://www.anthropic.com/research/question-decomposition-improves-the-faithfulness-of-model-generated-reasoning
"Jun 29, 2023Societal ImpactsTowards Measuring the Representation of Subjective Global Opinions in Language Models","Jun 29, 2023",Societal Impacts,Towards Measuring the Representation of Subjective Global Opinions in Language Models,https://www.anthropic.com/research/towards-measuring-the-representation-of-subjective-global-opinions-in-language-models
"May 24, 2023InterpretabilityCircuits Updates — May 2023","May 24, 2023",Interpretability,Circuits Updates — May 2023,https://www.anthropic.com/research/circuits-updates-may-2023
"May 24, 2023InterpretabilityInterpretability Dreams","May 24, 2023",Interpretability,Interpretability Dreams,https://www.anthropic.com/research/interpretability-dreams
"May 4, 2023InterpretabilityDistributed Representations: Composition & Superposition","May 4, 2023",Interpretability,Distributed Representations: Composition & Superposition,https://www.anthropic.com/research/distributed-representations-composition-superposition
"Mar 16, 2023InterpretabilityPrivileged Bases in the Transformer Residual Stream","Mar 16, 2023",Interpretability,Privileged Bases in the Transformer Residual Stream,https://www.anthropic.com/research/privileged-bases-in-the-transformer-residual-stream
"Feb 15, 2023Societal ImpactsThe Capacity for Moral Self-Correction in Large Language Models","Feb 15, 2023",Societal Impacts,The Capacity for Moral Self-Correction in Large Language Models,https://www.anthropic.com/research/the-capacity-for-moral-self-correction-in-large-language-models
"Jan 5, 2023InterpretabilitySuperposition, Memorization, and Double Descent","Jan 5, 2023",Interpretability,"Superposition, Memorization, and Double Descent",https://www.anthropic.com/research/superposition-memorization-and-double-descent
"Dec 19, 2022AlignmentDiscovering Language Model Behaviors with Model-Written Evaluations","Dec 19, 2022",Alignment,Discovering Language Model Behaviors with Model-Written Evaluations,https://www.anthropic.com/research/discovering-language-model-behaviors-with-model-written-evaluations
"Dec 15, 2022AlignmentConstitutional AI: Harmlessness from AI Feedback","Dec 15, 2022",Alignment,Constitutional AI: Harmlessness from AI Feedback,https://www.anthropic.com/research/constitutional-ai-harmlessness-from-ai-feedback
"Nov 4, 2022AlignmentMeasuring Progress on Scalable Oversight for Large Language Models","Nov 4, 2022",Alignment,Measuring Progress on Scalable Oversight for Large Language Models,https://www.anthropic.com/research/measuring-progress-on-scalable-oversight-for-large-language-models
