Sex,Group,Synch,Exertion,PainToleranceBefore,PainTolerance,PainTolDiff,MaxPressure,CloseBefore,CloseAfter,CloseDiff
f,LS+HE,no,high,300,300,0,yes,2,1,-1
m,LS+HE,no,high,120,60,-60,no,4,2,-2
m,LS+HE,no,high,120,110,-10,no,7,7,0
f,LS+HE,no,high,240,160,-80,no,7,3,-4
m,LS+HE,no,high,300,230,-70,no,6,5,-1
m,LS+HE,no,high,110,110,0,no,1,1,0
f,LS+HE,no,high,190,223,33,no,2,1,-1
f,LS+HE,no,high,200,120,-80,no,6,5,-1
f,LS+HE,no,high,300,240,-60,no,4,4,0
m,LS+HE,no,high,150,160,10,no,4,1,-3
f,LS+HE,no,high,230,230,0,no,5,6,1
m,LS+HE,no,high,300,130,-170,no,2,2,0
f,LS+HE,no,high,120,230,110,no,5,7,2
f,LS+HE,no,high,300,230,-70,no,4,7,3
f,LS+HE,no,high,300,300,0,yes,4,7,3
m,LS+HE,no,high,300,300,0,yes,2,1,-1
f,LS+HE,no,high,160,80,-80,no,7,7,0
f,LS+HE,no,high,50,40,-10,no,4,4,0
f,LS+HE,no,high,80,90,10,no,4,5,1
f,LS+HE,no,high,260,220,-40,no,7,7,0
f,LS+HE,no,high,140,130,-10,no,7,7,0
f,LS+HE,no,high,160,283,123,no,5,6,1
f,LS+HE,no,high,150,220,70,no,7,7,0
m,LS+HE,no,high,130,120,-10,no,4,5,1
f,LS+HE,no,high,93,95,2,no,7,7,0
m,LS+HE,no,high,240,240,0,no,6,7,1
m,LS+HE,no,high,120,90,-30,no,3,4,1
f,LS+HE,no,high,189,193,4,no,7,7,0
m,LS+HE,no,high,300,300,0,yes,2,3,1
m,LS+HE,no,high,280,280,0,no,1,7,6
m,LS+HE,no,high,140,300,160,yes,4,4,0
f,LS+HE,no,high,120,100,-20,no,4,6,2
f,LS+HE,no,high,280,300,20,yes,1,7,6
f,LS+HE,no,high,300,300,0,yes,2,4,2
f,LS+HE,no,high,160,120,-40,no,6,6,0
m,LS+HE,no,high,110,110,0,no,6,5,-1
m,LS+HE,no,high,260,300,40,yes,2,3,1
f,LS+HE,no,high,100,160,60,no,7,6,-1
m,LS+HE,no,high,300,290,-10,no,5,5,0
f,LS+HE,no,high,300,300,0,yes,7,7,0
f,LS+HE,no,high,260,200,-60,no,5,4,-1
m,LS+HE,no,high,300,300,0,yes,5,1,-4
m,LS+HE,no,high,130,230,100,no,5,5,0
f,LS+HE,no,high,130,140,10,no,4,5,1
f,LS+HE,no,high,280,300,20,yes,7,7,0
f,LS+HE,no,high,200,240,40,no,7,7,0
f,LS+HE,no,high,185,210,25,no,3,3,0
f,LS+HE,no,high,200,140,-60,no,7,5,-2
f,LS+HE,no,high,280,300,20,yes,4,6,2
f,LS+HE,no,high,180,90,-90,no,7,7,0
m,LS+HE,no,high,300,300,0,yes,3,1,-2
f,LS+HE,no,high,120,263,143,no,2,1,-1
f,LS+HE,no,high,240,260,20,no,5,6,1
f,LS+HE,no,high,100,230,130,no,3,5,2
m,LS+HE,no,high,241,300,59,yes,4,4,0
f,LS+HE,no,high,140,120,-20,no,4,4,0
f,LS+HE,no,high,300,300,0,yes,4,4,0
f,LS+HE,no,high,150,220,70,no,6,6,0
m,HS+LE,yes,low,300,300,0,yes,4,4,0
f,HS+LE,yes,low,170,180,10,no,3,5,2
m,HS+LE,yes,low,270,290,20,no,7,7,0
m,HS+LE,yes,low,150,150,0,no,5,3,-2
m,HS+LE,yes,low,250,200,-50,no,7,5,-2
f,HS+LE,yes,low,240,280,40,no,4,4,0
f,HS+LE,yes,low,280,240,-40,no,7,7,0
m,HS+LE,yes,low,120,160,40,no,5,7,2
f,HS+LE,yes,low,190,180,-10,no,5,4,-1
f,HS+LE,yes,low,220,200,-20,no,3,7,4
m,HS+LE,yes,low,300,300,0,yes,5,2,-3
f,HS+LE,yes,low,300,300,0,yes,5,4,-1
m,HS+LE,yes,low,160,300,140,yes,7,4,-3
f,HS+LE,yes,low,224,260,36,no,3,5,2
m,HS+LE,yes,low,300,300,0,yes,6,6,0
m,HS+LE,yes,low,160,150,-10,no,1,4,3
f,HS+LE,yes,low,210,170,-40,no,7,7,0
m,HS+LE,yes,low,45,90,45,no,7,4,-3
f,HS+LE,yes,low,250,240,-10,no,5,5,0
f,HS+LE,yes,low,160,180,20,no,4,4,0
m,HS+LE,yes,low,300,300,0,yes,4,3,-1
f,HS+LE,yes,low,180,200,20,no,4,6,2
m,HS+LE,yes,low,300,300,0,yes,4,7,3
f,HS+LE,yes,low,300,300,0,yes,3,3,0
f,HS+LE,yes,low,180,210,30,no,7,7,0
f,HS+LE,yes,low,180,180,0,no,6,5,-1
m,HS+LE,yes,low,110,180,70,no,7,7,0
f,HS+LE,yes,low,120,160,40,no,7,7,0
m,HS+LE,yes,low,220,210,-10,no,7,7,0
f,HS+LE,yes,low,180,170,-10,no,7,7,0
f,HS+LE,yes,low,280,260,-20,no,4,6,2
m,HS+LE,yes,low,70,100,30,no,6,6,0
m,HS+LE,yes,low,130,290,160,no,7,5,-2
f,HS+LE,yes,low,240,220,-20,no,,6, 
f,HS+LE,yes,low,152,120,-32,no,3,7,4
f,HS+LE,yes,low,120,160,40,no,6,6,0
f,HS+LE,yes,low,300,200,-100,no,7,7,0
m,HS+LE,yes,low,180,170,-10,no,7,7,0
m,HS+LE,yes,low,300,300,0,yes,3,7,4
f,HS+LE,yes,low,240,200,-40,no,3,7,4
f,HS+LE,yes,low,180,153,-27,no,7,6,-1
f,HS+LE,yes,low,230,235,5,no,,6, 
f,HS+LE,yes,low,150,120,-30,no,6,6,0
f,HS+LE,yes,low,180,160,-20,no,7,7,0
m,HS+LE,yes,low,300,300,0,yes,7,5,-2
f,HS+LE,yes,low,180,160,-20,no,7,7,0
f,HS+LE,yes,low,270,180,-90,no,7,7,0
f,HS+LE,yes,low,280,300,20,yes,7,7,0
m,HS+LE,yes,low,260,260,0,no,5,5,0
m,HS+LE,yes,low,110,120,10,no,1,1,0
m,HS+LE,yes,low,300,300,0,yes,7,5,-2
f,HS+LE,yes,low,120,110,-10,no,5,4,-1
m,HS+LE,yes,low,120,100,-20,no,5,6,1
f,HS+LE,yes,low,180,180,0,no,1,3,2
f,HS+LE,yes,low,150,80,-70,no,3,6,3
m,HS+LE,yes,low,180,220,40,no,2,7,5
f,HS+LE,yes,low,170,230,60,no,7,7,0
f,HS+LE,yes,low,140,160,20,no,4,4,0
m,HS+LE,yes,low,280,270,-10,no,7,6,-1
m,HS+LE,yes,low,185,300,115,yes,4,4,0
m,HS+LE,yes,low,120,180,60,no,5,3,-2
f,HS+LE,yes,low,180,190,10,no,4,7,3
m,HS+LE,yes,low,300,300,0,yes,4,7,3
f,HS+LE,yes,low,170,140,-30,no,1,3,2
f,HS+LE,yes,low,180,200,20,no,2,2,0
f,HS+LE,yes,low,120,160,40,no,7,5,-2
f,LS+LE,no,low,230,90,-140,no,7,7,0
m,LS+LE,no,low,300,160,-140,no,7,7,0
m,LS+LE,no,low,300,300,0,yes,7,7,0
f,LS+LE,no,low,280,280,0,no,4,4,0
f,LS+LE,no,low,250,210,-40,no,7,7,0
f,LS+LE,no,low,160,290,130,no,5,3,-2
m,LS+LE,no,low,300,300,0,yes,7,4,-3
f,LS+LE,no,low,230,210,-20,no,4,5,1
f,LS+LE,no,low,300,300,0,yes,4,3,-1
f,LS+LE,no,low,250,200,-50,no,2,4,2
f,LS+LE,no,low,170,200,30,no,7,7,0
m,LS+LE,no,low,90,80,-10,no,5,4,-1
f,LS+LE,no,low,280,220,-60,no,5,3,-2
m,LS+LE,no,low,180,160,-20,no,4,1,-3
f,LS+LE,no,low,230,160,-70,no,6,6,0
f,LS+LE,no,low,300,240,-60,no,2,2,0
f,LS+LE,no,low,300,280,-20,no,3,3,0
f,LS+LE,no,low,290,300,10,yes,7,4,-3
m,LS+LE,no,low,120,200,80,no,6,6,0
f,LS+LE,no,low,300,300,0,yes,6,6,0
m,LS+LE,no,low,300,300,0,yes,4,3,-1
f,LS+LE,no,low,150,140,-10,no,6,7,1
f,LS+LE,no,low,100,80,-20,no,6,5,-1
m,LS+LE,no,low,280,300,20,yes,4,6,2
m,LS+LE,no,low,300,300,0,yes,,5, 
f,LS+LE,no,low,220,200,-20,no,3,4,1
m,LS+LE,no,low,170,210,40,no,5,5,0
f,LS+LE,no,low,200,180,-20,no,7,7,0
m,LS+LE,no,low,300,270,-30,no,4,1,-3
m,LS+LE,no,low,288,140,-148,no,5,6,1
m,LS+LE,no,low,260,300,40,yes,6,2,-4
m,LS+LE,no,low,300,300,0,yes,6,2,-4
m,LS+LE,no,low,230,300,70,yes,7,1,-6
f,LS+LE,no,low,120,110,-10,no,7,7,0
f,LS+LE,no,low,170,140,-30,no,7,7,0
f,LS+LE,no,low,100,130,30,no,6,6,0
f,LS+LE,no,low,80,120,40,no,7,7,0
f,LS+LE,no,low,70,70,0,no,7,7,0
f,LS+LE,no,low,161,210,49,no,6,6,0
m,LS+LE,no,low,260,140,-120,no,6,6,0
m,LS+LE,no,low,290,280,-10,no,7,7,0
m,LS+LE,no,low,300,300,0,yes,6,6,0
f,LS+LE,no,low,100,80,-20,no,7,4,-3
f,LS+LE,no,low,210,200,-10,no,6,5,-1
f,LS+LE,no,low,145,190,45,no,1,4,3
f,LS+LE,no,low,180,240,60,no,5,6,1
f,LS+LE,no,low,280,190,-90,no,6,7,1
f,LS+LE,no,low,237,300,63,yes,7,7,0
f,LS+LE,no,low,120,100,-20,no,6,6,0
f,LS+LE,no,low,140,100,-40,no,4,4,0
m,LS+LE,no,low,210,300,90,yes,,6, 
m,LS+LE,no,low,180,220,40,no,2,1,-1
f,LS+LE,no,low,300,300,0,yes,3,1,-2
m,LS+LE,no,low,213,300,87,yes,7,6,-1
m,LS+LE,no,low,250,160,-90,no,1,1,0
m,LS+LE,no,low,280,260,-20,no,2,3,1
m,LS+LE,no,low,300,300,0,yes,3,5,2
f,LS+LE,no,low,180,160,-20,no,6,7,1
f,LS+LE,no,low,180,130,-50,no,6,6,0
f,LS+LE,no,low,300,300,0,yes,1,1,0
