Team,Season,Preseason,RegularWins
IND,2008,1,12
IND,2009,1,14
IND,2010,0,10
IND,2011,1,2
IND,2012,2,11
IND,2013,2,11
IND,2014,0,11
JAX,2005,2,12
JAX,2006,3,8
JAX,2007,3,11
JAX,2008,3,5
JAX,2009,1,7
JAX,2010,2,8
JAX,2011,1,5
JAX,2012,3,2
JAX,2013,1,4
JAX,2014,1,3
KC,2005,0,10
KC,2006,2,9
KC,2007,0,4
KC,2008,2,2
KC,2009,0,4
KC,2010,1,10
KC,2011,0,7
KC,2012,1,2
KC,2013,2,11
KC,2014,1,9
MIA,2005,1,9
MIA,2006,2,6
MIA,2007,2,1
MIA,2008,3,11
MIA,2009,4,7
MIA,2010,2,7
MIA,2011,3,6
MIA,2012,0,7
MIA,2013,2,8
MIA,2014,3,8
MIN,2005,3,9
MIN,2006,2,6
MIN,2007,2,8
MIN,2008,1,10
MIN,2009,3,12
MIN,2010,3,6
MIN,2011,2,3
MIN,2012,1,10
MIN,2013,1,5
MIN,2014,4,7
NE,2005,2,10
NE,2006,2,12
NE,2007,2,16
NE,2008,0,11
NE,2009,3,10
NE,2010,2,14
NE,2011,2,13
NE,2012,1,12
NE,2013,3,12
NE,2014,2,12
NO,2005,1,3
NO,2006,1,10
NO,2007,3,7
NO,2008,2,8
NO,2009,3,13
NO,2010,2,11
NO,2011,2,13
NO,2012,2,7
NO,2013,3,11
NO,2014,3,7
NYG,2005,3,11
NYG,2006,4,8
NYG,2007,1,10
NYG,2008,2,12
NYG,2009,1,8
NYG,2010,2,10
NYG,2011,2,9
NYG,2012,2,9
NYG,2013,1,7
NYG,2014,5,6
NYJ,2005,3,4
NYJ,2006,2,10
NYJ,2007,3,4
NYJ,2008,3,9
NYJ,2009,2,9
NYJ,2010,2,11
NYJ,2011,2,8
NYJ,2012,0,6
NYJ,2013,3,8
NYJ,2014,2,4
OAK,2005,1,4
OAK,2006,4,2
OAK,2007,2,4
OAK,2008,1,5
OAK,2009,1,5
OAK,2010,3,8
OAK,2011,0,8
OAK,2012,1,4
OAK,2013,1,4
OAK,2014,2,3
PHI,2005,2,6
PHI,2006,2,10
PHI,2007,1,8
PHI,2008,2,9
PHI,2009,1,11
PHI,2010,2,10
PHI,2011,3,8
PHI,2012,4,4
PHI,2013,2,10
PHI,2014,2,10
PIT,2005,3,11
PIT,2006,0,8
PIT,2007,4,10
PIT,2008,3,12
PIT,2009,3,9
PIT,2010,3,12
PIT,2011,3,12
PIT,2012,3,8
PIT,2013,0,8
PIT,2014,1,11
SD,2005,2,9
SD,2006,2,14
SD,2007,3,11
SD,2008,3,8
SD,2009,2,13
SD,2010,1,9
SD,2011,2,8
SD,2012,3,7
SD,2013,1,9
SD,2014,2,9
SEA,2005,2,13
SEA,2006,2,9
SEA,2007,3,10
SEA,2008,3,4
SEA,2009,4,5
SEA,2010,1,7
SEA,2011,2,7
SEA,2012,4,11
SEA,2013,4,13
SEA,2014,2,12
SF,2005,2,4
SF,2006,2,7
SF,2007,1,5
SF,2008,2,7
SF,2009,3,8
SF,2010,4,6
SF,2011,2,13
SF,2012,3,11
SF,2013,3,12
SF,2014,2,8
SL,2005,3,6
SL,2006,1,8
SL,2007,2,3
SL,2008,2,2
SL,2009,3,1
SL,2010,3,7
SL,2011,4,2
SL,2012,2,7
SL,2013,1,7
SL,2014,1,6
TB,2005,2,11
TB,2006,1,4
TB,2007,3,9
TB,2008,3,9
TB,2009,1,3
TB,2010,2,10
TB,2011,2,4
TB,2012,2,7
TB,2013,1,4
TB,2014,1,2
TEN,2005,1,4
TEN,2006,1,8
TEN,2007,3,10
TEN,2008,3,13
TEN,2009,3,8
TEN,2010,2,6
TEN,2011,3,9
TEN,2012,3,6
TEN,2013,1,7
TEN,2014,2,2
WAS,2005,1,10
WAS,2006,0,5
WAS,2007,2,9
WAS,2008,3,8
WAS,2009,1,4
WAS,2010,2,6
WAS,2011,3,5
WAS,2012,3,10
WAS,2013,4,3
WAS,2014,3,4
