Exercise,SAT,GPA,Pulse,Piercings,GenderCode
12,1200,3.45,58,0,1
8,1230,3.1,62,0,1
8,1530,3.71,84,0,1
5,1300,3.3,72,0,1
6,1130,3.3,52,0,1
10,1280,3.73,68,0,1
18,1330,3.13,71,2,0
12,1280,3.89,55,2,0
10,1180,3.05,68,0,1
10,1340,3.2,61,0,1
5,1240,3.25,80,0,1
7,1150,2.9,66,5,0
3,1180,3,70,0,1
7,1410,3.5,78,4,0
3,1250,3.5,88,2,0
4,1410,3.6,72,2,0
8,1150,3.4,65,5,0
7,1190,3.25,63,5,0
7,1240,2.7,70,0,1
3,1470,3.78,72,0,1
7,1360,4,63,2,0
14,1150,3,68,0,1
5,1090,3.3,64,1,1
14,1140,2.8,64,6,0
5,1080,2.5,60,0,1
5,1420,3.5,68,6,0
2,920,2.8,70,2,0
1,1120,3.4,63,4,0
15,1180,3,57,0,1
5,1260,3.27,84,2,0
5,1260,3.5,74,5,1
15,1230,3,61,0,1
5,1240,3.6,78,5,0
20,1210,3.25,65,0,1
3,1220,3,68,0,0
7,1140,2.75,76,6,0
20,1270,2.9,54,0,1
10,1200,3,56,3,0
6,1170,3,88,0,1
6,1140,2.9,77,3,0
10,1120,3.36,52,1,1
9,1080,3.25,62,0,1
1.5,1040,3.5,80,2,0
20,1200,2.76,60,0,1
21,1230,2.75,51,0,1
10,1100,3.25,81,2,0
8,1310,3,62,0,1
10,1300,2.8,84,0,1
18,1120,3.4,75,5,0
15,1230,3.25,60,0,1
8,1400,3.5,76,10,0
6,980,3.05,65,0,1
12,1440,3.18,65,0,1
10,1310,3,64,2,0
7,1050,2.23,75,7,0
5,1230,3.4,93,2,0
6,1270,3.3,75,2,0
5,1260,3.43,82,0,1
5,1170,3.88,80,2,0
30,1050,3.45,69,0,1
5,1100,3,85,2,0
12,1350,3,76,0,1
0,1240,3.18,76,0,1
12,1250,2.2,65,0,1
0,1130,3.29,67,4,0
15,1170,3.5,64,8,0
18,980,2.8,71,0,1
12,1110,2.9,65,2,0
2,1360,3.5,83,0,1
12,1200,2.5,65,0,1
3,1310,3.25,77,0,1
3,1260,2.9,66,0,1
4,1180,3.66,62,0,1
12,1220,3.01,58,4,0
25,1040,2.25,48,3,1
3,1190,3.2,61,0,1
6,1150,3.35,50,0,1
7,1200,3,72,2,0
7,1210,3,74,0,1
6,1200,3.48,80,0,1
6,1250,2.88,90,0,1
13,890,2.6,72,6,0
25,1040,2.75,64,0,1
8,1140,3.3,72,0,1
5,1130,3.25,70,0,1
11,1210,3.3,84,0,1
18,1260,3.2,87,4,0
6,1150,3,60,0,1
2,1290,3.25,80,5,0
5,1150,3.3,70,0,1
5,1150,3.25,78,4,0
6,1090,2.83,75,0,1
10,1110,3.3,42,5,0
4,1430,3.6,80,0,1
5,1360,3.7,72,2,0
17,1320,2.83,96,6,0
7,1330,3.3,95,0,1
2,1090,3.44,80,3,0
8,1220,3,74,0,1
1,990,3.27,78,2,0
14,1100,2.3,72,0,1
12,1010,2.6,91,5,0
