year.month,year,DriversKilled,drivers,front,rear,kms,PetrolPrice,VanKilled,law
1976,1976,102,1473,704,266,12177,0.113793486,14,0
1976.083333,1976,127,1655,684,312,11918,0.112349582,11,0
1976.166667,1976,125,1407,671,300,13517,0.111753469,11,0
1976.25,1976,101,1395,643,373,14417,0.109642523,10,0
1976.333333,1976,97,1530,771,412,15911,0.108440895,4,0
1976.416667,1976,112,1309,644,322,15589,0.107884939,8,0
1976.5,1977,112,1526,828,458,16543,0.109084769,9,0
1976.583333,1977,113,1327,748,427,17925,0.10757145,10,0
1976.666667,1977,108,1627,767,346,15406,0.106164022,10,0
1976.75,1977,128,1748,825,421,14601,0.106299999,5,0
1976.833333,1977,154,1958,810,344,13107,0.104825313,13,0
1976.916667,1977,162,2274,986,370,12268,0.103451746,12,0
1977,1977,112,1648,714,291,11972,0.10144992,10,0
1977.083333,1977,79,1401,567,224,12028,0.100402316,9,0
1977.166667,1977,82,1411,616,266,14033,0.098862034,7,0
1977.25,1977,127,1403,678,338,14244,0.102496154,5,0
1977.333333,1977,108,1394,742,298,15287,0.103027432,10,0
1977.416667,1977,110,1520,840,386,16954,0.102178908,5,0
1977.5,1978,123,1528,888,479,17361,0.099836643,6,0
1977.583333,1978,103,1643,852,473,17694,0.09263669,8,0
1977.666667,1978,97,1515,774,332,16222,0.091814963,6,0
1977.75,1978,140,1685,831,391,14969,0.090724304,12,0
1977.833333,1978,165,2000,889,370,13624,0.090021207,15,0
1977.916667,1978,183,2215,1046,431,13842,0.089330706,7,0
1978,1978,148,1956,889,366,12387,0.088442735,14,0
1978.083333,1978,111,1462,626,250,11608,0.088352569,4,0
1978.166667,1978,116,1563,808,355,15021,0.086757362,10,0
1978.25,1978,115,1459,746,304,14834,0.084995242,8,0
1978.333333,1978,100,1446,754,379,16565,0.084567944,7,0
1978.416667,1978,106,1622,865,440,16882,0.084431899,11,0
1978.5,1979,134,1657,980,500,18012,0.084350883,3,0
1978.583333,1979,125,1638,959,511,18855,0.083600983,5,0
1978.666667,1979,117,1643,856,384,17243,0.083417263,11,0
1978.75,1979,122,1683,798,366,16045,0.08274514,10,0
1978.833333,1979,153,2050,942,432,14745,0.085235267,10,0
1978.916667,1979,178,2262,1010,390,13726,0.084770303,7,0
1979,1979,114,1813,796,306,11196,0.084458921,10,0
1979.083333,1979,94,1445,643,232,12105,0.085352119,11,0
1979.166667,1979,128,1762,794,342,14723,0.087559213,9,0
1979.25,1979,119,1461,750,329,15582,0.090382917,7,0
1979.333333,1979,111,1556,809,394,16863,0.090783294,8,0
1979.416667,1979,110,1431,716,355,16758,0.10874278,13,0
1979.5,1980,114,1427,851,385,17434,0.114142227,8,0
1979.583333,1980,118,1554,931,463,18359,0.112992933,5,0
1979.666667,1980,115,1645,834,453,17189,0.111320706,8,0
1979.75,1980,132,1653,762,373,16909,0.109126229,7,0
1979.833333,1980,153,2016,880,401,15380,0.107698459,12,0
1979.916667,1980,171,2207,1077,466,15161,0.107601574,10,0
1980,1980,115,1665,748,306,14027,0.103775019,7,0
1980.083333,1980,95,1361,593,263,14478,0.10711417,4,0
1980.166667,1980,92,1506,720,323,16155,0.107374774,10,0
1980.25,1980,100,1360,646,310,16585,0.111695373,4,0
1980.333333,1980,95,1453,765,424,18117,0.110638185,8,0
1980.416667,1980,114,1522,820,403,17552,0.111855211,8,0
1980.5,1981,102,1460,807,406,18299,0.109742343,7,0
1980.583333,1981,104,1552,885,466,19361,0.108193932,10,0
1980.666667,1981,132,1548,803,381,17924,0.106255363,8,0
1980.75,1981,136,1827,860,369,17872,0.104193034,14,0
1980.833333,1981,117,1737,825,378,16058,0.101933973,8,0
1980.916667,1981,137,1941,911,392,15746,0.102793825,9,0
1981,1981,111,1474,704,284,15226,0.104760341,8,0
1981.083333,1981,106,1458,691,316,14932,0.104002536,6,0
1981.166667,1981,98,1542,688,321,16846,0.116655515,7,0
1981.25,1981,84,1404,714,358,16854,0.115161476,6,0
1981.333333,1981,94,1522,814,378,18146,0.112989543,5,0
1981.416667,1981,105,1385,736,382,17559,0.113860644,4,0
1981.5,1982,123,1641,876,433,18655,0.119118081,5,0
1981.583333,1982,109,1510,829,506,19453,0.124489986,10,0
1981.666667,1982,130,1681,818,428,17923,0.123222945,7,0
1981.75,1982,153,1938,942,479,17915,0.120677932,10,0
1981.833333,1982,134,1868,782,370,16496,0.121048983,12,0
1981.916667,1982,99,1726,823,349,13544,0.116968571,7,0
1982,1982,115,1456,595,238,13601,0.112750259,4,0
1982.083333,1982,104,1445,673,285,15667,0.108079307,5,0
1982.166667,1982,131,1456,660,324,17358,0.108838516,6,0
1982.25,1982,108,1365,676,346,18112,0.111291766,4,0
1982.333333,1982,103,1487,755,410,18581,0.111304009,4,0
1982.416667,1982,115,1558,815,411,18759,0.115454358,8,0
1982.5,1983,122,1488,867,496,20668,0.114768296,8,0
1982.583333,1983,122,1684,933,534,21040,0.117207431,3,0
1982.666667,1983,125,1594,798,396,18993,0.119076397,7,0
1982.75,1983,137,1850,950,470,18668,0.117965862,12,0
1982.833333,1983,138,1998,825,385,16768,0.117449127,2,0
1982.916667,1983,152,2079,911,411,16551,0.116988458,7,0
1983,1983,120,1494,619,281,16231,0.112610536,8,0
1983.083333,1983,95,1057,426,300,15511,0.113657016,3,1
1983.166667,1983,100,1218,475,318,18308,0.113144445,2,1
1983.25,1983,89,1168,556,391,17793,0.118495535,6,1
1983.333333,1983,82,1236,559,398,19205,0.117969401,3,1
1983.416667,1983,89,1076,483,337,19162,0.117686614,7,1
1983.5,1984,60,1174,587,477,20997,0.120059239,6,1
1983.583333,1984,84,1139,615,422,20705,0.119437746,8,1
1983.666667,1984,113,1427,618,495,18759,0.118881272,8,1
1983.75,1984,126,1487,662,471,19240,0.118462361,4,1
1983.833333,1984,122,1483,519,368,17504,0.118016598,3,1
1983.916667,1984,118,1513,585,345,16591,0.117706623,5,1
1984,1984,92,1357,483,296,16224,0.11777609,5,1
1984.083333,1984,86,1165,434,319,16670,0.114796992,3,1
1984.166667,1984,81,1282,513,349,18539,0.115735253,4,1
1984.25,1984,84,1110,548,375,19759,0.115356263,3,1
1984.333333,1984,87,1297,586,441,19584,0.114815361,6,1
1984.416667,1984,90,1185,522,465,19976,0.114777478,6,1
1984.5,1985,79,1222,601,472,21486,0.11493598,7,1
1984.583333,1985,96,1284,644,521,21626,0.114796992,5,1
1984.666667,1985,122,1444,643,429,20195,0.114093157,7,1
1984.75,1985,120,1575,641,408,19928,0.116465522,7,1
1984.833333,1985,137,1737,711,490,18564,0.116026113,4,1
1984.916667,1985,154,1763,721,491,18149,0.116066729,7,1
