"county_name","county_fips","driver_race_Black","driver_race_White","black_pop","white_pop","pct_black_stopped","pct_white_stopped","wb_delta","bias"
"Itawamba County",28057,324,2156,1531,21508,0.211626387981711,0.100241770503999,-0.111384617477712,"black bias"
"Jackson County",28059,1497,5262,30704,101686,0.0487558624283481,0.0517475365340362,0.0029916741056881,"white bias"
"Jasper County",28061,1095,913,8785,7674,0.124644280022766,0.118973156111545,-0.00567112391122099,"black bias"
"Jefferson County",28063,3571,641,6520,1057,0.547699386503067,0.60643330179754,0.0587339152944729,"white bias"
"Jefferson Davis County",28065,585,373,7312,4586,0.0800054704595186,0.0813344962930659,0.0013290258335473,"white bias"
"Jones County",28067,1677,2156,19711,47154,0.0850793972908528,0.0457225261907791,-0.0393568711000737,"black bias"
"Kemper County",28069,1264,1236,6026,3761,0.209757716561567,0.328636001063547,0.11887828450198,"white bias"
"Lafayette County",28071,464,705,12292,36841,0.037748128864302,0.0191362883743655,-0.0186118404899365,"black bias"
"Lamar County",28073,1299,2064,11826,44635,0.109842719431761,0.0462417385459841,-0.0636009808857769,"black bias"
"Lauderdale County",28075,3191,5604,33893,43482,0.0941492343551766,0.128880916241203,0.0347316818860264,"white bias"
"Lawrence County",28077,259,309,4066,8349,0.0636989670437777,0.0370104204096299,-0.0266885466341478,"black bias"
"Leake County",28079,1667,1330,9576,12091,0.174081035923141,0.109999172938549,-0.064081862984592,"black bias"
"Lee County",28081,1663,3297,23782,58614,0.0699268354217475,0.0562493602211076,-0.0136774752006399,"black bias"
"Leflore County",28083,1452,221,22748,8004,0.0638297872340425,0.0276111944027986,-0.0362185928312439,"black bias"
"Lincoln County",28085,1416,2412,10706,23722,0.132262282832057,0.101677767473232,-0.030584515358825,"black bias"
"Lowndes County",28087,1719,1491,26168,32116,0.0656909202078875,0.0464254577157803,-0.0192654624921072,"black bias"
"Madison County",28089,1368,641,38315,56847,0.0357040323633042,0.0112758808732211,-0.0244281514900831,"black bias"
"Marion County",28091,123,116,8432,17170,0.0145872865275142,0.00675596971461852,-0.00783131681289568,"black bias"
"Marshall County",28093,136,84,17319,17902,0.00785264738148854,0.00469221316054072,-0.00316043422094782,"black bias"
"Monroe County",28095,5642,4826,11021,24635,0.511931766627348,0.195900142074285,-0.316031624553063,"black bias"
"Montgomery County",28097,1607,1776,4713,5603,0.340971780182474,0.316973050151704,-0.02399873003077,"black bias"
"Neshoba County",28099,28,49,6611,17543,0.00423536530025715,0.00279313686370632,-0.00144222843655083,"black bias"
"Newton County",28101,1215,1270,6576,13699,0.184762773722628,0.0927074968975838,-0.0920552768250442,"black bias"
"Noxubee County",28103,20,10,8016,3094,0.00249500998003992,0.00323206205559147,0.00073705207555155,"white bias"
"Oktibbeha County",28105,1906,2091,18205,28608,0.104696511947267,0.0730914429530201,-0.0316050689942469,"black bias"
"Panola County",28107,829,925,17247,16779,0.0480663303762973,0.0551284343524644,0.0070621039761671,"white bias"
"Pearl River County",28109,277,564,7483,46411,0.0370172390752372,0.0121522914826227,-0.0248649475926145,"black bias"
"Perry County",28111,255,530,2598,9441,0.0981524249422633,0.0561381209617625,-0.0420143039805008,"black bias"
"Pike County",28113,2034,2133,21028,18282,0.0967281719611946,0.116672136527732,0.0199439645665374,"white bias"
"Pontotoc County",28115,463,1189,4631,24275,0.0999784063917081,0.0489804325437693,-0.0509979738479388,"black bias"
"Prentiss County",28117,330,1711,3603,21309,0.0915903413821815,0.0802947111549111,-0.0112956302272704,"black bias"
"Quitman County",28119,830,685,5452,2246,0.152237710931768,0.304986642920748,0.15274893198898,"white bias"
"Rankin County",28121,182,174,28896,113170,0.0062984496124031,0.00153750994079703,-0.00476093967160607,"black bias"
"Scott County",28123,2250,2672,10562,16920,0.21302783563719,0.157919621749409,-0.055108213887781,"black bias"
"Sharkey County",28125,841,931,3438,1342,0.244618964514252,0.693740685543964,0.449121721029712,"white bias"
"Simpson County",28127,1674,1803,9782,17211,0.171130648129217,0.104758584626111,-0.066372063503106,"black bias"
"Smith County",28129,76,184,4026,12172,0.0188772975658222,0.0151166611896155,-0.0037606363762067,"black bias"
"Stone County",28131,941,1967,3450,14147,0.272753623188406,0.139040079168728,-0.133713544019678,"black bias"
"Sunflower County",28133,3105,816,20386,7197,0.152310409104287,0.113380575239683,-0.038929833864604,"black bias"
"Tallahatchie County",28135,266,127,6751,6299,0.0394015701377574,0.0201619304651532,-0.0192396396726042,"black bias"
"Tate County",28137,930,1047,8747,19059,0.10632216760032,0.0549346765307729,-0.0513874910695471,"black bias"
"Tippah County",28139,343,1136,3529,17919,0.0971946727118164,0.0633963948881076,-0.0337982778237088,"black bias"
"Tishomingo County",28141,93,1599,508,18471,0.183070866141732,0.0865681338314114,-0.0965027323103206,"black bias"
"Tunica County",28143,4,0,7914,2209,0.000505433409148345,0,-0.000505433409148345,"black bias"
"Union County",28145,572,1890,3986,22763,0.143502257902659,0.0830294776611167,-0.0604727802415423,"black bias"
"Walthall County",28147,942,880,6768,7967,0.139184397163121,0.11045562947157,-0.028728767691551,"black bias"
"Warren County",28149,1267,1462,23025,23804,0.0550271444082519,0.0614182490337758,0.00639110462552391,"white bias"
"Washington County",28151,1473,1272,35225,13446,0.0418168914123492,0.0946006247211067,0.0527837333087575,"white bias"
"Wayne County",28153,1553,2694,8015,12154,0.193761696818465,0.221655422083265,0.0278937252648,"white bias"
"Webster County",28155,59,97,1964,7880,0.030040733197556,0.0123096446700508,-0.0177310885275052,"black bias"
"Wilkinson County",28157,34,9,6603,2698,0.00514917461759806,0.0033358042994811,-0.00181337031811696,"black bias"
"Winston County",28159,2256,2066,8919,9602,0.252943155062227,0.215163507602583,-0.037779647459644,"black bias"
"Yalobusha County",28161,174,148,4909,7330,0.0354451008352007,0.0201909959072306,-0.0152541049279701,"black bias"
"Yazoo County",28163,2188,1340,16054,10730,0.136290021178522,0.124883504193849,-0.011406516984673,"black bias"
