DecisionM,DecisionF,LikeM,LikeF,PartnerYesM,PartnerYesF,AgeM,AgeF,RaceM,RaceF,AttractiveM,AttractiveF,SincereM,SincereF,IntelligentM,IntelligentF,FunM,FunF,AmbitiousM,AmbitiousF,SharedInterestsM,SharedInterestsF
1,1,6,7,9,7,25,21,Asian,Asian,8,7,8,8,7,8,6,7,7,8,6,6
0,1,7,7,7,3,27,30,Black,Caucasian,6,7,8,9,8,7,8,7,8,10,5,5
0,1,6,6,5,5,23,22,Caucasian,Caucasian,5,6,8,7,5,7,3,4,3,6,3,6
1,0,7,6,2,4,21,24,Caucasian,Caucasian,8,3,8,8,8,8,6,5,7,5,5,5
1,0,8,6,8,6,28,23,Caucasian,Caucasian,9,6,9,8,9,8,9,6,8,7,8,5
1,0,7,6,5,7,28,25,Caucasian,Caucasian,8,5,9,8,9,8,9,6,7,9,5,6
0,0,6,8,6,3,23,21,Black,Asian,5,5,8,9,10,9,7,8,9,9,5,5
0,0,4,5,6,4,29,28,Latino,Caucasian,3,5,6,8,,7,5,8,6,8,5,3
1,1,10,8,10,8,22,26,Other,Latino,10,8,10,9,10,9,10,9,10,8,10,8
0,0,5,3,0,3,27,,Black,,5,3,7,4,6,9,4,2,4,9,6,6
0,1,1,8,1,9,28,,Caucasian,,4,8,7,8,4,9,2,9,3,7,1,8
0,1,7,8,2,4,26,24,Caucasian,Asian,5,6,7,6,9,9,7,8,5,8,4,5
1,1,9,8,3,7,21,22,Caucasian,Caucasian,6,10,9,9,8,9,6,8,8,8,6,7
1,0,6,3,7,10,22,23,Caucasian,Caucasian,7,3,8,10,7,5,5,3,7,5,5,4
0,0,6,6,5,6,22,23,Caucasian,Other,6,7,8,7,7,7,7,8,6,8,5,5
0,1,5,8,1,8,25,29,Caucasian,Other,6,9,8,10,8,10,7,9,7,10,5,8
1,1,6,6,7,5,24,27,Other,Asian,6,8,6,6,7,8,5,5,6,8,5,5
0,0,8,5,6,5,28,26,Asian,Asian,7,5,7,6,8,7,8,6,6,9,9,5
0,0,5,6,4,6,26,32,Caucasian,Latino,5,5,7,8,6,7,6,5,6,5,4,4
1,0,9,5,7,5,26,22,Latino,Caucasian,8,6,8,7,9,7,8,4,,,8,
0,0,6,6,7,5,29,28,Caucasian,Caucasian,7,8,7,8,8,9,7,8,8,7,7,6
1,1,10,8,2,5,39,22,Caucasian,Caucasian,10,8,10,9,10,9,,6,,7,,5
0,1,5,7,6,4,28,23,Caucasian,Asian,6,7,8,8,8,7,6,6,5,5,0,4
1,0,6,4,9,9,30,23,Other,Caucasian,6,3,8,10,8,9,8,5,6,9,4,5
1,0,9,9,6,8,22,25,Asian,Other,9,5,8,10,8,10,9,8,7,8,8,7
0,0,4,5,6,5,32,30,Caucasian,Caucasian,5,5,6,8,7,8,2,6,7,5,3,3
0,0,7,2,5,2,26,34,Caucasian,Caucasian,6,6,8,,9,5,7,,7,10,7,
0,1,8,7,5,7,27,27,Caucasian,Asian,6,8,9,8,8,8,6,6,7,8,4,7
1,1,8,,10,8,25,25,Black,Other,8,7,8,10,10,10,9,10,7,10,7,10
1,0,8,9,5,5,22,27,Latino,Caucasian,8,8,8,10,8,10,8,9,10,10,,5
1,1,8,4,9,3,21,35,Caucasian,Latino,9,8,10,8,9,8,8,7,7,5,6.5,8
1,0,7,7,6,8,24,23,Caucasian,Caucasian,8,8,9,10,7,10,8,5,5,10,4,8
1,1,7,9,5,3,25,23,Asian,Latino,7,7,10,10,8,10,8,6,8,10,3,6
1,1,7,7,6,8,28,29,Caucasian,Caucasian,9,6,,9,8,9,8,8,7,8,5,5
0,1,4,7,4,7,27,29,Asian,Caucasian,5,7,7,7,7,7,5,7,5,7,5,7
0,1,10,8,1,1,22,21,Other,Caucasian,10,8,10,10,10,9,10,10,10,5,10,5
0,1,5,5,2,7,18,19,Asian,Latino,6,,4,6,5,7,6,8,7,9,7,4
1,0,7,2,8,1,22,21,Asian,Caucasian,8,4,7,8,6,7,5,5,5,9,5,3
0,0,5,5,7,4,21,20,Caucasian,Black,5,7,8,5,8,5,6,6,7,5,5,3
1,1,7,7,8,6,22,21,Caucasian,Caucasian,7,8,7,6,7,6,7,7,5,5,5,6
1,1,9,9,8,9,21,20,Caucasian,Other,10,9,9,10,8,8,9,8,9,7,7,9
1,0,7,7,7,1,,21,Caucasian,Caucasian,7,7,8,6,10,7,6,8,5,10,6,7
1,1,9,9,5,5,20,20,Asian,Latino,9,9,6,9,8,9,6,8,6,10,6,2
0,0,,,,,19,21,Asian,Caucasian,,,,,,,,,,,,
0,0,7,7,6,7,26,24,Asian,Asian,6,7,10,7,10,7,6,8,7,6,5,8
0,1,1,7,8,6,32,26,Caucasian,Caucasian,4,8,6,8,6,8,1,,7,,1,2
1,0,8,5,8,1,37,,Asian,,8,3,8,8,,8,8,5,8,8,,1
0,1,6.5,8,7,9,29,23,Caucasian,Caucasian,6.5,8,8,9,7.5,9,7,9,7,10,,7
1,0,7,7,7,7,28,27,Latino,Caucasian,8,5,7,8,7,8,7,8,7,7,8,7
1,0,9,4,5,9,23,24,Caucasian,Caucasian,10,4,8,5,8,6,7,4,7,6,5,4
1,0,8,7,7,,28,31,Caucasian,Caucasian,8,5,9,8,9,10,8,8,8,8,5,
1,1,6,8,8,10,29,26,Black,Asian,8,8,10,6,9,7,8,8,8,9,7,7
0,1,5,8,3,7,22,30,Caucasian,Black,7,8,9,9,10,10,8,7,8,9,4,5
0,0,6,8,3,1,27,24,Asian,Caucasian,5,9,6,9,7,9,7,8,6,9,5,8
1,1,8,8,5,7,26,28,Caucasian,Asian,8,8,10,8,8,8,8,8,8,6,6,7
1,1,10,10,10,10,27,36,Caucasian,Caucasian,9,10,10,9,10,10,8,10,8,8,8,8
1,1,7,9,4,6,30,27,Caucasian,Asian,8,8,9,8,10,7,5,8,9,8,5,9
1,0,8,7,2,2,26,27,Other,Asian,8,7,8,8,8,7,8,5,8,5,,2
0,0,3,5,4,5,23,33,Caucasian,Caucasian,3,5,7,6,6,7,4,6,5,4,2,
1,0,9,5,9,5,23,27,Asian,Caucasian,8,5,8,9,8,7,8,5,8,7,8,5
0,1,8,8,9,5,28,27,Caucasian,Caucasian,9,8,8,8,8,8,8,7,8,8,8,6
1,0,7,4,6,6,28,28,Asian,Caucasian,8,3,7,8,7,8,8,3,7,7,5,2
1,1,9,7,8,6,29,28,Caucasian,Caucasian,8,6,7,8,8,8,6,6,9,7,10,
0,0,4,7,5,9,27,23,Caucasian,Caucasian,4,5,7,8,8,7,5,7,6,8,4,7
1,0,7,3,6,7,22,28,Caucasian,Asian,7,5,8,6,8,5,8,6,8,5,7,6
1,1,10,7,7,9,34,24,Caucasian,Caucasian,10,8,10,9,10,9,10,7,10,6,10,9
0,0,2,6,8,2,25,28,Asian,Asian,3,6,8,5,8,6,4,6,7,7,6,4
0,0,4,3,2,5,24,22,Asian,Caucasian,5,2,5,6,7,7,8,2,5,4,2,2
1,1,5,7,9,8,26,29,Caucasian,Asian,6,5,8,5,,5,,5,,5,10,7
1,0,6,7,2,7,21,24,Caucasian,Asian,8,7,8,8,5,8,8,7,5,8,8,5
0,1,6,6,5,6,27,35,Other,Asian,5,7,8,7,8,7,5,5,5,,6,
1,0,6,8,4,6,25,22,Caucasian,Black,7,7,5,8,7,9,7,9,,9,,8
0,1,5,8,7,8,28,23,Caucasian,Other,5,1,9,7,8,8,7,8,8,8,8,8
1,0,7,4,9,5,24,30,Caucasian,Latino,7,6,7,6,8,6,8,6,6,5,4,4
1,1,8,8,7,7,25,22,Asian,Black,8,8,10,8,8,9,6,8,9,9,9,9
1,1,6,6,6,5,23,25,Caucasian,Asian,7,5,8,8,8,7,7,9,9,8,5,5
1,0,7,4,6,6,26,24,Asian,Other,7,8,9,8,9,8,6,8,7,8,4,1
0,1,7,8,5,7,27,31,Caucasian,Black,5,2,10,8,8,8,7,7,5,8,5,5
1,1,8,8,8,7,26,27,Caucasian,Latino,6,7,10,10,8,10,8,7,6,10,6,5
0,1,5,6,5,8,24,30,Caucasian,Caucasian,4,4,4,9,6,9,6,4,6,9,5,4
0,1,5,6,4,6,26,24,Caucasian,Caucasian,3,8,7,9,,8,3,7,4,8,5,6
0,0,7,2,7,2,25,23,Other,Asian,8,3,8,2,8,8,9,4,8,5,8,4
1,0,6,6,3,7,27,28,Asian,Caucasian,6,6,5,10,6,10,6,6,7,10,3,10
1,0,6,5,5,2,27,22,Caucasian,Caucasian,6,2,4,9,7,10,7,4,8,8,2,4
1,0,7,8,7,6,28,25,Caucasian,Caucasian,8,6,9,10,8,8,8,7,7,8,,
0,0,7,,5,5,32,28,Caucasian,Black,5,7,8,7,6,10,7,,7,8,7,
1,0,8,7,7,7,28,25,Latino,Black,8,5,10,8,9,8,9,9,9,9,6,5
0,1,7,9,6,5,23,29,Caucasian,Caucasian,6,10,9,10,9,8,7,10,7,,7,
1,1,9,8,7,9,26,23,Caucasian,Caucasian,8,8,8,10,7,7,9,9,8,7,8,8
0,0,6,5,3,5,24,25,Asian,Caucasian,6,5,7,8,7,8,5,4,5,,3,
1,1,7,7,7,9,28,27,Caucasian,Caucasian,8,8,9,8,7,9,9,9,5,8,5,6
0,0,3,7,3,9,42,26,Caucasian,Caucasian,5,6,8,8,8,7,7,7,7,6,3,6
0,0,6,7,6,6,30,25,Latino,Latino,7,6,7,10,7,10,6,10,7,8,5,7
1,0,8,6,6,6,31,23,Caucasian,Caucasian,8,6,9,8,8,6,8,6,8,8,7,8
1,0,9,8,6,10,29,22,Asian,Caucasian,8,6,8,10,8,9,8,,9,10,,3
0,1,6,7,5,7,27,24,Caucasian,Asian,6,6,8,7,8,8,5,6,,7,,5
0,1,3,6,3,6,28,26,Caucasian,Asian,8,7,6,7,8,6,10,6,9,5,2,5
0,1,6,7,4,7,32,34,Caucasian,Caucasian,7,6,8,8,6,9,6,8,,10,,
1,0,7,7,3,8,25,27,Caucasian,Caucasian,6,7,6,9,7,9,,9,,10,5,6
1,0,5,8,6,6,25,29,Asian,Asian,5,5,6,10,5,10,5,9,4,6,3,7
0,1,6,8,4,4,27,34,Other,Caucasian,6,8,7,8,8,7,6,8,3,9,4,6
1,0,9,4,7,5,33,26,Other,Latino,9,3,8,5,9,,9,6,7,10,8,
0,1,5,5,6,3,25,22,Other,Other,5,7,10,5,6,8,7,5,7,8,4,7
1,0,8,5,8,6,33,23,Other,Caucasian,8,5,9,9,8,8,8,7,8,8,,5
1,1,10,8.5,10,7,29,24,Caucasian,Latino,10,9,9,9,9,9,6,8,9,,6,7
0,0,6,6,7,7,24,24,Latino,Asian,4,6,8,7,8,6,5,5,9,6,,4
1,0,5,5,7,6,21,26,Caucasian,Caucasian,5,5,8,6,7,7,7,5,5,8,6,5
1,1,7,7,7,6,26,23,Caucasian,Asian,7,7,9,7,8,8,7,7,5,6,5,8
1,1,9,8,10,10,25,25,Caucasian,Caucasian,8,7,8,3,8,10,9,10,,7,,7
0,0,5,5,2,5,32,27,Caucasian,Asian,5,6,5,8,5,7,3,7,5,5,5,4
0,1,7,8,3,8,25,25,Caucasian,Caucasian,7,8,9,9,5,8,7,8,6,7,5,7
1,0,6,5,3,5,25,23,Caucasian,Caucasian,6,5,6,4,6,8,5,4,4,4,5,6
1,0,8,4,6,8,27,28,Caucasian,Latino,10,4,8,6,8,8,8,6,5,6,5,10
1,0,7,8,2,2,23,32,Black,Caucasian,7,9,7,8,7,8,0,8,7,6,0,2
1,1,6,7,9,9,27,24,Asian,Caucasian,8,7,8,10,9,7,9,6,9,9,9,3
0,0,7,7,2,5,27,29,Caucasian,Caucasian,5,8,9,8,,8,6,6,,7,,6
1,1,4.5,7,8,7,24,33,Other,Asian,5,6,5,8,5,8,4,6,4,7,4,6
1,0,5,8,5,5,22,26,Caucasian,Black,8,6,7,10,8,10,7,9,5,10,8,5
1,0,7,5,6,5,22,26,Asian,Asian,7,5,7,5,5,5,5,5,6,5,9,5
0,0,5,3,5,5,27,22,Caucasian,Caucasian,5,5,5,9,7,8,5,6,5,8,5,2
1,0,7,5,5,3,28,24,Asian,Caucasian,7,5,8,7,6,7,6,9,6,9,5,3
0,1,4,7,3,5,34,26,Caucasian,Asian,5,7,7,8,8,7,6,6,7,6,3,8
1,1,7,7,7,8,27,28,Asian,Caucasian,7,7,9,8,9,9,8,9,5,9,8,6
0,0,3,5,4,6,28,26,Black,Asian,5,5,10,5,7,6,4,7,5,7,4,7
0,1,6,7,7,6,28,25,Latino,Other,5,6,8,7,7,9,8,3,6,6,7,4
0,0,8,7,5,8,27,29,Asian,Asian,8,5,9,8,8,8,7,7,6,7,7,6
0,0,5,6,8,1,32,28,Caucasian,Caucasian,8,7,10,8,10,9,8,3,10,5,4,5
0,1,6,6,5,7,25,30,Caucasian,Caucasian,6,6,7,9,7,10,5,5,6,5,4,
0,1,7,7,8,5,29,27,Asian,Asian,5,7.5,8,8,6,8,7,7,5,7,6,5.5
1,0,9,7,6,8,23,33,Caucasian,Caucasian,9,6,8,10,8,9,6,8,7,8,9,7
0,0,7,6,7,5,27,28,Caucasian,Caucasian,6,6,8,9,7,8,8,7,6,5,6,5
0,0,4,3,4,2,32,35,Other,Caucasian,5,4,7,9,7,10,4,6,5,9,4,2
1,0,9,7,5,6,27,30,Caucasian,Asian,9,6,8,8,10,8,7,6,7,6,7,6
1,1,7,9,7,8,25,24,Caucasian,Asian,5,10,8,10,7,10,8,10,5,10,5,8
0,1,4,7,7,6,30,22,Caucasian,Caucasian,4,9,8,7,7,8,4,7,6,7,2,5
0,1,7,6,1,6,29,34,Other,Caucasian,7,5,7,10,7,10,6,5,7,10,6,2
1,1,9,7,9,10,26,21,Caucasian,Caucasian,9,3,9,10,7,10,8,8,9,9,8,10
0,0,9,4,5,7,36,21,Caucasian,Caucasian,5,6,8,9,6,8,10,6,5,8,,
0,0,6,6,5,6,29,22,Caucasian,Asian,4,6,8,6,7,8,7,6,5,6,6,4
1,1,10,3,10,5,30,23,Asian,Caucasian,10,1,10,10,9,10,10,6,10,5,10,1
0,1,8,7,6,5,23,30,Caucasian,Latino,5,7,8,7,7,7,7,7,6,5,6,5
0,1,5,6,8,7,29,34,Asian,Caucasian,5,10,8,8,7,7,7,6,5,6,7,7
0,1,6,6,4,7,24,30,Caucasian,Caucasian,5,8,8,7,6,8,6,8,6,8,6,8
0,0,4,5,1,8,25,22,Latino,Asian,6,4,3,9,7,8,6,4,9,7,1,4
1,0,6,7,6,4,28,29,Caucasian,Caucasian,7,6,9,8,8,8,6,6,6,7,6,3
1,0,6,8,7,3,27,29,Other,Caucasian,8,8,8,8,8,8,7,8,8,8,7,3
1,1,8,10,7,5,,34,,Asian,8,10,7,,7,10,8,10,9,8,7,10
0,1,5,8,5,6,,36,,Black,4,8,8,10,6,9,5,8,5,8,7,5
0,0,9,5,8,6,34,27,Caucasian,Caucasian,9,4,10,8,9,7,8,5,9,,7,5
1,0,8,6,8,5,30,,Caucasian,,8,7,8,8,7,9,7,7,7,9,8,3
0,1,5,6,6,5,23,25,Asian,Asian,5,6,7,8,6,8,5,7,6,6,4,
1,1,9,8,7,7,27,35,Latino,Asian,9,8,9,8,9,8,9,8,9,8,7,8
0,1,5,7,5,5,30,24,Caucasian,Caucasian,3,10,8,9,6,9,6,7,5,9,2,7
0,1,6,9,6,7,27,29,Caucasian,Other,6,9,8,8,7,8,6,9,5,6,5,9
0,1,4,8,6,6,27,24,Caucasian,Other,4,7,9,6,7,6,5,7,7,7,4,6
1,1,6.5,7,6,7,24,31,Other,Caucasian,7,6,8,10,7,9,8,8,7,6,6,6
1,1,10,8,10,10,25,22,Caucasian,Caucasian,10,5,9,10,10,8,10,10,10,6,10,10
0,0,5,8,4,2,28,23,Caucasian,Asian,6,8,9,8,7,8,7,8,5,8,3,5
0,1,6,7,10,6,27,33,Caucasian,Latino,6,7,10,7,9,,5,7,5,8,5,
1,1,9,7,7,8,27,33,Caucasian,Caucasian,9,7,9,8,9,8,9,7,8,6,,
1,0,9,5,8,7,29,27,Latino,Asian,9,6,10,8,9,7,9,6,9,9,,
0,0,5,2,5,2,30,26,Asian,Caucasian,5,7,7,5,5,5,5,5,4,6,3,1
0,1,3,8,5,7,27,24,Caucasian,Caucasian,2,9,4,6,4,7,2,7,5,7,2,7
1,1,10,10,10,10,25,26,Asian,Asian,10,10,10,10,10,10,10,10,10,10,10,10
1,1,7,7,6,7,26,26,Asian,Latino,8,6,8,7,8,7,7,7,6,6,5,8
0,1,6,7,5,5,29,32,Caucasian,Caucasian,5,7,7,7,8,7,6,8,9,,4,
0,1,6,6,6,5,24,33,Caucasian,Black,6,4,8,7,8,7,7,5,7,7,7,7
1,1,10,9,6,8,29,25,Caucasian,Caucasian,10,8,8,9,9,9,10,9,,9,,8
1,1,9,6,8,9,29,24,Caucasian,Caucasian,7,6,10,7,9,8,8,6,6,8,,6
1,1,6.5,6,8,6,26,33,Caucasian,Caucasian,5,8,7,6,8,7,7,7,7,9,8,
0,1,5,7,6,7,31,26,Caucasian,Caucasian,1,7,8,8,8,8,5,7,5,8,,
1,0,8,4,9,8,29,27,Asian,Caucasian,7,3,9,9,5,9,7,8,5,8,6,
0,0,5,5,2,6,22,26,Caucasian,Caucasian,5,2,7,10,7,8,4,7,4,9,2,2
1,1,8,6,4,5,23,28,Caucasian,Caucasian,7,8,7,8,7,8,5,6,5,8,5,4
0,1,,6,,7,30,25,Black,Asian,,5,,8,,9,,8,,9,,7
0,1,2,8,6,8,27,30,Asian,Asian,2,8,4,10,4,10,5,8,4,8,4,
0,1,10,10,5,10,24,24,Caucasian,Caucasian,10,10,10,10,10,10,10,10,10,10,10,10
1,0,7,8,8,3,24,38,Latino,Caucasian,7,7,6,9,8,8,7,9,7,8,6,9
1,1,8,7,7,7,23,23,Caucasian,Caucasian,7,7,9,10,8,10,8,6,7,8,6,7
1,1,7,7,3,8,27,28,Caucasian,Caucasian,7,7,8,9,8,8,4,8,5,6,8,6
0,0,6,7,7,6,34,24,Caucasian,Caucasian,6,9.5,9,7,8,7,7,8,4,9,5,6
1,0,7,7,4,7,27,21,Caucasian,Caucasian,8,5,8,10,9,9,9,5,8,10,7,
0,0,7,7,7,7,26,22,Caucasian,Caucasian,6,8,8,8,6,8,6,7,6,7,5,6
1,1,8,7,5,6,29,25,Caucasian,Caucasian,10,7,10,9,10,9,10,7,10,9,5,
1,0,5,2,5,6,31,24,Caucasian,Caucasian,5,6,5,6,5,8,5,4,5,10,5,1
0,1,7,7,7,6,26,25,Caucasian,Asian,9,6,8,9,8,8,7,8,,9,7,1
0,0,7,6,5,6,30,29,Caucasian,Caucasian,6,6,9,8,6,7,6,4,6,8,4,5
1,0,8,6,6,6,24,25,Asian,Asian,7,7,7,8,8,7,8,5,8,5,7,5
1,0,8,3,6,5,28,25,Caucasian,Latino,5,3,8,5,9,7,8,4,7,8,6,2
0,0,4,2,6,6,24,29,Caucasian,Caucasian,3,3,8,3,5,4,4,3,2,8,7,2
0,1,8,6,8,8,28,28,Caucasian,Caucasian,6,8,10,8,9,8,8,5,8,5,9,5
1,0,7,8,6,6,27,25,Asian,Asian,7,6,7,8,7,9,6,7,,9,,6
1,0,7,6,7,8,27,22,Caucasian,Caucasian,7,7,9,6,9,7,9,5,7,7,6,3
0,0,4,6,5,5,21,30,Caucasian,Other,6,8,9,7,8,7,9,5,8,5,8,7
0,1,7,10,7,10,24,23,Caucasian,Caucasian,9,10,9,10,9,10,10,10,8,10,5,10
1,0,5,8,3,10,25,23,Caucasian,Caucasian,8,7,1,10,5,8,5,10,5,8,0,7
0,1,6,9,7,9,27,28,Latino,Caucasian,7,8,9,10,6,9,5,9,3,10,5,9
0,1,7,10,5,9,26,28,Caucasian,Caucasian,7,10,9,10,8,10,7,10,7,10,,9
0,1,7,8,8,5,30,23,Caucasian,Caucasian,7,7,9,7,7,8,6,9,5,9,6,8
1,0,8,7,5,8,28,27,Latino,Caucasian,8,7,10,5,9,5,8,3,5,3,3,5
0,0,4,5,3,1,26,29,Asian,Caucasian,4,7,5,7,6,9,5,3,5,9,4,0
1,1,6,10,6,9,22,22,Caucasian,Black,5,9,7,9,8,10,6,10,6,9,7,
1,0,7,5,1,2,23,22,Other,Asian,10,5,7,6,8,9,7,8,8,8,5,5
1,0,7,5,6,1,25,29,Caucasian,Caucasian,8,5,7,9,7,10,7,5,5,9,5,5
1,0,6,3,4,5,30,23,Asian,Caucasian,6,2,6,7,5,10,6,2,5,10,4,2
1,0,8,5,7,5,29,27,Asian,Asian,8,7,9,7,7,8,8,8,6,8,7,3
1,0,4,5,4,1,27,29,Asian,Caucasian,5,3,5,10,5,10,4,3,5,10,4,0
0,1,9,9,10,7,33,27,Caucasian,Caucasian,5,9,10,9,8,9,8,9,7,9,7,9
0,0,5,5,6,5,27,24,Other,Asian,5,5,5,7,7,7,6,6,6,7,7,7
1,0,7,1,4,1,33,26,Asian,Asian,8,2,6,10,7,5,6,1,7,5,4,2
1,0,6,5,3,5,23,29,Asian,Asian,5,6,6,8,6,8,5,7,7,9,5,3
0,1,5,7,1,1,33,55,Asian,Asian,5,8,9,7,9,8,5,8,4,8,2,6
0,0,8,5,3,3,23,29,Caucasian,Asian,5,5,,5,,3,,4,9,1,5,2
1,0,7,6,6,7,23,27,Caucasian,Latino,5,6,8,8,7,7,7,3,8,3,5,6
0,0,6,6,4,4,30,25,Caucasian,Caucasian,6,6,6,7,7,7,6,6,6,8,6,5
0,0,8,3,8,6,28,27,Caucasian,Caucasian,9,3,10,6,10,7,10,5,8,4,5,1
1,0,7,5,6,10,31,25,Asian,Latino,7,2,5,10,9,10,8,7,9,10,,1
1,0,9,5,6,4,29,27,Black,Latino,10,5,10,6,10,6,10,4,9,,8,6
1,0,9,6,8,,32,26,Latino,Caucasian,8,8,8,9,8,8,8,6,8,7,6,7
1,0,8,7,6,5,24,30,Asian,Black,7,4,6,10,7,9,7,5,7,7,5,5
1,1,8,7,5,7,29,29,Asian,Asian,8,5,8,5,8,5,8,8,8,5,8,5
1,1,7,7,8,7,28,30,Caucasian,Asian,6,7,8,7,9,7,7,7,8,7,6,6
1,0,7,6,6,7,29,25,Caucasian,Other,8,3,7,8,7,8,6,4,6,8,8,8
0,1,5,,5,,29,26,Latino,Caucasian,6,5,6,7,6,7,6,7,6,7,6,
0,0,10,5,2,5,30,24,Other,Caucasian,10,7,10,6,10,8,10,5,10,7,1,1
0,1,6,7,2,5,20,24,Asian,Caucasian,9,9,8,10,9,8,8,10,,9,5,8
0,1,6,10,6,8,30,34,Caucasian,Asian,8,10,8,9,9,10,6,10,9,10,5,9
1,0,7,6,6,2,32,25,Other,Asian,7,4,7,4,6,8,5,6,5,7,5,3
1,0,9,8,10,9,26,24,Asian,Caucasian,9,6,8,9,8,8,8,8,8,10,8,6
1,0,7,6,6,5,25,26,Caucasian,Caucasian,6,5,8,8,5,8,6,7,5,7,7,6
1,0,8,6,8,5,23,23,Caucasian,Asian,8,6,10,7,10,8,8,7,7,9,7,6
0,0,7,5,3,5,27,26,Asian,Caucasian,5,5,8,5,9,4,6,2,8,8,6,1
0,0,2,3,5,3,24,25,Asian,Caucasian,6,5,6,8,7,10,4,3,4,8,6,3
1,1,8,6,5,7,24,25,Asian,Black,7,8,9,7,9,8,7,8,9,7,7,6
1,0,7,7,8,5,36,26,Asian,Caucasian,7,7,9,7,8,7,8,6,8,7,6,5
0,1,5,9,1,1,25,26,Asian,Latino,5,4,10,3,10,9,10,4,10,9,5,5
0,0,6,6,2,4,26,24,Asian,Caucasian,6,6,7,9,6,8,7,4,,9,5,6
0,0,7,4,,3,26,22,Caucasian,Asian,4,5,10,7,9,5,5,4,,6,2,3
1,1,8,7,7,7,24,23,Other,Asian,8,5,9,5,8,8,8,7,9,6,7,6
1,1,10,8,10,10,23,27,Caucasian,Asian,9,10,7,10,9,10,8,9,8,5,6,6
0,0,3,4,6,5,29,22,Caucasian,Asian,6,5,9,4,9,6,6,6,8,5,7,4
0,0,6,3,1,3,22,24,Asian,Other,5,5,7,5,7,8,7,6,4,8,2,3
1,1,6,8,6,6,32,26,Caucasian,Caucasian,7,8,7,9,6,9,6,10,6,10,6,8
1,1,8,8,10,9,22,22,Caucasian,Caucasian,9,6,6,4,10,8,9,10,8,7,8,8
0,1,6,6,6,5,24,25,Caucasian,Asian,7,4,7,9,7,4,8,7,5,8,5,4
1,0,6,5,5,7,23,30,Asian,Latino,6,4,7,9,6,8,8,6,5,7,4,2
1,0,8,5,8,5,23,23,Asian,Caucasian,7,7,10,9,6,9,7,7,6,10,0,2
0,0,7,5,5,5,24,26,Asian,Latino,8,7,8,9,8,7,8,7,8,6,5,
1,1,7,7,8,5,23,27,Asian,Asian,5,5,8,6,7,5,7,5,6,5,6,6
1,0,9,3,8,1,24,29,Caucasian,Latino,7,1,9,5,8,5,10,4,6,5,5,3
1,1,8,5,8,7,30,23,Caucasian,Caucasian,8,7,7,5,7,7,9,7,6,7,6,9
0,1,6,6,6,7,30,23,Caucasian,Caucasian,6,7,6,8,7,9,8,5,10,7,1,5
0,0,7,6,3,5,30,28,Caucasian,Other,2,7,10,7,8,7,10,5,2,5,4,5
1,0,8,5,5,5,28,,Caucasian,Caucasian,8,7,8,9,6,9,7,6,7,8,6,7
0,0,6,6,3,8,30,26,Caucasian,Caucasian,6,6,7,8,7,8,7,6,4,8,6,5
1,0,7,4,5,3,27,28,Black,Asian,5,5,7,5,8,6,7,3,8,5,7,3
1,1,8,7,7,5,25,23,Caucasian,Caucasian,7,7,,7,5,8,5,7,5,7,4,7
