Year,Gender,Smoke,Award,HigherSAT,Exercise,TV,Height,Weight,Siblings,BirthOrder,VerbalSAT,MathSAT,SAT,GPA,Pulse,Piercings
Sophomore,F,No,Olympic,Verbal,2,5,70,145,0,1,550,500,1050,3,80,2
FirstYear,F,No,Olympic,Math,7,8,60,98,2,2,490,550,1040,3.1,85,5
FirstYear,M,No,Olympic,Math,15,2,71,150,1,1,590,650,1240,2.94,60,0
Junior,M,No,Olympic,Verbal,5,14,73,159,1,1,620,620,1240,3.31,61,0
Senior,M,No,Olympic,Verbal,7,20,72,174,1,2,560,550,1110,3.3,80,0
Sophomore,M,No,Olympic,Math,15,20,74,160,1,2,630,690,1320,2.9,70,0
Senior,M,No,Olympic,Math,8,10,70,165,1,2,600,630,1230,3.4,61,0
Sophomore,F,No,Olympic,Math,14,3,69,161,1,2,550,650,1200,3.16,58,2
FirstYear,M,No,Olympic,Verbal,14,1,68,160,2,1,590,580,1170,,42,0
Senior,F,No,Nobel,Math,4,14,64,130,2,2,640,730,1370,3.84,88,4
Junior,M,No,Olympic,Math,15,0,72,175,2,1,650,670,1320,3.6,68,1
Senior,M,No,Olympic,Math,4,20,70,255,2,2,420,520,940,2.36,68,0
Junior,M,No,Olympic,Verbal,15,2,65,160,4,4,500,480,980,2.9,35,0
FirstYear,M,No,Academy,Verbal,3,6,72,160,0,1,620,600,1220,3,90,0
Junior,F,No,Academy,Math,3,15,63,95,0,1,600,660,1260,3.3,88,4
Sophomore,F,No,Olympic,Math,15,3,64,115,2,2,580,680,1260,3.7,67,2
Sophomore,F,No,Academy,Math,20,2,64,120,1,1,490,520,1010,2.9,71,2
FirstYear,F,No,Nobel,Verbal,3,1,65,135,2,3,630,620,1250,3.6,68,2
Sophomore,M,No,Academy,Math,6,7,73,180,1,2,600,670,1270,3.56,73,0
Senior,M,No,Nobel,Math,12,7,71,155,0,1,590,610,1200,3.7,55,2
FirstYear,F,No,Olympic,Verbal,4,3,66,110,2,1,550,520,1070,4,78,5
FirstYear,M,No,Olympic,Verbal,20,12,73,215,2,3,600,600,1200,3.4,96,0
FirstYear,M,No,Olympic,Math,15,6,70,175,2,3,500,540,1040,,63,0
Sophomore,F,No,Olympic,Math,10,3,65,140,3,4,600,650,1250,3.3,73,5
FirstYear,M,No,Olympic,Verbal,10,20,72,195,2,2,600,600,1200,3.1,60,1
Sophomore,M,No,Nobel,Verbal,4,8,73,185,2,1,650,530,1180,2.5,80,0
Sophomore,M,No,Nobel,Verbal,9,0,70,185,2,1,650,650,1300,3.2,96,0
Senior,M,No,Olympic,Verbal,12,12,79,209,1,1,560,520,1080,3.1,49,0
Senior,F,No,Olympic,Math,2,6,67,145,3,2,540,640,1180,3.5,62,5
Sophomore,F,No,Olympic,Verbal,15,4,66,140,1,1,640,600,1240,3,68,6
FirstYear,F,No,Nobel,Verbal,10,4,66,146,1,2,690,620,1310,3.25,52,5
FirstYear,F,No,Olympic,Verbal,7,6,68,130,2,1,600,580,1180,2.4,71,2
Sophomore,F,No,Nobel,Math,3,5,67,140,1,2,610,650,1260,3.22,72,2
FirstYear,F,No,Olympic,Verbal,4,3,66,130,1,1,610,420,1030,,65,1
FirstYear,F,No,Olympic,,15,3,66,140,1,1,600,600,1200,,90,0
Sophomore,F,No,Olympic,Math,8,8,65,160,3,3,580,640,1220,3.64,77,4
Sophomore,F,No,Nobel,Math,5,8,66,120,1,1,560,580,1140,3.5,68,2
Sophomore,M,No,Academy,Math,10,20,76,150,1,1,620,680,1300,2.5,60,0
Sophomore,M,No,Olympic,Math,15,5,69,155,1,1,620,660,1280,3.4,65,0
FirstYear,F,No,Olympic,Math,4,4,64,128,3,1,630,650,1280,,60,2
FirstYear,F,No,Olympic,Math,5,4,64,143,2,2,430,610,1040,3.25,84,3
Junior,F,No,Nobel,Verbal,6,3,65,155,2,1,640,640,1280,3.7,80,7
FirstYear,F,No,Olympic,Math,18,2,67,119,2,1,490,590,1080,2.1,66,1
Sophomore,F,No,Academy,Math,16,4,66,138,1,2,550,560,1110,2.8,70,7
Senior,M,No,Academy,Verbal,4,5,72,240,1,1,690,550,1240,3.49,70,0
FirstYear,F,No,Nobel,Verbal,3,2,65,160,1,1,550,550,1100,3.83,72,3
FirstYear,M,No,Olympic,Verbal,20,3,69,191,3,1,600,580,1180,,66,0
FirstYear,M,No,Nobel,Math,5,8,69,165,5,4,530,610,1140,2.7,69,0
Sophomore,M,No,Olympic,Math,10,6,73,200,2,3,520,620,1140,2.8,89,0
FirstYear,F,No,Olympic,Verbal,2,4,62,125,1,1,660,520,1180,3.13,79,2
Sophomore,F,No,Nobel,Verbal,4,5,69,140,2,3,800,680,1480,3.62,98,4
Sophomore,M,No,Nobel,Math,14,5,73,206,1,1,560,660,1220,2,48,0
FirstYear,M,No,Nobel,Math,7,5,76,275,1,2,610,640,1250,3.6,71,0
Sophomore,M,No,Olympic,Math,12,8,70,142,1,2,660,680,1340,4,51,0
Sophomore,F,No,Nobel,Verbal,14,2,67,140,6,7,650,550,1200,3.1,67,2
Sophomore,M,No,Nobel,Verbal,3,10,68,145,5,6,680,570,1250,2.6,66,0
Sophomore,M,No,Nobel,Math,5,4,72,128,1,1,550,600,1150,3.7,66,0
FirstYear,M,No,Olympic,Math,15,5,74,165,1,1,660,710,1370,3.57,60,0
Senior,F,No,Nobel,Verbal,5,20,62,140,1,1,650,550,1200,2.9,77,2
Sophomore,F,No,Nobel,Math,4,14,69,130,1,2,620,630,1250,3.15,80,2
FirstYear,M,No,Nobel,Math,8,2,70,170,3,2,530,590,1120,3.88,70,0
Sophomore,M,No,Olympic,Math,14,4,69,160,2,2,670,720,1390,3.5,65,0
Sophomore,M,No,Olympic,Math,5,8,72,165,2,2,640,710,1350,2.8,57,0
,F,No,Olympic,Verbal,12,7,78,145,1,1,680,640,1320,,37,4
Sophomore,M,No,Olympic,Math,15,5,67,155,1,2,670,700,1370,2.9,84,0
Sophomore,M,No,Olympic,Math,3,3,73,155,3,2,730,740,1470,3.21,56,0
Sophomore,F,No,Nobel,Math,12,1,63,113,1,2,580,600,1180,3.5,69,4
Sophomore,M,No,Olympic,Math,12,5,70,155,1,2,610,640,1250,3.33,62,0
Sophomore,M,No,Nobel,Math,6,20,,173,1,1,580,680,1260,3,79,0
Sophomore,M,No,Nobel,Math,2,8,65,195,2,1,620,630,1250,3.5,55,0
Sophomore,F,No,Nobel,Verbal,3,3,73,120,1,1,680,670,1350,3.95,89,0
FirstYear,M,No,Olympic,Math,24,6,78,225,2,1,570,670,1240,2.1,78,0
FirstYear,F,No,Nobel,Verbal,3,1,65,160,1,2,500,450,950,3,83,5
Sophomore,F,No,Nobel,Verbal,6,1,63,120,2,1,800,750,1550,3,58,3
Sophomore,F,No,Nobel,Verbal,12,10,68,138,1,2,610,540,1150,3.75,77,4
Sophomore,M,No,Nobel,,18,3,72,260,2,3,550,550,1100,2.5,50,1
Sophomore,M,No,Nobel,Math,2,7,70,150,2,3,600,620,1220,3.4,87,0
FirstYear,F,No,Nobel,Verbal,12,3,67,135,3,4,660,550,1210,3.4,74,7
Sophomore,F,No,Nobel,Verbal,5,10,72,165,1,1,640,560,1200,3.14,76,7
FirstYear,M,No,Olympic,Math,3,3,68,142,3,4,560,580,1140,2.6,50,0
Sophomore,M,No,Nobel,Verbal,3,3,78,210,6,5,600,600,1200,3.4,70,0
Sophomore,M,No,Olympic,Math,21,25,69,171,1,1,480,530,1010,2.7,84,0
Sophomore,F,No,Olympic,Verbal,12,2,80,150,4,1,650,600,1250,3.15,68,2
Sophomore,M,No,Olympic,Math,3,15,71,188,3,1,520,600,1120,2.2,66,0
Sophomore,M,No,Nobel,Verbal,20,6,70,195,0,1,640,640,1280,3.5,76,0
FirstYear,M,No,Olympic,Math,8,13,75,230,2,1,610,620,1230,2.9,65,0
Sophomore,F,No,Olympic,Verbal,2,3,64,140,2,3,450,400,850,2.5,65,4
Sophomore,M,No,Nobel,Verbal,15,2,78,200,1,1,700,600,1300,3.5,68,0
Senior,F,No,Nobel,Math,6,5,68,140,0,1,540,680,1220,3.6,78,2
FirstYear,F,No,Nobel,Verbal,2,1,69,180,5,3,550,540,1090,3.1,74,2
Sophomore,F,No,Nobel,Math,1,4,63,160,1,1,640,680,1320,3,76,4
Sophomore,F,No,Olympic,Verbal,13,5,64,135,3,2,560,540,1100,3,79,5
Sophomore,F,No,Nobel,Math,12,10,63,140,2,3,530,700,1230,3.8,81,4
Sophomore,F,No,Olympic,Math,10,4,72,155,2,1,620,650,1270,3.15,56,2
Sophomore,M,No,Nobel,Math,10,3,63,235,5,3,550,560,1110,2.75,48,0
FirstYear,F,No,Olympic,Math,10,2,63,140,3,2,520,540,1060,2.8,68,4
Sophomore,F,No,Nobel,Verbal,3,4,68,130,2,3,660,580,1240,3,62,2
Junior,F,No,Olympic,Math,2,3,67,125,5,4,470,600,1070,3.1,70,2
FirstYear,M,No,Olympic,Math,10,3,71,222,1,1,570,580,1150,2.27,46,0
FirstYear,F,No,Academy,Verbal,4,3,65,128,3,1,560,550,1110,2.8,88,2
FirstYear,M,No,Olympic,Math,8,2,72,183,2,2,520,540,1060,3.02,68,0
Junior,M,No,Olympic,Verbal,18,20,75,175,0,1,560,500,1060,2.93,74,0
FirstYear,F,No,Nobel,Verbal,5,3,59,125,1,1,600,600,1200,3.2,88,2
Sophomore,F,No,Academy,Math,4,4,69,156,1,1,400,420,820,3,67,3
FirstYear,F,No,Olympic,Math,20,3,63,145,3,4,540,630,1170,3,61,0
Sophomore,M,No,Olympic,Math,14,4,74,195,4,2,400,460,860,2.7,62,0
Sophomore,M,No,Olympic,Math,8,13,70,185,2,1,530,725,1255,3.2,69,0
FirstYear,F,No,Nobel,Math,4,5,64,150,1,1,530,600,1130,2.9,59,5
Sophomore,F,No,Nobel,Math,5,5,67,140,0,,517,561,1078,3,79,2
FirstYear,M,No,Olympic,Verbal,14,4,66,150,1,1,620,580,1200,2.72,56,0
FirstYear,F,No,Nobel,Math,4,3,67,150,0,1,590,640,1230,3.3,85,2
Sophomore,M,No,Nobel,Math,4,10,73,220,1,2,590,610,1200,,72,0
Senior,M,No,Olympic,Verbal,15,10,71,195,2,3,620,600,1220,2.22,69,0
Sophomore,F,No,Olympic,Math,12,7,66,140,1,2,540,690,1230,3.26,61,2
FirstYear,F,No,Academy,Math,10,10,68,135,2,3,490,540,1030,3.5,95,7
Sophomore,F,No,Olympic,Verbal,6,3,67,138,1,1,540,520,1060,3.1,58,2
Senior,F,No,Olympic,Verbal,12,5,69,170,2,3,640,600,1240,3.3,57,2
Sophomore,F,No,Olympic,Verbal,10,2,66,145,1,1,620,620,1240,3.29,80,2
FirstYear,M,No,Olympic,Verbal,14,5,68,135,2,3,680,540,1220,,60,0
FirstYear,F,No,Nobel,Verbal,5,4,68,140,0,1,800,670,1470,3.69,69,2
Sophomore,M,No,Olympic,Math,18,5,71,155,2,2,510,650,1160,2.65,73,0
Senior,M,No,Olympic,Math,10,10,70,155,1,2,620,690,1310,3.25,62,0
Sophomore,M,No,Olympic,Verbal,8,2,66,155,1,1,670,650,1320,2.8,64,0
Sophomore,F,No,Nobel,Verbal,8,10,65,135,2,3,560,510,1070,3.36,86,2
Junior,M,No,Nobel,Verbal,3,15,70,165,1,1,630,600,1230,2.97,73,0
FirstYear,M,No,Academy,Math,5,20,71,160,2,1,590,740,1330,3.31,71,0
Sophomore,M,No,Nobel,Verbal,4,21,71,175,1,1,630,620,1250,3.05,72,0
Sophomore,M,No,Olympic,Math,8,10,70,183,3,2,470,500,970,2.2,84,4
Sophomore,F,No,Nobel,Verbal,3,10,65,140,2,3,550,540,1090,3.3,120,4
Sophomore,F,No,Nobel,Verbal,12,4,67,140,1,1,690,660,1350,3.45,77,6
Junior,F,No,Nobel,Math,5,10,61,110,2,2,660,700,1360,3.83,80,4
Sophomore,F,No,Nobel,Verbal,5,3,68,125,0,1,600,590,1190,3,80,4
Senior,F,No,Olympic,Verbal,15,2,65,125,2,2,700,560,1260,3.35,54,8
FirstYear,M,No,Olympic,Math,10,7,70,180,2,3,660,690,1350,2.4,54,0
Sophomore,M,No,Olympic,Math,10,10,72,195,2,3,540,650,1190,3.1,78,0
Sophomore,F,No,Academy,Math,10,6,66,128,3,3,520,630,1150,3.4,72,2
FirstYear,M,No,Olympic,Math,14,2,71,172,1,1,550,580,1130,2.82,78,0
Sophomore,F,No,Olympic,Math,6,4,64,150,1,1,600,620,1220,2.9,69,2
Sophomore,M,No,Olympic,Math,4,27,73,188,1,1,600,640,1240,3.4,80,0
Sophomore,F,No,Olympic,Verbal,14,2,60,110,2,1,520,480,1000,3.2,76,7
Sophomore,F,No,Olympic,Math,5,15,64,125,1,1,490,610,1100,3.2,74,5
Sophomore,F,No,Olympic,Math,16,10,65,135,3,1,600,650,1250,3.8,70,0
FirstYear,F,No,Olympic,Verbal,14,3,65,130,2,2,620,520,1140,3.57,72,2
Sophomore,M,No,Olympic,Math,10,10,73,230,2,2,530,620,1150,3.33,60,0
Sophomore,M,No,Nobel,Math,11,10,69,198,1,2,550,620,1170,2.9,71,0
Sophomore,F,No,Olympic,,4,10,66,127,1,2,600,600,1200,3.2,70,0
Sophomore,M,No,Olympic,Math,12,5,66,150,1,2,610,680,1290,3.1,53,1
Sophomore,M,No,Olympic,Math,5,4,73,175,3,1,550,600,1150,3.25,70,0
Junior,M,No,Nobel,Math,8,14,71,160,3,4,560,580,1140,3.4,75,0
Junior,F,No,Nobel,Math,8,6,65,140,2,3,670,710,1380,3.8,84,2
Sophomore,M,No,Nobel,Verbal,3,5,75,200,1,1,610,600,1210,3.38,66,0
Sophomore,F,No,Nobel,Math,8,2,63,130,1,1,660,720,1380,3.88,72,4
Sophomore,M,No,Olympic,Math,20,14,74,210,3,3,630,660,1290,2.75,70,0
Sophomore,M,No,Olympic,Math,10,5,70,210,2,2,520,580,1100,2.9,49,0
Sophomore,F,No,Nobel,Math,3,3,63,145,4,5,670,750,1420,3.6,81,5
Sophomore,M,No,Olympic,Math,4,6,75,156,3,1,550,710,1260,2.8,77,0
FirstYear,M,No,Olympic,Math,8,10,71,207,0,1,560,680,1240,2.2,72,1
FirstYear,F,No,Olympic,Math,15,5,68,150,1,2,390,410,800,,38,4
Sophomore,F,No,Olympic,Verbal,14,10,68,137,2,2,600,500,1100,3.3,60,0
FirstYear,M,No,Olympic,Math,14,2,72,153,2,3,560,690,1250,2.85,64,0
Junior,F,No,Nobel,Math,12,5,63,175,2,3,610,660,1270,3.37,65,2
Sophomore,F,No,Nobel,Math,6,2,65,136,3,1,710,760,1470,3.5,72,2
Sophomore,F,No,Nobel,Verbal,3,10,65,104,2,2,710,680,1390,3.55,54,6
FirstYear,F,No,Olympic,Math,12,3,67,122,3,4,560,640,1200,3.2,82,2
Sophomore,M,No,Nobel,Math,5,40,72,192,1,1,600,630,1230,2.47,82,0
FirstYear,M,No,Olympic,Math,8,10,71,218,1,2,540,560,1100,2.72,62,0
Sophomore,M,No,Nobel,Math,1,14,68,170,4,5,600,640,1240,3.4,52,0
FirstYear,M,No,Nobel,Verbal,10,4,72,220,2,2,600,570,1170,,66,0
Sophomore,F,No,Academy,Math,7,2,64,150,1,1,550,560,1110,3.4,55,5
Senior,M,No,Olympic,Verbal,5,7,71,135,4,3,550,550,1100,3.1,63,0
Senior,F,No,Nobel,Math,10,2,62,155,1,1,620,660,1280,3.1,78,2
Sophomore,F,No,Olympic,Math,12,5,65,135,1,1,550,650,1200,2.94,65,3
Sophomore,M,No,Olympic,Math,15,15,68,140,1,2,570,580,1150,3,64,0
FirstYear,F,No,Olympic,Verbal,10,5,67,120,1,1,530,520,1050,,70,2
Sophomore,F,No,Olympic,Math,7,12,68,135,3,1,570,600,1170,3.6,70,2
Sophomore,F,No,Nobel,Math,,4,64,135,1,1,620,640,1260,3.6,65,2
Sophomore,M,No,Nobel,Math,15,0,72,165,2,1,520,670,1190,3.5,71,0
Junior,M,No,Olympic,Math,10,15,71,180,1,2,620,640,1260,3.4,54,0
Sophomore,M,No,Olympic,Math,15,0,72,165,2,1,520,670,1190,3.5,71,0
Sophomore,M,No,Olympic,Math,12,6,72,175,2,2,680,750,1430,3,54,0
Sophomore,M,No,Olympic,Math,10,5,71,200,1,2,630,710,1340,2.75,70,0
Sophomore,M,No,Nobel,Verbal,12,10,71,138,0,1,730,650,1380,3.56,65,0
Senior,M,No,Olympic,Math,5,3,71,265,1,1,440,460,900,2.7,82,0
Sophomore,F,No,Academy,Math,14,16,61,105,1,2,670,700,1370,3.68,63,2
Sophomore,F,No,Nobel,Math,3,9,68,130,3,3,500,560,1060,3.5,71,4
Sophomore,M,No,Olympic,Verbal,12,2,70,165,1,1,630,560,1190,3.5,75,0
Sophomore,F,No,Nobel,Verbal,15,5,67,145,1,2,680,620,1300,3.4,60,5
FirstYear,F,No,Academy,Math,3,6,64,138,1,1,530,580,1110,2.6,54,2
Sophomore,F,No,Olympic,Verbal,25,12,71,193,2,2,630,620,1250,3.25,68,0
Sophomore,M,No,Nobel,Math,5,1,71,170,1,1,600,620,1220,3.3,70,0
Sophomore,M,No,Nobel,Verbal,6,0,69,155,1,1,700,560,1260,3.2,90,0
Sophomore,M,No,Olympic,Math,27,2,70,155,1,1,590,620,1210,2.9,72,0
Junior,F,No,Nobel,Verbal,8,10,65,140,2,1,670,670,1340,3.85,41,2
Sophomore,F,No,Nobel,Verbal,3,1,65,130,1,1,780,640,1420,3.4,80,0
Sophomore,M,No,Olympic,Verbal,17,14,72,180,3,3,660,620,1280,3.4,68,0
FirstYear,M,No,Olympic,Verbal,40,2,67,140,2,2,600,580,1180,,64,2
Sophomore,M,No,Academy,Math,5,10,74,210,1,2,510,530,1040,2.7,78,0
Sophomore,M,No,Nobel,Verbal,0,7,,150,0,1,800,740,1540,3.81,65,0
Sophomore,F,No,Nobel,Verbal,27,2,62,115,1,2,740,660,1400,3.4,64,9
Sophomore,M,No,Nobel,Verbal,3,5,75,225,3,1,780,620,1400,3.23,78,0
FirstYear,M,No,Academy,Math,3,7,67,170,2,3,440,560,1000,3.1,42,0
Sophomore,F,No,Olympic,Verbal,11,20,63,120,0,1,700,550,1250,2.89,60,6
Senior,M,No,Nobel,Verbal,2,4,71,170,1,1,660,560,1220,2.81,59,0
Sophomore,F,No,Academy,Verbal,9,1,63,130,2,3,520,510,1030,3,54,4
FirstYear,M,No,Nobel,Math,12,8,70,182,1,2,600,620,1220,3.77,70,0
Sophomore,M,No,Nobel,Verbal,15,2,67,138,1,2,760,640,1400,3.3,52,0
Sophomore,M,No,Nobel,Math,2,5,74,180,2,1,680,740,1420,3,88,0
Sophomore,M,No,Olympic,Math,20,6,69,230,0,1,520,590,1110,2.9,60,5
Junior,M,No,Olympic,Math,12,5,70,222,2,1,510,730,1240,3.5,66,5
FirstYear,M,No,Academy,Verbal,5,2,70,145,4,4,600,600,1200,3.6,55,0
Sophomore,M,No,Nobel,Math,10,4,70,150,1,1,650,680,1330,3.7,74,0
Senior,M,No,Nobel,Verbal,2,2,68,190,0,1,700,670,1370,3.2,59,0
Sophomore,M,No,Olympic,Verbal,12,20,76,195,3,1,650,620,1270,2.87,84,0
Sophomore,F,No,Nobel,Verbal,5,2,59,115,1,2,520,520,1040,3.3,68,0
Junior,F,No,Olympic,Verbal,3,1,66,140,1,2,580,530,1110,3.3,74,2
Sophomore,M,No,Nobel,Verbal,12,10,68,155,1,1,600,600,1200,3.45,58,0
Sophomore,M,No,Nobel,Math,8,3,72,150,2,1,520,710,1230,3.1,62,0
Sophomore,M,No,Academy,Math,8,4,69,155,2,1,750,780,1530,3.71,84,0
Sophomore,M,No,Nobel,Verbal,5,3,,130,2,1,650,650,1300,3.3,72,0
FirstYear,M,No,Olympic,Math,6,14,75,210,3,2,550,580,1130,3.3,52,0
,F,No,Nobel,Verbal,8,10,63,105,3,1,650,600,1250,,80,6
Junior,M,No,Olympic,,10,10,71,192,1,1,640,640,1280,3.73,68,0
FirstYear,F,No,Olympic,Math,18,3,72,220,3,4,660,670,1330,3.13,71,2
Junior,F,No,Nobel,Verbal,12,0,64,134,1,2,640,640,1280,3.89,55,2
Sophomore,M,No,Olympic,Math,10,5,68,160,1,1,530,650,1180,3.05,68,0
Junior,M,No,Nobel,Verbal,10,5,68,135,1,1,690,650,1340,3.2,61,0
Sophomore,M,No,Olympic,Verbal,5,2,67,140,1,1,630,610,1240,3.25,80,0
Sophomore,F,No,Olympic,Verbal,7,2,66,135,0,1,600,550,1150,2.9,66,5
FirstYear,M,No,Olympic,Math,3,5,74,145,1,2,560,620,1180,3,70,0
FirstYear,F,No,Olympic,Verbal,7,4,64,140,2,1,720,690,1410,3.5,78,4
Sophomore,F,No,Nobel,Math,3,2,,,2,2,610,640,1250,3.5,88,2
Sophomore,F,No,Academy,Verbal,4,3,65,138,2,2,720,690,1410,3.6,72,2
FirstYear,F,No,Nobel,Verbal,8,4,64,,2,2,590,560,1150,3.4,65,5
Sophomore,F,No,Olympic,Verbal,7,5,64,130,2,2,620,570,1190,3.25,63,5
Senior,M,No,Nobel,Math,7,9,72,210,2,2,550,690,1240,2.7,70,0
Senior,M,No,Nobel,Verbal,3,1,69,233,1,1,800,670,1470,3.78,72,0
FirstYear,F,No,Olympic,Math,7,7,70,180,6,7,670,690,1360,4,63,2
FirstYear,M,No,Olympic,Math,14,6,67,185,1,1,550,600,1150,3,68,0
Sophomore,M,No,Olympic,Verbal,5,6,76,189,3,2,620,470,1090,3.3,64,1
FirstYear,F,No,Olympic,Math,14,5,66,127,1,1,520,620,1140,2.8,64,6
Senior,M,No,Nobel,Math,5,4,63,135,1,1,440,640,1080,2.5,60,0
Sophomore,F,No,Academy,Verbal,5,5,66,140,0,1,720,700,1420,3.5,68,6
Sophomore,F,No,Nobel,Math,2,20,68,162,2,1,390,530,920,2.8,70,2
Sophomore,F,No,Nobel,Verbal,1,3,67,215,0,1,560,560,1120,3.4,63,4
Senior,M,No,Olympic,Math,15,5,73,200,2,1,570,610,1180,3,57,0
Sophomore,F,No,Nobel,Verbal,5,1,62,120,1,1,660,600,1260,3.27,84,2
FirstYear,M,No,Nobel,Math,5,2,67,165,3,4,620,640,1260,3.5,74,5
FirstYear,M,No,Olympic,Verbal,15,14,71,175,2,3,660,570,1230,3,61,0
Sophomore,F,No,Olympic,Verbal,5,3,66,160,2,1,630,610,1240,3.6,78,5
Sophomore,M,No,Nobel,Verbal,20,0,68,145,1,2,610,600,1210,3.25,65,0
Junior,F,No,Academy,Math,3,5,60,180,3,4,540,680,1220,3,68,0
FirstYear,F,No,Nobel,Verbal,7,0,71,170,1,1,570,570,1140,2.75,76,6
Sophomore,M,No,Olympic,Math,20,10,75,235,2,1,600,670,1270,2.9,54,0
Sophomore,F,No,Olympic,,10,10,65,155,1,1,600,600,1200,3,56,3
Senior,M,No,Nobel,Math,6,15,65,140,3,3,530,640,1170,3,88,0
Sophomore,F,No,Olympic,Math,6,1,66,145,2,2,560,580,1140,2.9,77,3
FirstYear,M,No,Nobel,Verbal,10,3,71,175,2,2,560,560,1120,3.36,52,1
Sophomore,M,No,Olympic,Math,9,6,76,210,2,2,500,580,1080,3.25,62,0
FirstYear,F,No,Olympic,Verbal,1.5,20,67,130,1,1,560,480,1040,3.5,80,2
Sophomore,M,No,Olympic,Math,20,28,72,195,1,1,500,700,1200,2.76,60,0
Sophomore,M,No,Nobel,Math,8,3,67,165,1,2,640,650,1290,,67,0
Sophomore,M,No,Olympic,Verbal,21,1,73,180,6,3,660,570,1230,2.75,51,0
Sophomore,F,No,Olympic,Verbal,10,5,60,145,1,2,550,550,1100,3.25,81,2
Sophomore,M,No,Nobel,Math,8,12,70,163,2,1,630,680,1310,3,62,0
Junior,M,No,Olympic,Verbal,10,1,75,160,1,2,700,600,1300,2.8,84,0
Junior,F,No,Olympic,,18,7,67,150,1,1,560,560,1120,3.4,75,5
