"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Bibb Medical Center","Centreville","AL","Government","-1","None","None","None","None","Below","Above","None","0","Unknown","Unknown","17905","Average","Average","14310","Average","Lower","0","Unknown","Unknown"
"Lawrence Medical Center","Moulton","AL","Government","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","15996","Average","Average","16653","Average","Average","0","Unknown","Unknown"
"Highlands Medical Center","Scottsboro","AL","Government","1","Same","Below","Below","Below","Same","Same","Same","0","Unknown","Unknown","14855","Average","Lower","14509","Average","Lower","24701","Average","Higher"
"Wiregrass Medical Center","Geneva","AL","Private","3","Same","None","Above","Same","Same","Above","None","0","Unknown","Unknown","14275","Average","Lower","14978","Average","Lower","0","Unknown","Unknown"
"Russell Medical Center","Alexander City","AL","Private","3","Same","Same","Above","Above","Same","Above","Same","23992","Average","Average","17752","Average","Average","18443","Average","Average","25474","Average","Higher"
"Medical Center Barbour","Eufaula","AL","Government","3","Same","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","14841","Average","Average","12835","Average","Lower","0","Unknown","Unknown"
"Clay County Hospital","Ashland","AL","Government","4","Same","None","Same","Above","Same","Same","None","0","Unknown","Unknown","15322","Average","Average","16250","Average","Average","0","Unknown","Unknown"
"Northeast Alabama Regional Medical Center","Anniston","AL","Government","2","Same","Above","Below","Same","Same","Below","Same","23858","Average","Average","15430","Average","Lower","16757","Average","Average","23461","Average","Higher"
"Athens Limestone Hospital","Athens","AL","Government","4","Same","Above","Above","Same","Same","Above","Below","0","Unknown","Unknown","14669","Average","Lower","15876","Average","Lower","23318","Average","Higher"
"South Baldwin Regional Medical Center","Foley","AL","Proprietary","3","Same","Same","Below","Above","Same","Same","Below","23186","Average","Average","16286","Average","Average","15260","Average","Lower","20144","Average","Lower"
"Decatur Morgan Hospital-decatur Campus","Decatur","AL","Government","3","Same","Above","Above","Same","Below","Below","Below","23363","Average","Average","14948","Average","Lower","16006","Average","Lower","22371","Average","Average"
"Northwest Medical Center","Winfield","AL","Proprietary","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","15243","Average","Average","15457","Average","Lower","0","Unknown","Unknown"
"University Of South Alabama Medical Center","Mobile","AL","Government","3","Same","Above","Below","Same","Same","Below","Below","0","Unknown","Unknown","15601","Average","Average","18856","Average","Average","0","Unknown","Unknown"
"Walker Baptist Medical Center","Jasper","AL","Private","2","Same","Same","Same","Below","Same","Above","Same","25214","Average","Average","15422","Average","Average","16503","Worse","Average","20826","Average","Lower"
"Providence Hospital","Mobile","AL","Church","2","Below","Below","Same","Same","Above","Same","Below","25291","Worse","Average","15325","Worse","Lower","16398","Average","Lower","21711","Average","Average"
"Grove Hill Memorial Hospital","Grove Hill","AL","Government","2","Same","None","Same","Same","Below","Same","Below","0","Unknown","Unknown","15998","Average","Average","16240","Average","Average","0","Unknown","Unknown"
"D C H Regional Medical Center","Tuscaloosa","AL","Government","2","Below","Above","Below","Below","Below","Below","Above","23789","Average","Average","17324","Average","Average","17067","Average","Average","24121","Average","Higher"
"Hale County Hospital","Greensboro","AL","Government","3","Same","None","Above","None","Below","Same","None","0","Unknown","Unknown","16332","Average","Average","15713","Average","Average","0","Unknown","Unknown"
"Elmore Community Hospital","Wetumpka","AL","Government","4","Same","None","Above","Same","Same","Above","None","0","Unknown","Unknown","14216","Average","Lower","13707","Average","Lower","0","Unknown","Unknown"
"D W Mcmillan Memorial Hospital","Brewton","AL","Government","3","Same","None","Same","Same","Same","Above","Same","23399","Average","Average","15482","Average","Average","16410","Worse","Average","0","Unknown","Unknown"
"Thomas Hospital","Fairhope","AL","Private","3","Same","Same","Above","Above","Same","Same","Below","22488","Average","Average","16982","Average","Average","16982","Average","Average","19567","Average","Lower"
"Citizens Baptist Medical Center","Talladega","AL","Private","3","Same","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","15057","Average","Average","16717","Average","Average","0","Unknown","Unknown"
"J Paul Jones Hospital","Camden","AL","Unknown","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","15309","Average","Average","0","Unknown","Unknown"
"Princeton Baptist Medical Center","Birmingham","AL","Church","2","Same","Below","Above","Below","Same","Below","Below","24603","Average","Average","16831","Average","Average","18449","Average","Average","24707","Average","Higher"
"Grandview Medical Center","Birmingham","AL","Proprietary","2","Same","Above","Below","Above","Above","Same","Same","22177","Average","Average","17573","Average","Average","19014","Average","Higher","20816","Average","Lower"
"Prattville Baptist Hospital","Prattville","AL","Government","3","Above","Same","Below","Same","Same","Below","Same","26147","Average","Average","16251","Better","Average","16593","Average","Average","0","Unknown","Unknown"
"Pickens County Medical Center","Carrollton","AL","Government","3","Same","None","Same","None","Same","Same","Same","0","Unknown","Unknown","15794","Average","Average","13761","Average","Lower","0","Unknown","Unknown"
"Bullock County Hospital","Union Springs","AL","Proprietary","-1","None","None","None","None","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Bryan W. Whitfield Memorial Hospital","Demopolis","AL","Government","3","Same","None","Same","None","Below","Same","Same","0","Unknown","Unknown","16744","Average","Average","17312","Average","Average","0","Unknown","Unknown"
"Mobile Infirmary Medical Center","Mobile","AL","Private","1","Same","Below","Below","Above","Same","Below","Below","22788","Average","Average","17664","Average","Higher","18321","Average","Higher","21994","Average","Average"
"Medical West, An Affiliate Of Uab Health System","Bessemer","AL","Government","3","Same","Same","Above","Below","Same","Same","Same","23781","Average","Average","15513","Average","Average","17445","Average","Average","21698","Average","Average"
"Vaughan Regional Medical Center Parkway Campus","Selma","AL","Proprietary","2","Same","Above","Same","Below","Same","Same","Above","22320","Average","Average","15207","Average","Lower","17052","Average","Average","0","Unknown","Unknown"
"Monroe County Hospital","Monroeville","AL","Government","4","Same","None","Above","Above","Same","Same","Same","0","Unknown","Unknown","15627","Average","Average","16555","Average","Average","0","Unknown","Unknown"
"Lakeland Community Hospital","Haleyville","AL","Church","5","Above","None","Above","Same","Same","Above","None","0","Unknown","Unknown","15667","Average","Average","13709","Better","Lower","0","Unknown","Unknown"
"Troy Regional Medical Center","Troy","AL","Government","2","Same","Same","Same","Same","Same","Same","Same","0","Unknown","Unknown","15017","Average","Average","15713","Worse","Lower","0","Unknown","Unknown"
"Jackson Medical Center","Jackson","AL","Proprietary","3","Same","None","Same","Same","Same","Above","None","0","Unknown","Unknown","16609","Average","Average","15475","Average","Average","0","Unknown","Unknown"
"North Baldwin Infirmary","Bay Minette","AL","Private","2","Same","None","Below","Same","Same","Below","Below","0","Unknown","Unknown","13737","Average","Lower","15115","Average","Lower","0","Unknown","Unknown"
"St Vincent's St Clair","Pell City","AL","Private","5","Same","None","Above","Above","Same","Same","Below","0","Unknown","Unknown","15483","Average","Average","15561","Average","Lower","0","Unknown","Unknown"
"Crestwood Medical Center","Huntsville","AL","Proprietary","2","Same","Below","Below","Below","Same","Below","Same","21174","Average","Lower","15663","Average","Average","15210","Average","Lower","21520","Average","Average"
"Hill Hospital Of Sumter County","York","AL","Unknown","-1","None","None","None","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Brookwood Baptist Medical Center","Birmingham","AL","Proprietary","3","Same","Above","Below","Below","Same","Same","Same","23022","Average","Average","16362","Average","Average","16574","Average","Average","21806","Average","Average"
"Springhill Memorial Hospital","Mobile","AL","Proprietary","1","Same","Below","Below","Same","Same","Below","Below","22208","Average","Average","17150","Average","Average","17128","Average","Average","23520","Average","Higher"
"Rmc Jacksonville","Jacksonville","AL","Proprietary","3","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","16777","Average","Average","0","Unknown","Unknown"
"Evergreen Medical Center","Evergreen","AL","Proprietary","3","Same","None","Same","Same","Same","Same","Same","0","Unknown","Unknown","13699","Average","Lower","15301","Average","Lower","0","Unknown","Unknown"
"Baptist Medical Center East","Montgomery","AL","Government","4","Same","Above","Same","Above","Same","Below","Same","26578","Average","Average","15956","Average","Average","16268","Better","Lower","0","Unknown","Unknown"
"L V Stabler Memorial Hospital","Greenville","AL","Proprietary","2","Same","Below","Below","Same","Same","Same","Same","0","Unknown","Unknown","15118","Average","Average","14794","Average","Lower","21007","Average","Average"
"Shoals Hospital","Muscle Shoals","AL","Government","3","Same","Same","Same","Same","Below","Above","Below","0","Unknown","Unknown","16052","Average","Average","16744","Average","Average","26047","Average","Higher"
"Russellville Hospital","Russellville","AL","Proprietary","3","Same","Above","Below","Same","Same","Above","Same","0","Unknown","Unknown","14446","Average","Lower","14553","Average","Lower","21921","Average","Average"
"Coosa Valley Medical Center","Sylacauga","AL","Unknown","2","Same","Same","Above","Below","Same","Same","Above","22743","Average","Average","17008","Average","Average","17177","Worse","Average","25118","Average","Higher"
"Jack Hughston Memorial Hospital","Phenix City","AL","Government","5","None","Above","Above","Above","Below","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","20821","Average","Higher","20830","Average","Lower"
"Atmore Community Hospital","Atmore","AL","Government","3","Same","None","Same","Same","Same","Above","Below","0","Unknown","Unknown","14937","Average","Lower","16864","Average","Average","0","Unknown","Unknown"
"St Vincent's Chilton","Clanton","AL","Church","-1","None","None","None","Above","Below","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Washington County Hospital","Chatom","AL","Government","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Red Bay Hospital","Red Bay","AL","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","19555","Average","Average","0","Unknown","Unknown"
"Choctaw General Hospital","Butler","AL","Private","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"St Vincents Blount","Oneonta","AL","Private","4","Same","None","Above","Same","Below","Same","None","0","Unknown","Unknown","17765","Average","Average","17373","Average","Average","0","Unknown","Unknown"
"Children's Hospital Of Alabama","Birmingham","AL","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"University Of S A Children's And Women's Hos","Mobile","AL","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Providence Alaska Medical Center","Anchorage","AK","Church","4","Same","Above","Above","Same","Below","Below","Above","23925","Average","Average","15169","Average","Lower","14136","Average","Lower","19274","Average","Lower"
"Mat-su Regional Medical Center","Palmer","AK","Unknown","3","Same","Same","Above","Same","Same","Same","Same","21695","Average","Average","13788","Average","Lower","13248","Average","Lower","18669","Average","Lower"
"Bartlett Regional Hospital","Juneau","AK","Government","4","Same","Same","Above","Above","Same","Same","Same","0","Unknown","Unknown","16575","Average","Average","13930","Average","Lower","18253","Average","Lower"
"Fairbanks Memorial Hospital","Fairbanks","AK","Private","5","Same","Above","Above","Same","Same","Same","Same","23917","Average","Average","13287","Average","Lower","14328","Average","Lower","17262","Average","Lower"
"Alaska Regional Hospital","Anchorage","AK","Proprietary","5","Same","Above","Above","Same","Same","Above","None","23733","Average","Average","15786","Average","Average","16098","Average","Average","17888","Average","Lower"
"Yukon Kuskokwim Delta Reg Hospital","Bethel","AK","Unknown","3","Same","None","Same","Below","Same","None","None","0","Unknown","Unknown","15154","Average","Average","11547","Average","Lower","0","Unknown","Unknown"
"Central Peninsula General Hospital","Soldotna","AK","Unknown","3","Same","Below","Above","Same","Same","Below","Same","0","Unknown","Unknown","15519","Average","Average","14719","Average","Lower","19782","Average","Lower"
"Alaska Native Medical Center","Anchorage","AK","Government","2","Same","Below","Above","Below","Same","Below","None","22695","Average","Average","15200","Average","Average","14902","Average","Lower","16861","Average","Lower"
"Providence Valdez Medical Center","Valdez","AK","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Providence Seward Hospital","Seward","AK","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Sitka Community Hospital","Sitka","AK","Government","-1","None","None","None","None","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Petersburg Medical Center","Petersburg","AK","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Wrangell Medical Center","Wrangell","AK","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Providence Kodiak Island Medical Ctr","Kodiak","AK","Church","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","19228","Average","Average","0","Unknown","Unknown"
"Cordova Community Medical Center","Cordova","AK","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Norton Sound Regional Hospital","Nome","AK","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","16290","Average","Average","0","Unknown","Unknown"
"Kanakanak Hospital","Dillingham","AK","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Maniilaq Health Center","Kotzebue","AK","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Ketchikan Medical Center","Ketchikan","AK","Church","4","Same","None","Above","Same","Same","Same","Same","0","Unknown","Unknown","15531","Average","Average","13946","Average","Lower","18654","Average","Lower"
"Samuel Simmonds Memorial Hospital","Barrow","AK","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"South Peninsula Hospital","Homer","AK","Private","4","None","None","Same","Above","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","17546","Average","Average","0","Unknown","Unknown"
"Mt Edgecumbe Hospital","Sitka","AK","Private","-1","None","None","None","None","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Banner - University Medical Center Phoenix","Phoenix","AZ","Unknown","2","Same","Below","Above","Below","Same","Below","Below","24922","Average","Average","19328","Average","Higher","19932","Average","Higher","19703","Average","Lower"
"Tucson Medical Center","Tucson","AZ","Private","3","Same","Above","Above","Below","Same","Below","Above","24370","Average","Average","18440","Average","Higher","19836","Average","Higher","18934","Average","Lower"
"Verde Valley Medical Center","Cottonwood","AZ","Private","5","Same","Above","Above","Below","Same","Same","Same","22775","Average","Average","18014","Average","Average","18286","Average","Average","19306","Average","Lower"
"St. Mary's Hospital","Tucson","AZ","Private","2","Below","Below","Above","Below","Same","Below","Same","23302","Average","Average","16213","Average","Average","17563","Average","Average","24843","Average","Higher"
"St Joseph's Hospital","Tucson","AZ","Unknown","2","Below","Below","Above","Below","Same","Below","Above","23107","Average","Average","16690","Average","Average","18117","Average","Average","21117","Average","Lower"
"Yavapai Regional Medical Center","Prescott","AZ","Private","3","Below","Above","Above","Same","Same","Same","Below","23918","Average","Average","16156","Average","Average","16965","Average","Average","22294","Average","Average"
"Yuma Regional Medical Center","Yuma","AZ","Private","3","Same","Above","Above","Below","Same","Below","Below","24631","Average","Average","16966","Average","Average","18413","Average","Higher","22354","Average","Average"
"John C. Lincoln North Mountain Hospital","Phoenix","AZ","Private","2","Same","Below","Above","Below","Same","Same","Same","24620","Average","Average","18890","Average","Higher","19963","Average","Higher","22590","Average","Average"
"Banner Casa Grande Medical Center","Casa Grande","AZ","Unknown","3","Same","Same","Above","Below","Same","Same","Same","23695","Average","Average","17631","Average","Average","19250","Average","Higher","21849","Average","Average"
"Maricopa Medical Center","Phoenix","AZ","Government","3","None","Same","Above","Below","Same","Same","Same","0","Unknown","Unknown","15373","Average","Average","17759","Average","Average","0","Unknown","Unknown"
"Flagstaff Medical Center","Flagstaff","AZ","Private","5","Same","Same","Above","Same","Same","Below","Above","24350","Average","Average","17208","Average","Average","16771","Better","Average","18887","Average","Lower"
"St. Joseph's Hospital And Medical Center","Phoenix","AZ","Church","2","Same","Below","Above","Same","Same","Below","Same","27437","Average","Higher","18325","Average","Average","20066","Average","Higher","22659","Average","Average"
"Abrazo Central Campus","Phoenix","AZ","Proprietary","3","Same","Above","Above","Below","Same","Below","Same","25769","Average","Average","18472","Average","Average","17993","Average","Average","21976","Average","Average"
"Chandler Regional Medical Center","Chandler","AZ","Unknown","3","Same","Below","Above","Same","Same","Same","Above","24112","Average","Average","18589","Average","Higher","19621","Average","Higher","19765","Average","Lower"
"St Luke's Medical Center","Phoenix","AZ","Proprietary","2","Same","Below","Above","Below","Same","Below","None","26607","Average","Average","18657","Average","Average","18691","Average","Average","19064","Average","Lower"
"Scottsdale Osborn Medical Center","Scottsdale","AZ","Proprietary","4","Same","Above","Above","Below","Same","Above","Above","24399","Average","Average","16941","Average","Average","17473","Average","Average","19926","Average","Lower"
"Canyon Vista Medical Center","Sierra Vista","AZ","Unknown","1","Below","Below","Below","Below","Same","Below","Below","21489","Average","Lower","16941","Average","Average","17445","Average","Average","20174","Average","Lower"
"Kingman Regional Medical Center","Kingman","AZ","Government","2","Same","Below","Above","Same","Same","Same","Below","26281","Average","Higher","16773","Average","Average","15940","Average","Lower","21752","Average","Average"
"Banner Boswell Medical Center","Sun City","AZ","Unknown","4","Same","Same","Above","Below","Same","Same","Above","21990","Average","Lower","16604","Average","Average","18168","Average","Higher","18837","Average","Lower"
"Summit Healthcare Regional Medical Center","Show Low","AZ","Private","4","Same","Above","Above","Same","Same","Same","Same","24708","Average","Average","15364","Average","Average","16855","Average","Average","21120","Average","Average"
"Banner - University Medical Center Tucson Campus","Tucson","AZ","Private","2","Same","Below","Below","Below","Same","Below","Above","23106","Average","Average","17069","Average","Average","17265","Average","Average","19496","Average","Lower"
"Banner Desert Medical Center","Mesa","AZ","Private","2","Same","Below","Below","Below","Same","Below","Above","24071","Average","Average","18314","Average","Higher","19400","Average","Higher","20235","Average","Lower"
"Mt. Graham Regional Medical Center","Safford","AZ","Government","4","None","Same","Above","Above","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","16386","Average","Average","20071","Average","Lower"
"Havasu Regional Medical Center","Lake Havasu City","AZ","Proprietary","3","Same","Above","Above","Below","Same","Same","Below","23317","Average","Average","15333","Average","Lower","16147","Average","Lower","18805","Average","Lower"
"Fort Defiance Indian Hospital","Fort Defiance","AZ","Government","2","Same","None","Below","Same","Below","None","None","0","Unknown","Unknown","0","Unknown","Unknown","11432","Average","Lower","0","Unknown","Unknown"
"Tuba City Regional Health Care Corporation","Tuba City","AZ","Unknown","3","None","Above","Below","Below","Below","None","None","0","Unknown","Unknown","13497","Average","Lower","12476","Average","Lower","18456","Average","Lower"
"Sells Hospital","Sells","AZ","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"San Carlos Apache Healthcare","Peridot","AZ","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Phoenix Indian Medical Center","Phoenix","AZ","Government","-1","None","None","None","Same","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Abrazo Scottsdale Campus","Phoenix","AZ","Proprietary","3","Same","Same","Above","Below","Same","Below","None","25192","Average","Average","17707","Average","Average","17675","Average","Average","0","Unknown","Unknown"
"Chinle Comprehensive Health Care Facility","Chinle","AZ","Government","2","None","None","Below","Below","Below","None","None","0","Unknown","Unknown","0","Unknown","Unknown","11982","Average","Lower","0","Unknown","Unknown"
"Northwest Medical Center","Tucson","AZ","Proprietary","2","Below","Above","Above","Below","Same","Same","Same","23260","Average","Average","17054","Worse","Average","18607","Worse","Higher","19558","Average","Lower"
"Scottsdale Shea Medical Center","Scottsdale","AZ","Proprietary","4","Above","Above","Below","Below","Same","Above","Above","23301","Average","Average","18707","Average","Higher","17751","Average","Average","21997","Average","Average"
"Banner Baywood Medical Center","Mesa","AZ","Private","4","Same","Below","Above","Below","Same","Same","Above","25224","Average","Average","17736","Average","Higher","17531","Average","Average","21605","Average","Average"
"Banner Thunderbird Medical Center","Glendale","AZ","Government","2","Same","Below","Above","Below","Same","Below","Above","22732","Average","Average","18262","Average","Higher","19097","Average","Higher","19064","Average","Lower"
"Honorhealth Deer Valley Medical Center","Phoenix","AZ","Private","3","Same","Below","Above","Below","Same","Same","Same","24315","Average","Average","18623","Average","Higher","19389","Average","Higher","21815","Average","Average"
