Inductee,FemaleMembers,Category,People
The Moonglows,No,Performer,5
Scotty Moore,No,Sideman,1
Van Morrison,No,Performer,1
Jelly Roll Morton,No,Early Influence,1
Syd Nathan,No,Non-performer,1
Ricky Nelson,No,Performer,1
Randy Newman,No,Performer,1
Nirvana,No,Performer,3
Laura Nyro,Yes,Performer,1
The O'Jays,No,Performer,3
Andrew Loog Oldham,No,Lifetime Achievement,1
Spooner Oldham,No,Sideman,1
Roy Orbison,No,Performer,1
The Orioles,No,Early Influence,5
Mo Ostin,No,Non-performer,1
Johnny Otis,No,Non-performer,1
Earl Palmer,No,Sideman,1
Parliament-Funkadelic,Yes,Performer,16
Les Paul,No,Early Influence,1
Carl Perkins,No,Performer,1
Sam Phillips,No,Non-performer,1
Wilson Pickett,No,Performer,1
Pink Floyd,No,Performer,4
Gene Pitney,No,Performer,1
The Platters,Yes,Performer,5
The Police,No,Performer,3
Doc Pomus,No,Non-performer,1
Elvis Presley,No,Performer,1
The Pretenders,Yes,Performer,4
Lloyd Price,No,Performer,1
Prince,No,Performer,1
Professor Longhair,No,Early Influence,1
Public Enemy,No,Performer,6
Queen,No,Performer,4
Ma Rainey,Yes,Early Influence,1
Bonnie Raitt,Yes,Performer,1
Ramones,No,Performer,4
Red Hot Chili Peppers,No,Performer,4
Otis Redding,No,Performer,1
Lou Reed,No,Performer,1
Jimmy Reed,No,Performer,1
R.E.M.,No,Performer,4
Righteous Brothers,No,Performer,2
Smokey Robinson,No,Performer,1
Jimmie Rodgers,No,Early Influence,1
The Rolling Stones,No,Performer,5
The Ronettes,Yes,Performer,3
Linda Ronstadt,Yes,Performer,1
Run-D.M.C.,No,Performer,3
Art Rupe,No,Non-performer,1
Rush,No,Performer,3
Leon Russell,No,Sideman,1
Sam and Dave,No,Performer,2
Santana,No,Performer,6
Pete Seeger,No,Early Influence,1
Bob Seger,No,Performer,1
Sex Pistols,No,Performer,4
Del Shannon,No,Performer,1
The Shirelles,Yes,Performer,4
Mort Shuman,No,Non-performer,1
Simon and Garfunkel,No,Performer,2
Paul Simon,No,Performer,1
Percy Sledge,No,Performer,1
Sly and the Family Stones,Yes,Performer,7
The Small Faces/ Faces,No,Performer,4
Bessie Smith,Yes,Early Influence,1
Patti Smith,Yes,Performer,1
The Soul Stirrers,No,Early Influence,5
Phil Spector,No,Non-performer,1
Dusty Springfield,Yes,Performer,1
Bruce Springsteen,No,Performer,1
The Staple Singers,Yes,Performer,5
Ringo Starr,No,Performer,1
Steely Dan,No,Performer,2
Seymour Stein,No,Lifetime Achievement,1
Cat Stevens,No,Performer,1
Jim Stewart,No,Non-performer,1
Rod Stewart,No,Performer,1
Jesse Stone,No,Non-performer,1
The Stooges,No,Performer,5
Donna Summer,Yes,Performer,1
The Supremes,Yes,Performer,3
Talking Heads,Yes,Performer,4
James Taylor,No,Performer,1
The Temptations,No,Performer,5
Tom Petty and the Heartbreakers,No,Performer,6
Allen Toussaint,No,Non-performer,1
Traffic,No,Performer,4
Big Joe Turner,No,Performer,1
Ike and Tina Turner,Yes,Performer,2
U2,No,Performer,4
Ritchie Valens,No,Performer,1
Van Halen,No,Performer,4
Stevie Ray Vaughn & Double Trouble,No,Performer,3
The Velvet Underground,Yes,Performer,4
The Ventures,No,Performer,4
Gene Vincent,No,Performer,1
Tom Waits,No,Performer,1
T-Bone Walker,No,Early Influence,1
Dinah Washington,Yes,Early Influence,1
Muddy Waters,No,Performer,1
Jann S. Wenner,No,Lifetime Achievement,1
Jerry Wexler,No,Non-performer,1
The Who,No,Performer,4
Hank Williams,No,Early Influence,1
Jackie Wilson,No,Performer,1
Bill Withers,No,Performer,1
Bobby Womack,No,Performer,1
Stevie Wonder,No,Performer,1
Jimmy Yancey,No,Early Influence,1
The Yardbirds,No,Performer,5
Neil Young,No,Performer,1
The (Young) Rascals,No,Performer,4
Frank Zappa,No,Performer,1
ZZ Top,No,Performer,3
